DateTime,Entries,UniqueIPs
1579240871,4,4
1579244470,3,3
1579248071,4,4
1579255271,3,3
1579266072,3,3
1579269671,4,4
1579302071,3,3
1579305674,2,2
1579316476,4,4
1579330877,3,3
1579334474,4,4
1579341677,3,3
1579352474,4,4
1579356077,3,3
1579363278,2,2
1579370477,3,3
1579381277,4,4
1579392076,3,3
1579399274,2,2
1579402877,3,3
1579406476,4,4
1579420877,3,3
1579424477,3,3
1579435277,4,4
1579449677,3,3
1579460475,4,4
1579471277,3,3
1579474875,4,4
1579492877,3,3
1579521674,4,4
1579539677,3,3
1579554075,4,4
1579568477,3,3
1579572077,2,2
1579593677,3,3
1579608075,4,4
1579611679,3,3
1579615275,4,4
1579622478,3,3
1579629677,4,4
1579654877,3,3
1579658478,4,4
1579698077,3,3
1579701677,4,4
1579741272,3,3
1579755672,3,3
1579759271,4,4
1579762872,3,3
1579773672,4,4
1579784470,3,3
1579788072,3,3
1579795272,4,4
1579809671,3,3
1579816871,3,3
1579827672,4,4
1579842071,2,2
1579845669,3,3
1579852871,4,4
1579867271,2,2
1579870871,3,3
1579878073,4,4
1579910473,3,3
1579914076,4,4
1579939275,3,3
1579942877,2,2
1579950076,2,2
1579953678,3,3
1579960875,4,4
1579964477,3,3
1579968076,4,4
1580000475,3,3
1580018475,3,3
1580040076,4,4
1580043675,3,3
1580047275,4,4
1580086878,3,3
1580094075,4,4
1580101277,3,3
1580112075,4,4
1580126476,3,3
1580144476,4,4
1580162477,3,3
1580166074,2,2
1580169679,3,3
1580173278,4,4
1580184077,3,3
1580194877,2,2
1580209276,3,3
1580212874,4,4
1580238077,3,3
1580241675,2,2
1580259682,3,3
1580270481,4,4
1580288482,3,3
1580295683,4,4
1580313683,3,3
1580335281,4,4
1580349678,3,3
1580353275,3,3
1580356875,4,4
1580371275,3,3
1580392876,4,4
1580425275,2,2
1580428878,3,3
1580446876,4,4
1580511675,2,2
1580518878,3,3
1580522476,2,2
1580529677,3,3
1580601678,2,2
1580605276,3,3
1580616077,2,2
1580637675,1,1
1580648474,2,2
1580659278,3,3
1580666475,2,2
1580673676,3,3
1580698871,2,2
1580706069,3,3
1580839277,2,2
1580850075,3,3
1580868074,2,2
1580871678,3,3
1580936475,2,2
1580940077,1,1
1580958074,2,2
1580968877,3,3
1580986877,2,2
1580994076,3,3
1581040875,2,2
1581044475,3,3
1581055277,2,2
1581073277,3,3
1581105677,2,2
1581109275,3,3
1581123677,2,2
1581138078,3,3
1581141677,2,2
1581159675,3,3
1581192077,2,2
1581199281,3,3
1581224471,2,2
1581231675,3,3
1581249671,2,2
1581253271,1,1
1581256870,2,2
1581267670,3,3
1581285672,2,2
1581289271,3,3
1581314470,2,2
1581321671,3,3
1581328872,2,2
1581332472,3,3
1581346871,2,2
1581350470,3,3
1581404478,2,2
1581408076,3,3
1581429677,2,2
1581454877,3,3
1581469276,2,2
1581476477,1,1
1581483676,2,2
1581487276,3,3
1581498074,2,2
1581501674,3,3
1581516076,2,2
1581519677,3,3
1581555675,2,2
1581559277,3,3
1581580877,2,2
1581588077,3,3
1581602477,2,2
1581616875,3,3
1581645677,2,2
1581649276,3,3
1581663677,2,2
1581667277,3,3
1581706876,2,2
1581714076,3,3
1581760875,2,2
1581764475,3,3
1581778877,2,2
1581782474,3,3
1581789681,2,2
1581822072,1,1
1581829271,2,2
1581832869,3,3
1581847271,2,2
1581850870,3,3
1581890474,2,2
1581904870,1,1
1581908469,2,2
1581922871,2,2
1581930071,3,3
1581944472,2,2
1581948072,3,3
1581966071,2,2
1581969671,2,2
1581976871,3,3
1581984073,2,2
1581987679,3,3
1581991277,2,2
1582005677,3,3
1582012877,2,2
1582016475,3,3
1582034477,2,2
1582038075,3,3
1582045275,2,2
1582052477,3,3
1582077675,2,2
1582106477,1,1
1582110076,2,2
1582117273,3,3
1582196475,2,2
1582207276,3,3
1582228875,2,2
1582232477,3,3
1582239677,2,2
1582250475,3,3
1582293677,2,2
1582297278,3,3
1582311676,2,2
1582329677,3,3
1582344076,2,2
1582351277,3,3
1582358476,2,2
1582365675,3,3
1582376475,2,2
1582401677,3,3
1582408877,2,2
1582416077,2,2
1582419672,3,3
1582441276,2,2
1582448471,3,3
1582470070,2,2
1582477271,3,3
1582491671,2,2
1582513272,3,3
1582527672,2,2
1582534871,3,3
1582574471,2,2
1582585271,2,2
1582592475,3,3
