DateTime,AddedIPs,RemovedIPs
1585792122,2,0
1585799783,1,1
1585805584,0,1
1585809386,1,0
1585811309,1,2
1585813212,1,0
1585818973,1,2
1585820930,0,2
1585822818,6,0
1585824733,1,0
1585826665,0,1
1585828572,0,1
1585834470,0,1
1585836503,1,0
1585838424,2,0
1585840335,0,3
1585846096,2,0
1585851873,1,1
1585855689,0,1
1585859536,2,1
1585861711,0,1
1585863630,1,0
1585865552,1,0
1585873217,1,0
1585875131,0,1
1585877064,1,2
1585878969,2,0
1585880896,1,0
1585886915,0,1
1585888810,2,0
1585896494,0,1
1585898428,0,1
1585900339,3,1
1585904203,0,1
1585908139,1,0
1585909948,0,6
1585912116,0,1
1585915933,1,0
1585917888,1,0
1585921700,1,1
1585923643,0,2
1585925537,1,0
1585933283,2,0
1585937062,0,2
1585938976,1,0
1585944743,0,1
1585946674,0,1
1585950738,0,2
1585959376,1,0
1585961290,0,1
1585963226,0,1
1585965129,0,2
1585970888,1,0
1585974989,1,1
1585976914,0,1
1585980733,1,0
1585986498,0,2
1585988425,0,1
1585996110,0,1
1585998973,1,0
1586000891,2,1
1586002824,0,1
1586004732,1,0
1586008583,0,1
1586010493,1,1
1586013639,3,1
1586015544,1,0
1586019383,0,2
1586025146,0,1
1586031137,2,0
1586042648,1,0
1586044585,0,1
1586057052,0,1
1586058980,0,1
1586063095,0,1
1586068822,1,1
1586070774,1,0
1586074571,2,0
1586076490,1,0
1586084191,1,1
1586086095,1,0
1586088982,1,2
1586090889,1,1
1586094755,1,1
1586096670,1,1
1586100521,1,3
1586108412,1,0
1586112265,1,0
1586118024,1,2
1586125212,1,0
1586127177,1,0
1586129121,0,1
1586133149,1,0
1586135316,2,0
1586139144,1,0
1586144926,1,0
1586148733,1,0
1586150663,3,0
1586157382,0,1
1586161218,1,2
1586163236,0,1
1586168897,1,1
1586170915,0,1
1586172742,1,1
1586174906,1,0
1586176815,0,1
1586178757,2,0
1586180668,1,1
1586184509,0,1
1586186436,1,0
1586194097,1,1
1586199134,1,1
1586201064,1,0
1586202968,1,0
1586204892,0,2
1586206878,1,0
1586208747,3,1
1586214738,0,1
1586218572,1,1
1586220520,0,1
1586222429,1,1
1586226253,0,1
1586232975,0,1
1586234901,2,1
1586236814,1,3
1586242570,1,0
1586247371,0,1
1586251215,1,0
1586253135,0,1
1586255090,2,1
1586256987,1,0
1586258893,3,1
1586262741,0,1
1586264899,0,2
1586266813,1,1
1586270646,1,0
1586274507,0,2
1586276411,1,0
1586278328,1,0
1586280265,0,1
1586284087,1,0
1586286975,1,2
1586288920,1,0
1586290814,0,1
1586292730,0,1
1586294667,1,2
1586296572,0,1
1586302343,1,0
1586304273,1,0
1586306193,0,1
1586308098,0,1
1586310016,1,0
1586311959,2,0
1586313860,1,0
1586319657,1,1
1586321540,1,1
1586327314,1,0
1586329358,1,1
1586333294,1,0
1586335211,2,0
1586337147,0,1
1586340973,0,2
1586342914,0,1
1586344809,0,2
1586346727,2,1
1586352738,1,0
1586356595,1,1
1586358494,1,0
1586362358,2,1
1586364257,0,1
1586370031,1,0
1586371928,0,1
1586373862,0,1
1586375768,1,1
1586377690,0,1
1586380595,0,1
1586382504,2,0
1586384412,1,0
1586386332,1,0
1586390235,0,1
1586392134,2,0
1586396179,1,1
1586398093,0,2
1586400026,2,1
1586401950,1,0
1586403850,2,0
1586405797,2,1
1586407702,1,1
1586409610,1,0
1586413462,0,1
1586415369,1,0
1586417568,0,1
1586419465,1,1
1586421404,0,2
1586423319,1,0
1586429095,1,0
1586430982,1,0
1586432900,0,2
1586436734,1,0
1586440585,2,2
1586442536,0,1
1586444539,1,1
1586446441,1,0
1586448514,0,2
1586450449,1,0
1586454270,1,0
1586456177,1,1
1586461934,1,1
1586465775,2,0
1586467726,0,1
1586469661,1,1
1586473705,0,1
1586475618,1,0
1586477551,1,0
1586479451,0,2
1586481375,2,1
1586483308,2,0
1586485212,0,1
1586487136,1,2
1586489069,1,0
1586490971,0,4
1586494860,1,1
1586496892,1,0
1586498904,0,1
1586500813,0,1
1586502730,1,0
1586506594,0,1
1586508507,0,1
1586510425,1,0
1586512443,2,0
1586516177,0,1
1586518093,0,1
1586520066,1,0
1586521934,1,0
1586523864,0,1
1586527704,2,2
1586529617,1,0
1586531549,0,1
1586535377,0,2
1586541133,0,1
1586543065,0,1
1586550026,2,1
1586551930,0,2
1586555783,0,1
1586561544,1,1
1586563454,3,0
1586565372,0,1
1586567311,0,2
1586569210,1,1
1586571149,0,1
1586573060,1,1
1586576892,0,1
1586580735,2,0
1586582663,0,2
1586586487,1,0
1586589396,1,1
1586591333,2,0
1586597066,0,1
1586598978,0,2
1586603773,1,0
1586605693,1,0
1586607611,1,1
1586609539,0,1
1586613372,0,1
1586615298,1,3
1586620090,1,0
1586622024,1,0
1586627773,1,0
1586629687,1,0
1586632834,2,0
1586636666,0,1
1586640487,1,0
1586644338,1,0
1586648186,1,2
1586650103,1,2
1586653943,1,0
1586655852,1,1
1586659703,0,1
1586663531,1,0
1586667369,0,2
1586674105,0,2
1586677931,0,2
1586679888,1,0
1586683934,1,0
1586686114,1,0
1586688029,1,0
1586689939,2,1
1586691859,1,1
1586695715,0,1
1586697627,1,0
1586699536,1,1
1586701459,1,1
1586703424,2,0
1586705554,0,2
1586709411,1,0
1586713246,2,1
1586717058,1,1
1586718990,0,2
1586720918,3,0
1586722817,1,0
1586724750,2,0
1586728586,0,1
1586730494,0,1
1586732494,1,0
1586734354,0,1
1586736270,0,1
1586740160,0,1
1586742019,0,1
1586743937,1,0
1586747778,2,1
1586754511,1,0
1586758341,3,0
1586762181,1,0
1586764090,1,0
1586766007,2,1
1586767939,1,0
1586769847,1,0
1586771766,0,2
1586773703,1,1
1586775661,1,0
1586777542,1,2
1586785243,0,1
1586787138,1,2
1586789052,0,1
1586790993,0,1
1586792911,2,0
1586796744,4,0
1586798649,1,1
1586800623,1,2
1586804490,1,1
1586806350,1,3
1586810175,0,2
1586812117,0,1
1586815941,1,0
1586817867,2,1
1586823631,1,0
1586829385,3,1
1586831303,1,1
1586834420,4,1
1586838266,2,0
1586840179,3,1
1586842089,1,0
1586844067,1,2
1586846023,1,1
1586848116,1,1
1586850016,0,2
1586853861,0,3
1586857941,0,1
1586859853,0,1
1586861806,0,1
1586863698,2,2
1586865698,1,0
1586873307,2,1
1586875214,3,0
1586879063,0,1
1586881220,1,1
1586883132,0,4
1586885051,0,1
1586888198,1,1
1586890092,2,1
1586892018,0,1
1586893941,1,0
1586899686,1,0
1586903792,0,2
1586905700,0,1
1586909784,1,1
1586913608,2,0
1586915531,1,3
1586917837,1,1
1586919725,0,4
1586923492,1,1
1586925376,2,3
1586927312,0,1
1586929216,2,1
1586931154,0,1
1586933051,1,1
1586934975,0,1
1586936905,6,0
1586938808,2,0
1586940745,1,0
1586942653,1,0
1586944587,1,0
1586948447,2,0
1586950347,1,1
1586952261,1,1
1586958012,1,0
1586960180,3,2
1586962096,1,3
1586964018,2,0
1586965932,2,0
1586967860,1,1
1586969771,1,0
1586971710,2,0
1586974821,2,2
1586976733,0,2
1586980573,1,1
1586984444,1,0
1586986335,2,1
1586995967,0,1
1586999777,1,2
1587001706,1,0
1587003614,0,2
1587009371,0,1
1587011293,0,2
1587016106,0,2
1587019931,0,1
1587021868,0,1
1587023793,0,6
1587025699,1,0
1587027674,0,2
1587029598,0,2
1587031461,1,0
1587035319,0,2
1587037241,1,1
1587039394,1,1
1587043229,1,0
1587045131,1,1
1587047050,2,3
1587049022,1,2
1587050888,1,2
1587054751,1,1
1587056709,0,1
1587058583,0,2
1587060506,2,1
1587062413,1,0
1587066256,1,1
1587070106,1,1
1587072020,1,1
1587075861,1,0
1587079688,1,0
1587081681,0,1
1587083543,1,0
1587085710,0,1
1587087617,0,1
1587093375,1,0
1587099161,1,0
1587101053,1,0
1587111648,0,1
1587117383,2,0
1587119291,1,1
1587123143,1,0
1587125078,0,2
1587128920,1,1
1587130814,0,1
1587132734,0,1
1587134667,2,2
1587136586,0,1
1587138515,2,1
1587140437,1,0
1587144261,1,0
1587146208,0,2
1587148091,0,1
1587150985,1,1
1587152917,1,1
1587156740,0,1
1587158657,1,1
1587162490,0,1
1587164465,0,1
1587166335,2,1
1587170191,0,1
1587179772,1,0
1587185527,0,1
1587187459,1,0
1587189404,1,0
1587191289,1,0
1587196105,1,0
1587198022,1,0
1587199933,1,1
1587203771,0,2
1587205689,1,1
1587209557,1,1
1587213393,1,0
1587215294,0,1
1587221080,1,2
1587224903,1,2
1587226812,2,0
1587228747,0,1
1587230665,0,1
1587237370,0,1
1587239304,0,1
1587241211,1,0
1587245061,1,1
1587248894,1,0
1587251819,2,1
1587253706,1,0
1587255621,1,0
1587259462,1,0
1587261370,1,0
1587266170,1,1
1587268103,1,0
1587270033,2,0
1587271959,0,1
1587273860,0,1
1587275769,1,1
1587277689,0,1
1587282506,1,1
1587284418,0,1
1587286333,1,1
1587288268,3,0
1587292098,0,1
