DateTime,AddedIPs,RemovedIPs
1584187290,1,0
1584195131,1,0
1584198971,0,1
1584201009,1,0
1584204735,0,1
1584208574,1,0
1584215300,1,0
1584219135,0,1
1584232817,0,1
1584236657,0,1
1584242413,1,0
1584253939,0,1
1584255898,0,1
1584269297,1,0
1584273138,0,1
1584280968,0,1
1584288986,0,1
1584296648,0,1
1584298587,1,0
1584300488,0,1
1584303411,2,0
1584318756,1,0
1584328585,0,1
1584332409,1,0
1584343029,1,0
1584356451,0,1
1584364143,2,0
1584367940,1,0
1584371774,1,0
1584384267,3,1
1584390034,0,2
1584391957,1,0
1584395784,1,0
1584397699,1,0
1584405370,0,1
1584411151,1,0
1584418812,0,1
1584430378,0,1
1584440178,1,0
1584449787,0,1
1584451698,0,1
1584453647,0,1
1584459376,0,1
1584463460,1,0
1584469210,0,2
1584471158,0,1
1584476888,1,0
1584479784,0,1
1584481716,0,1
1584483617,0,1
1584497305,0,1
1584514576,1,0
1584516519,1,0
1584522788,1,0
1584524673,1,0
1584526574,0,1
1584550569,0,1
1584552488,1,0
1584556349,1,0
1584562332,0,1
1584564269,1,0
1584580570,1,0
1584588255,1,0
1584590186,1,0
1584600731,0,1
1584602650,0,1
1584610386,0,2
1584614413,1,0
1584634574,1,0
1584638439,0,1
1584642264,0,1
1584650895,0,1
1584668426,0,1
1584674185,0,1
1584676097,0,1
1584685703,1,0
1584695303,1,0
1584701299,0,1
1584714779,1,0
1584720761,1,1
1584746655,1,0
1584757225,1,0
1584767772,1,0
1584771623,0,1
1584773534,1,0
1584781326,0,1
1584785318,1,0
1584791066,1,0
1584798733,1,0
1584800660,0,1
1584808573,0,1
1584814329,6,0
1584820095,1,0
1584861386,1,0
1584881782,1,0
1584883687,1,0
1584901940,1,0
1584904110,0,1
1584906013,0,12
1584907936,0,1
1584933374,1,0
1584944900,1,0
1584947774,0,1
1584949942,1,0
1584968682,0,1
1584970590,0,1
1584987869,0,1
1585000574,1,0
1585007324,1,0
1585019805,0,1
1585031543,0,1
1585037544,0,1
1585049053,1,0
1585076182,1,0
1585081947,1,0
1585087712,1,1
1585093451,0,1
1585099211,1,0
1585103056,1,0
1585106891,1,0
1585120572,2,0
1585128281,1,0
1585134094,0,1
1585137927,1,0
1585141694,2,0
1585145548,1,0
1585158971,1,0
1585163770,0,1
1585167611,0,1
1585171484,1,0
1585173399,0,1
1585185178,0,1
1585190901,1,1
1585192810,1,0
1585194729,1,0
1585198614,0,1
1585205527,1,0
1585207465,0,2
1585213318,0,1
1585225227,0,1
1585227137,0,2
1585230974,0,1
1585236007,1,0
1585237939,1,0
1585244888,1,1
1585246834,1,0
1585250663,1,0
1585256470,1,0
1585258351,0,1
1585277531,0,1
1585279461,0,1
1585281368,0,1
1585291926,0,1
1585293863,1,0
1585320740,1,0
1585322650,0,1
1585324583,0,1
1585326491,1,0
1585330347,0,1
1585333232,0,1
1585335140,1,0
1585337052,0,1
1585340889,1,0
1585343772,0,1
1585345690,1,0
1585359137,1,0
1585368969,1,0
1585378684,1,0
1585380489,2,1
1585383613,1,0
1585387467,1,0
1585396104,1,0
1585398011,1,0
1585407649,0,1
1585411714,1,0
1585413616,0,1
1585421306,0,1
1585427113,0,1
1585431151,1,1
1585440747,1,0
1585444569,1,1
1585454170,0,1
1585456105,1,0
1585459976,1,0
1585465809,0,3
1585469535,0,1
1585473370,0,1
1585479129,1,0
1585482982,0,1
1585484889,1,1
1585487776,1,0
1585493806,1,0
1585497677,0,1
1585507233,1,0
1585516824,0,1
1585527373,0,1
1585531251,0,1
1585533136,1,0
1585543709,0,1
1585547531,0,1
1585565770,0,1
1585567687,1,0
1585570583,0,1
1585574429,0,1
1585576329,2,0
1585580180,0,1
1585590013,1,0
1585593854,0,1
1585595768,1,0
1585603460,2,0
1585619061,0,1
1585622905,1,0
1585630592,1,0
1585635376,1,0
1585637322,1,0
1585641132,1,0
1585643097,2,0
1585644992,1,0
1585653627,0,1
1585657452,1,0
1585661290,0,1
1585664194,0,1
1585668045,1,0
1585675691,0,1
1585682421,0,1
1585684326,2,0
1585690089,0,2
1585708582,0,1
1585718173,0,1
1585720103,0,1
1585723946,1,1
1585727773,0,1
1585729711,0,1
1585732569,0,1
1585744100,0,1
1585750109,2,0
1585753949,0,1
1585757769,1,0
1585759705,1,0
1585771701,0,2
1585777471,0,1
1585810102,2,1
1585813927,1,0
1585824498,1,0
1585836290,0,2
1585843935,0,1
1585845863,0,1
1585847795,2,0
1585857367,1,0
1585866018,1,0
1585876572,2,0
1585886213,1,0
1585896729,0,2
