DateTime,AddedIPs,RemovedIPs
1586309534,120,57
1586311492,116,58
1586313386,168,57
1586315301,265,57
1586317215,109,433
1586319151,120,342
1586321049,111,82
1586322983,92,74
1586324907,90,147
1586326869,83,68
1586328731,50,41
1586330673,25,22
1586332575,33,23
1586334498,26,24
1586337728,51,37
1586339528,33,38
1586341465,37,25
1586343376,32,35
1586345538,29,58
1586347486,26,1000
1586349387,34,42
1586351556,294,39
1586353450,564,45
1586355390,998,40
1586357319,745,100
1586359216,44,25
1586361134,46,22
1586363086,56,26
1586364969,20,82
1586366889,30,886
1586370033,74,47
1586371931,114,24
1586373864,95,27
1586375771,115,242
1586377692,84,29
1586380620,156,39
1586382506,83,161
1586384414,71,24
1586386334,72,32
1586388276,103,22
1586390236,86,35
1586392136,57,39
1586394212,90,30
1586396181,170,25
1586398117,147,17
1586400030,137,125
1586401952,118,114
1586403870,153,24
1586405805,116,17
1586407703,162,32
1586409612,147,17
1586411533,205,30
1586413463,120,29
1586415383,68,49
1586417570,122,65
1586419478,114,66
1586421406,106,72
1586423342,103,88
1586425235,122,139
1586427148,176,116
1586429100,141,67
1586430984,94,66
1586432902,117,70
1586434830,128,87
1586436737,139,182
1586438654,96,584
1586440587,111,660
1586442538,106,1103
1586444606,119,557
1586446444,545,106
1586448532,498,35
1586450451,469,48
1586452343,233,20
1586454272,56,23
1586456181,63,44
1586458102,58,115
1586460069,66,105
1586461938,66,108
1586463876,13,93
1586465779,10,120
1586467729,17,81
1586470808,20,131
1586472728,12,74
1586474665,10,106
1586476569,18,90
1586478491,27,60
1586481378,32,110
1586483310,25,80
1586485216,24,69
1586487139,20,69
1586489097,27,73
1586490973,17,82
1586492912,12,113
1586495775,18,108
1586497696,13,65
1586499628,12,75
1586501534,43,143
1586503453,44,165
1586505381,48,202
1586507315,42,159
1586509461,38,180
1586511381,22,154
1586513305,28,180
1586515221,19,168
1586517151,28,161
1586519082,33,157
1586521002,13,153
1586522913,21,208
1586524816,23,117
1586526740,39,176
1586528669,24,150
1586530611,12,169
1586532495,12,114
1586535380,22,222
1586537312,10,229
1586539217,5,119
1586541138,9,180
1586543072,20,111
1586544999,14,183
1586546907,9,137
1586550028,13,183
1586551932,20,110
1586553855,18,77
1586555786,13,126
1586557710,13,76
1586559756,13,122
1586561778,23,98
1586563705,11,94
1586565615,11,100
1586567533,22,112
1586569463,11,108
1586571372,16,82
1586573301,12,84
1586575218,15,72
1586577141,9,92
1586579062,8,76
1586580977,11,115
1586582886,9,160
1586585771,16,147
1586587738,12,59
1586589665,19,78
1586591530,36,98
1586593458,65,92
1586595371,67,87
1586597292,340,94
1586600190,187,113
1586602097,87,33
1586604021,12,32
1586605937,12,26
1586607861,26,18
1586609769,15,31
1586611696,7,30
1586613663,95,800
1586615542,16,742
1586617503,140,674
1586619391,18,343
1586621314,19,13
1586623220,12,10
1586625380,14,8
1586627311,12,14
1586629216,18,18
1586631134,166,17
1586633097,67,10
1586635008,135,12
1586637135,129,25
1586639304,122,17
1586641213,142,13
1586643168,180,15
1586645051,115,8
1586646972,115,16
1586648903,123,18
1586650812,92,9
1586652735,89,16
1586654663,92,16
1586656569,131,12
1586658735,93,13
1586660702,82,13
1586662588,86,10
1586664529,184,10
1586666418,97,12
1586668349,92,14
1586670252,98,11
1586672176,85,14
1586674108,879,33
1586676015,100,32
1586677934,88,27
1586679891,97,12
1586681798,106,18
1586683937,87,42
1586686116,120,60
1586688031,127,65
1586689943,118,33
1586691862,95,108
1586693814,188,122
1586695717,200,149
1586697630,207,61
1586699538,853,85
1586701462,1191,15
1586703428,94,129
1586705556,101,16
1586707499,70,14
1586709414,62,11
1586711315,51,8
1586713249,49,15
1586715141,312,16
1586717061,109,87
1586718993,107,96
1586720921,113,114
1586722820,95,112
1586724753,88,108
1586726658,93,101
1586728591,388,137
1586730497,89,150
1586733620,32,184
1586735539,21,108
1586737452,15,92
1586739417,19,80
1586741289,9,91
1586743270,18,125
1586745149,25,68
1586747053,23,72
1586748981,20,80
1586750890,13,175
1586752812,12,106
1586754742,16,85
1586756649,15,95
1586758573,18,83
1586760495,17,165
1586762447,82,203
1586764344,134,405
1586766254,352,332
1586768171,269,451
1586770107,294,719
1586772993,392,432
1586774926,328,219
1586776841,136,173
1586778744,115,242
1586780667,185,178
1586782611,107,293
1586784743,275,247
1586786761,174,707
1586788580,9,110
1586790503,18,88
1586792431,49,84
1586794339,7,70
1586796258,18,60
1586798436,22,51
1586800674,19,87
1586802509,14,1370
1586804609,22,114
1586806591,11,283
1586808508,24,95
1586810410,13,94
1586812333,18,91
1586814262,24,385
1586816174,231,124
1586818096,790,52
1586820024,617,14
1586821929,740,19
1586823893,670,8
1586825781,752,14
1586827944,510,10
1586829900,12,8
1586831774,11,16
1586833714,20,11
1586835615,21,6
1586837541,7,6
1586839488,9,8
1586841374,11,6
1586843299,12,20
1586845224,8,12
1586847131,66,637
1586849051,153,746
1586850980,54,648
1586852897,7,726
1586855059,23,742
1586856987,12,741
1586858916,12,714
1586860825,11,668
1586862734,8,297
1586864665,19,343
1586866597,13,349
1586868494,8,359
1586870425,8,340
1586872340,11,563
1586874252,10,87
1586876182,14,8
1586878093,11,44
1586880295,11,10
1586882187,8,8
1586884102,5,17
1586886027,5,15
1586887933,16,12
1586889853,11,17
1586891791,16,13
1586893695,12,18
1586895612,12,11
1586897543,21,7
1586899450,17,18
1586901383,24,11
1586903305,17,675
1586906409,35,1527
1586908332,24,1111
1586910263,20,966
1586912171,13,1118
1586914092,27,714
1586916090,25,18
1586918185,17,23
1586920123,23,32
1586922012,17,547
1586923938,24,440
1586925889,21,21
1586927777,20,18
1586929691,14,19
1586931616,17,20
1586933530,14,74
1586935466,20,78
1586937371,23,97
1586939306,23,11
1586941248,26,28
1586943140,20,29
1586945098,19,18
1586946981,17,21
1586949083,32,23
1586951061,26,25
1586952983,29,19
1586954891,29,12
1586956820,66,21
1586958731,22,14
1586960649,22,20
1586962588,36,22
1586964551,35,18
1586966505,42,19
1586968331,20,13
1586970278,23,8
1586972193,30,14
1586974366,180,29
1586976250,34,19
1586978181,1353,22
1586980104,2718,14
1586982018,2240,19
1586983931,2290,19
1586985869,1292,16
