DateTime,Entries,UniqueIPs
1586309534,19048,19048
1586311492,19106,19106
1586313386,19217,19217
1586315301,19425,19425
1586317215,19101,19101
1586319151,18879,18879
1586321049,18908,18908
1586322983,18926,18926
1586324907,18869,18869
1586326869,18884,18884
1586328731,18893,18893
1586330673,18896,18896
1586332575,18906,18906
1586334498,18908,18908
1586337728,18922,18922
1586339528,18917,18917
1586341465,18929,18929
1586343376,18926,18926
1586345538,18897,18897
1586347486,17923,17923
1586349387,17915,17915
1586351556,18170,18170
1586353450,18689,18689
1586355390,19647,19647
1586357319,20292,20292
1586359216,20311,20311
1586361134,20335,20335
1586363086,20365,20365
1586364969,20303,20303
1586366889,19447,19447
1586370033,19474,19474
1586371931,19564,19564
1586373864,19632,19632
1586375771,19505,19505
1586377692,19560,19560
1586380620,19677,19677
1586382506,19599,19599
1586384414,19646,19646
1586386334,19686,19686
1586388276,19767,19767
1586390236,19818,19818
1586392136,19836,19836
1586394212,19896,19896
1586396181,20041,20041
1586398117,20171,20171
1586400030,20183,20183
1586401952,20187,20187
1586403870,20316,20316
1586405805,20415,20415
1586407703,20545,20545
1586409612,20675,20675
1586411533,20850,20850
1586413463,20941,20941
1586415383,20960,20960
1586417570,21017,21017
1586419478,21065,21065
1586421406,21099,21099
1586423342,21114,21114
1586425235,21097,21097
1586427148,21157,21157
1586429100,21231,21231
1586430984,21259,21259
1586432902,21306,21306
1586434830,21347,21347
1586436737,21304,21304
1586438654,20816,20816
1586440587,20267,20267
1586442538,19270,19270
1586444606,18832,18832
1586446444,19271,19271
1586448532,19734,19734
1586450451,20155,20155
1586452343,20368,20368
1586454272,20401,20401
1586456181,20420,20420
1586458102,20363,20363
1586460069,20324,20324
1586461938,20282,20282
1586463876,20202,20202
1586465779,20092,20092
1586467729,20028,20028
1586470808,19917,19917
1586472728,19855,19855
1586474665,19759,19759
1586476569,19687,19687
1586478491,19654,19654
1586481378,19576,19576
1586483310,19521,19521
1586485216,19476,19476
1586487139,19427,19427
1586489097,19381,19381
1586490973,19316,19316
1586492912,19215,19215
1586495775,19125,19125
1586497696,19073,19073
1586499628,19010,19010
1586501534,18910,18910
1586503453,18789,18789
1586505381,18635,18635
1586507315,18518,18518
1586509461,18376,18376
1586511381,18244,18244
1586513305,18092,18092
1586515221,17943,17943
1586517151,17810,17810
1586519082,17686,17686
1586521002,17546,17546
1586522913,17359,17359
1586524816,17265,17265
1586526740,17128,17128
1586528669,17002,17002
1586530611,16845,16845
1586532495,16743,16743
1586535380,16543,16543
1586537312,16324,16324
1586539217,16210,16210
1586541138,16039,16039
1586543072,15948,15948
1586544999,15779,15779
1586546907,15651,15651
1586550028,15481,15481
1586551932,15391,15391
1586553855,15332,15332
1586555786,15219,15219
1586557710,15156,15156
1586559756,15047,15047
1586561778,14972,14972
1586563705,14889,14889
1586565615,14800,14800
1586567533,14710,14710
1586569463,14613,14613
1586571372,14547,14547
1586573301,14475,14475
1586575218,14418,14418
1586577141,14335,14335
1586579062,14267,14267
1586580977,14163,14163
1586582886,14012,14012
1586585771,13881,13881
1586587738,13834,13834
1586589665,13775,13775
1586591530,13713,13713
1586593458,13686,13686
1586595371,13666,13666
1586597292,13912,13912
1586600190,13986,13986
1586602097,14040,14040
1586604021,14020,14020
1586605937,14006,14006
1586607861,14014,14014
1586609769,13998,13998
1586611696,13975,13975
1586613663,13270,13270
1586615542,12544,12544
1586617503,12010,12010
1586619391,11685,11685
1586621314,11691,11691
1586623220,11693,11693
1586625380,11699,11699
1586627311,11697,11697
1586629216,11697,11697
1586631134,11846,11846
1586633097,11903,11903
1586635008,12026,12026
1586637135,12130,12130
1586639304,12235,12235
1586641213,12364,12364
1586643168,12529,12529
1586645051,12636,12636
1586646972,12735,12735
1586648903,12840,12840
1586650812,12923,12923
1586652735,12996,12996
1586654663,13072,13072
1586656569,13191,13191
1586658735,13271,13271
1586660702,13340,13340
1586662588,13416,13416
1586664529,13590,13590
1586666418,13675,13675
1586668349,13753,13753
1586670252,13840,13840
1586672176,13911,13911
1586674108,14757,14757
1586676015,14825,14825
1586677934,14886,14886
1586679891,14971,14971
1586681798,15059,15059
1586683937,15104,15104
1586686116,15164,15164
1586688031,15226,15226
1586689943,15311,15311
1586691862,15298,15298
1586693814,15364,15364
1586695717,15415,15415
1586697630,15561,15561
1586699538,16329,16329
1586701462,17505,17505
1586703428,17470,17470
1586705556,17555,17555
1586707499,17611,17611
1586709414,17662,17662
1586711315,17705,17705
1586713249,17739,17739
1586715141,18035,18035
1586717061,18057,18057
1586718993,18068,18068
1586720921,18067,18067
1586722820,18050,18050
1586724753,18030,18030
1586726658,18022,18022
1586728591,18273,18273
1586730497,18212,18212
1586733620,18060,18060
1586735539,17973,17973
1586737452,17896,17896
1586739417,17835,17835
1586741289,17753,17753
1586743270,17646,17646
1586745149,17603,17603
1586747053,17554,17554
1586748981,17494,17494
1586750890,17332,17332
1586752812,17238,17238
1586754742,17169,17169
1586756649,17089,17089
1586758573,17024,17024
1586760495,16876,16876
1586762447,16755,16755
1586764344,16484,16484
1586766254,16504,16504
1586768171,16322,16322
1586770107,15897,15897
1586772993,15857,15857
1586774926,15966,15966
1586776841,15929,15929
1586778744,15802,15802
1586780667,15809,15809
1586782611,15623,15623
1586784743,15651,15651
1586786761,15118,15118
1586788580,15017,15017
1586790503,14947,14947
1586792431,14912,14912
1586794339,14849,14849
1586796258,14807,14807
1586798436,14778,14778
1586800674,14710,14710
1586802509,13354,13354
1586804609,13262,13262
1586806591,12990,12990
1586808508,12919,12919
1586810410,12838,12838
1586812333,12765,12765
1586814262,12404,12404
1586816174,12511,12511
1586818096,13249,13249
1586820024,13852,13852
1586821929,14573,14573
1586823893,15235,15235
1586825781,15973,15973
1586827944,16473,16473
1586829900,16477,16477
1586831774,16472,16472
1586833714,16481,16481
1586835615,16496,16496
1586837541,16497,16497
1586839488,16498,16498
1586841374,16503,16503
1586843299,16495,16495
1586845224,16491,16491
1586847131,15920,15920
1586849051,15327,15327
1586850980,14733,14733
1586852897,14014,14014
1586855059,13295,13295
1586856987,12566,12566
1586858916,11864,11864
1586860825,11207,11207
1586862734,10918,10918
1586864665,10594,10594
1586866597,10258,10258
1586868494,9907,9907
1586870425,9575,9575
1586872340,9023,9023
1586874252,8946,8946
1586876182,8952,8952
1586878093,8919,8919
1586880295,8920,8920
1586882187,8920,8920
1586884102,8908,8908
1586886027,8898,8898
1586887933,8902,8902
1586889853,8896,8896
1586891791,8899,8899
1586893695,8893,8893
1586895612,8894,8894
1586897543,8908,8908
1586899450,8907,8907
1586901383,8920,8920
1586903305,8262,8262
1586906409,6770,6770
1586908332,5683,5683
1586910263,4737,4737
1586912171,3632,3632
1586914092,2945,2945
1586916090,2952,2952
1586918185,2946,2946
1586920123,2937,2937
1586922012,2407,2407
1586923938,1991,1991
1586925889,1991,1991
1586927777,1993,1993
1586929691,1988,1988
1586931616,1985,1985
1586933530,1925,1925
1586935466,1867,1867
1586937371,1793,1793
1586939306,1805,1805
1586941248,1803,1803
1586943140,1794,1794
1586945098,1795,1795
1586946981,1791,1791
1586949083,1800,1800
1586951061,1801,1801
1586952983,1811,1811
1586954891,1828,1828
1586956820,1873,1873
1586958731,1881,1881
1586960649,1883,1883
1586962588,1897,1897
1586964551,1914,1914
1586966505,1937,1937
1586968331,1944,1944
1586970278,1959,1959
1586972193,1975,1975
1586974366,2126,2126
1586976250,2141,2141
1586978181,3472,3472
1586980104,6176,6176
1586982018,8397,8397
1586983931,10668,10668
1586985869,11944,11944
1586987770,11955,11955
1586989694,11965,11965
1586991671,11975,11975
1586993535,11990,11990
1586995503,11993,11993
1586997418,12007,12007
1586999302,12009,12009
1587001222,12012,12012
1587003144,12023,12023
1587005058,12042,12042
1587006990,12050,12050
1587008935,12063,12063
1587010821,12144,12144
1587012739,12157,12157
1587014664,12183,12183
1587016581,12195,12195
1587018515,12214,12214
1587020512,12229,12229
1587022331,12242,12242
1587024280,12248,12248
1587026174,12243,12243
1587028136,12244,12244
1587030016,12239,12239
1587031956,12223,12223
1587033851,12222,12222
1587035794,12218,12218
1587037771,12221,12221
1587039629,12237,12237
1587041531,12239,12239
1587043455,12245,12245
1587045382,12240,12240
1587047291,12207,12207
1587049328,12205,12205
1587051150,12197,12197
1587053322,12186,12186
1587055214,12190,12190
1587057172,12199,12199
1587059050,12208,12208
1587060973,12080,12080
1587062910,12068,12068
1587064838,10426,10426
1587066732,7781,7781
1587068663,5788,5788
1587070569,3403,3403
1587072488,2512,2512
1587075615,2496,2496
1587077549,2482,2482
