DateTime,AddedIPs,RemovedIPs
1584941789,0,1
1584945634,3,1
1584947532,2,0
1584951389,4,1
1584953304,1,0
1584955239,1,0
1584968896,1,0
1584971058,1,1
1584972985,0,1
1584976816,1,0
1584982586,1,0
1584984495,3,0
1584987641,0,2
1584995293,0,1
1584998198,1,1
1585000108,3,0
1585007798,1,0
1585009695,1,2
1585012581,2,1
1585014508,0,1
1585016424,1,0
1585020274,1,0
1585024340,1,0
1585026296,0,1
1585030345,0,2
1585032255,1,1
1585034187,0,2
1585038017,0,4
1585039944,0,1
1585041853,0,1
1585043783,1,0
1585053623,2,0
1585055533,0,1
1585057469,0,1
1585059387,1,0
1585063229,2,1
1585067059,1,0
1585068981,0,1
1585070889,0,3
1585074745,2,0
1585080515,1,0
1585082416,1,0
1585084334,0,1
1585086263,0,3
1585088171,1,0
1585093931,2,1
1585095869,1,1
1585097769,1,2
1585099691,1,0
1585102590,0,1
1585104503,1,0
1585106425,0,1
1585110270,0,1
1585112191,1,0
1585119143,0,1
1585121056,5,0
1585122985,1,0
1585127068,1,0
1585128974,1,1
1585130906,1,0
1585132834,1,0
1585140519,1,2
1585144374,0,1
1585150097,1,1
1585152281,1,0
1585154417,1,1
1585156384,1,0
1585158256,1,0
1585160183,0,1
1585162130,0,1
1585165944,0,1
1585167871,0,1
1585171708,1,0
1585174580,2,1
1585176550,1,0
1585178415,1,0
1585180399,1,2
1585182266,0,1
1585184701,3,2
1585190449,1,1
1585192358,1,0
1585198111,0,1
1585204002,1,0
1585206318,0,2
1585208193,0,4
1585213958,0,1
1585215861,0,1
1585218020,0,1
1585219941,0,1
1585223779,2,0
1585225700,0,1
1585231697,1,0
1585235807,0,2
1585239625,1,2
1585243458,1,1
1585245405,0,1
1585253295,1,0
1585259071,0,1
1585260975,3,2
1585262906,0,1
1585264809,3,1
1585266728,0,1
1585270569,2,3
1585274560,2,0
1585276588,0,1
1585278499,0,1
1585284259,1,0
1585286222,1,0
1585291931,0,1
1585293875,1,0
1585295772,4,0
1585297704,1,0
1585307780,2,0
1585309692,0,2
1585311626,1,0
1585317385,1,1
1585319293,1,0
1585325093,1,0
1585326972,0,1
1585330819,0,1
1585332756,2,0
1585340446,0,1
1585342331,3,0
1585346185,1,0
1585348089,0,3
1585350999,3,3
1585352909,1,0
1585356732,0,2
1585360574,0,1
1585362497,0,1
1585364584,2,0
1585370414,0,1
1585372350,0,1
1585380015,1,1
1585381934,0,4
1585383915,0,1
1585393716,0,2
1585397807,0,1
1585401617,1,0
1585403547,0,1
1585405452,0,1
1585407414,1,0
1585409294,1,0
1585414094,1,0
1585419868,0,2
1585421779,1,0
1585423977,1,0
1585427836,2,2
1585429697,0,1
1585431621,0,1
1585433551,1,0
1585435460,0,2
1585437376,0,1
1585439307,1,1
1585451012,0,2
1585464731,2,0
1585466656,0,1
1585468571,2,0
1585470510,4,0
1585488512,0,1
1585493298,1,0
1585495228,1,2
1585500987,1,1
1585502897,1,0
1585506994,1,1
1585510810,1,1
1585512980,1,2
1585518731,1,1
1585520712,1,0
1585524497,1,0
1585527620,2,1
1585538177,1,0
1585540107,0,1
1585549694,0,1
1585551796,0,1
1585555691,1,4
1585557628,0,2
1585565289,1,0
1585569150,1,0
1585572980,3,0
1585578972,0,1
1585582830,0,1
1585586664,2,0
1585590515,0,1
1585592420,0,1
1585596272,3,0
1585598276,0,2
1585600509,1,0
1585604416,0,1
1585606581,4,0
1585608496,0,1
1585610429,0,1
1585614277,0,2
1585618143,2,0
1585622912,1,2
1585628707,1,0
1585636495,1,0
1585642582,2,1
1585644519,3,0
1585648354,1,0
1585652179,2,1
1585654109,1,0
1585656274,1,1
1585660147,2,3
1585664198,1,0
1585671879,0,1
1585673787,0,1
1585675698,1,0
1585678832,2,0
1585680732,1,0
1585682657,0,3
1585686496,0,1
1585692515,0,4
1585704025,0,1
1585705930,0,1
1585709775,1,1
1585715788,1,1
1585717703,1,0
1585723563,1,1
1585729272,0,2
1585731149,0,3
1585733059,0,1
1585734990,1,0
1585739013,0,2
1585741240,0,1
1585743139,1,1
1585746974,0,2
1585748906,0,1
1585750827,1,0
1585762586,1,1
1585764803,0,2
1585766655,0,1
1585796613,1,1
1585802413,0,1
1585804344,0,1
1585810106,0,1
1585817781,3,0
1585819746,2,0
1585822571,2,1
1585830264,1,1
1585836739,0,1
1585840579,2,0
1585848295,0,1
1585850186,1,0
1585860020,1,0
1585871596,1,0
1585883318,0,1
1585900609,1,0
1585904568,0,4
1585906571,0,1
1585908509,0,1
1585910410,0,1
1585914496,1,0
1585916455,0,1
1585920256,1,0
1585926082,0,1
1585927951,0,1
1585932010,2,0
1585935869,0,1
1585945450,0,1
1585958180,0,1
1585966822,1,0
1585978362,1,0
1585986288,0,1
1585990116,3,0
1585992027,2,0
1585993932,1,0
1585997789,1,0
1586001780,0,1
1586005710,1,0
1586007613,0,1
1586017225,0,1
1586019130,0,1
1586022983,1,0
1586038332,1,0
1586053699,0,1
1586064510,0,1
1586070301,1,0
1586076113,0,3
1586077936,1,1
1586079865,0,2
1586083691,0,1
1586091413,1,1
1586102972,1,0
1586108917,0,1
1586110832,1,0
1586114658,1,0
1586123686,0,1
1586125703,1,0
1586127700,2,0
1586132422,1,0
1586150266,1,0
1586155933,0,1
1586159784,1,0
1586163860,0,1
1586175392,1,0
1586177308,0,1
1586190995,0,1
1586194814,1,0
1586196761,1,0
1586198654,0,1
1586200823,0,1
1586204672,1,0
1586212578,0,1
1586214501,0,1
1586218342,0,1
1586227936,1,0
1586243546,1,0
1586245497,2,1
1586247378,1,1
1586251220,1,1
1586257004,1,0
1586258898,1,0
1586261039,0,1
1586264914,1,0
1586272594,1,0
1586280295,0,1
1586284097,0,1
1586287974,1,0
1586290822,0,1
1586304494,1,0
1586310252,1,0
1586314106,2,1
1586323941,1,0
1586329702,0,1
1586331615,0,2
1586333552,0,1
1586337377,0,1
1586343133,0,1
1586345070,0,1
1586351079,0,1
1586360652,0,1
1586374115,1,1
1586391682,0,1
1586397373,0,1
1586399306,0,1
1586401460,0,1
1586405299,2,0
1586411057,0,1
1586414906,1,0
1586424504,2,0
1586426637,3,0
1586434334,1,0
1586460490,0,1
1586470350,1,0
1586481864,1,0
1586487805,1,0
1586491702,0,1
1586495546,1,0
1586499381,1,0
1586501294,1,1
1586510890,1,2
1586512954,0,3
1586514989,0,1
1586520746,0,1
1586522650,1,0
1586546651,1,0
1586556518,0,1
1586568032,1,1
1586569941,1,0
1586573784,0,1
1586581713,0,1
1586585549,0,1
1586587467,0,1
1586597070,0,1
1586602991,1,0
1586608589,0,1
1586612432,1,0
1586614599,1,0
1586633100,0,1
1586635011,1,0
1586654667,0,1
1586656574,0,1
1586658742,1,0
1586660705,1,0
1586662591,1,0
1586664534,2,0
1586676022,1,0
1586681805,2,0
1586689694,1,0
1586697374,1,0
1586699293,0,1
1586701235,0,1
1586716577,1,0
1586720423,0,1
1586731935,1,0
1586745624,0,1
1586747545,0,1
1586749450,0,1
1586751667,0,2
1586755472,1,0
1586759649,3,0
1586761500,0,1
1586765306,1,1
1586767239,0,1
1586769155,0,1
1586771070,1,0
1586776847,0,1
1586778748,1,0
1586782615,1,0
1586784748,0,1
1586786770,3,0
1586788583,1,0
1586798451,1,0
1586802514,0,1
1586804616,1,0
1586810416,1,0
1586818101,0,1
1586843307,1,0
1586845279,0,3
1586847137,2,0
1586850994,0,1
1586856991,1,1
1586864669,0,1
1586868498,1,0
1586870431,0,1
1586872344,0,3
1586876208,0,1
1586882194,1,0
1586884125,0,1
1586891801,0,1
1586897565,0,1
1586913145,1,0
1586915055,1,0
1586917003,1,1
1586930714,2,1
1586932590,0,2
1586944351,0,1
1586950105,1,0
1586954895,0,1
1586958734,5,0
1586960652,1,0
1586962596,1,0
1586966630,2,0
1586968590,0,1
1586970499,1,0
1586974370,1,0
1586982021,1,0
1586993792,1,0
1586999782,1,1
1587001712,0,1
1587005540,1,0
1587013386,1,0
1587017296,0,2
1587023300,1,0
1587030974,1,0
1587032894,0,1
1587036756,0,1
1587040819,1,0
1587044895,0,5
1587046839,0,1
1587048733,0,1
1587052582,0,1
1587054488,0,1
1587056512,1,1
1587060507,0,1
1587072023,2,0
1587077772,1,0
1587079691,0,1
1587085713,0,1
1587091465,3,0
1587093377,0,2
1587101055,0,1
1587103020,1,0
1587110922,0,1
1587112820,1,0
1587114752,1,0
1587116669,0,1
1587122424,1,0
1587126282,0,1
1587130094,1,0
1587136119,1,0
1587141938,1,1
1587147630,1,0
1587157337,0,1
1587159150,0,1
1587164903,0,1
1587176420,1,0
1587178343,0,3
1587182181,1,0
1587188905,0,1
1587198494,0,1
1587200588,0,1
1587206413,2,0
1587208364,0,1
1587216012,0,1
1587221770,1,0
1587223690,0,1
1587228774,1,1
1587234500,0,1
1587244392,1,0
1587251988,70,0
1587255913,1,0
1587263781,1,1
1587269544,1,1
1587281120,3,0
1587282971,3,0
1587286959,2,0
1587288984,2,0
1587290917,1,0
