DateTime,Entries,UniqueIPs
1586314107,3313,3313
1586316015,3296,3296
1586317933,3294,3294
1586319879,3294,3294
1586321791,3274,3274
1586323941,3311,3311
1586325915,3294,3294
1586327806,3304,3304
1586329703,3275,3275
1586331615,3261,3261
1586333552,3241,3241
1586335455,3238,3238
1586337377,3228,3228
1586339311,3245,3245
1586341225,3204,3204
1586343134,3199,3199
1586345071,3195,3195
1586346990,3191,3191
1586349140,3165,3165
1586351080,3139,3139
1586352989,3140,3140
1586354929,3143,3143
1586356840,3119,3119
1586358751,3082,3082
1586360652,3059,3059
1586362602,3047,3047
1586364509,2994,2994
1586366420,3000,3000
1586368338,3018,3018
1586370267,3007,3007
1586372176,2947,2947
1586374116,2989,2989
1586376241,3038,3038
1586378207,3039,3039
1586380093,3036,3036
1586382014,3088,3088
1586383948,3110,3110
1586385858,3105,3105
1586387774,3095,3095
1586389708,3100,3100
1586391683,3110,3110
1586393584,3106,3106
1586395465,3127,3127
1586397374,3131,3131
1586399307,3124,3124
1586401471,3134,3134
1586403385,3139,3139
1586405299,3164,3164
1586407235,3150,3150
1586409145,3117,3117
1586411057,3133,3133
1586412985,3132,3132
1586414906,3132,3132
1586416853,3152,3152
1586418733,3164,3164
1586420676,3192,3192
1586422586,3211,3211
1586424504,3243,3243
1586426672,3254,3254
1586428604,3279,3279
1586430502,3290,3290
1586432412,3309,3309
1586434335,3311,3311
1586436274,3327,3327
1586438175,3331,3331
1586440340,3333,3333
1586442256,3320,3320
1586444183,3326,3326
1586446094,3327,3327
1586448110,3349,3349
1586449953,3354,3354
1586451915,3364,3364
1586453776,3370,3370
1586455727,3386,3386
1586457617,3384,3384
1586459564,3361,3361
1586461457,3335,3335
1586463373,3321,3321
1586465332,3343,3343
1586467211,3364,3364
1586469136,3378,3378
1586471064,3402,3402
1586472986,3420,3420
1586474888,3414,3414
1586476939,3424,3424
1586478988,3430,3430
1586481864,3448,3448
1586483778,3473,3473
1586485693,3490,3490
1586487811,3510,3510
1586489790,3512,3512
1586491703,3517,3517
1586493634,3557,3557
1586495547,3600,3600
1586497465,3584,3584
1586499381,3594,3594
1586501294,3609,3609
1586503226,3622,3622
1586505136,3664,3664
1586507075,3646,3646
1586509023,3669,3669
1586510891,3660,3660
1586512987,3666,3666
1586514989,3652,3652
1586516900,3679,3679
1586518842,3685,3685
1586520747,3709,3709
1586522658,3707,3707
1586524572,3698,3698
1586526510,3664,3664
1586528410,3645,3645
1586530332,3647,3647
1586532270,3665,3665
1586534171,3662,3662
1586536088,3675,3675
1586538991,3649,3649
1586540906,3604,3604
1586542823,3608,3608
1586544755,3601,3601
1586546651,3595,3595
1586548950,3583,3583
1586550804,3587,3587
1586552676,3597,3597
1586554589,3578,3578
1586556518,3548,3548
1586558437,3509,3509
1586560343,3486,3486
1586562273,3584,3584
1586564177,3559,3559
1586566099,3560,3560
1586568033,3537,3537
1586569941,3515,3515
1586571867,3504,3504
1586573785,3462,3462
1586575710,3449,3449
1586577819,3422,3422
1586579786,3386,3386
1586581715,3336,3336
1586583625,3341,3341
1586585550,3347,3347
1586587468,3322,3322
1586589411,3312,3312
1586591339,3325,3325
1586593224,3330,3330
1586595139,3291,3291
1586597071,3282,3282
1586598987,3288,3288
1586600955,3286,3286
1586602998,3247,3247
1586604868,3210,3210
1586606725,3145,3145
1586608590,3122,3122
1586610503,3159,3159
1586612433,3145,3145
1586614600,3151,3151
1586616501,3139,3139
1586618435,3092,3092
1586620379,3096,3096
1586622258,3049,3049
1586624233,3037,3037
1586626141,3027,3027
1586629222,3051,3051
1586631137,3045,3045
1586633101,3030,3030
1586635012,3074,3074
1586637142,3032,3032
1586639308,2980,2980
1586641217,2947,2947
1586643180,2960,2960
1586645055,2953,2953
1586646984,2949,2949
1586648907,2832,2832
1586650816,2829,2829
1586652739,2829,2829
1586654668,2829,2829
1586656575,2823,2823
1586658750,2814,2814
1586660705,2842,2842
1586662591,2835,2835
1586664535,2848,2848
1586666433,2895,2895
1586668355,2895,2895
1586670265,2924,2924
1586672181,2920,2920
1586674113,2933,2933
1586676023,2917,2917
1586677962,2887,2887
1586679896,2885,2885
1586681805,2870,2870
1586683945,2895,2895
1586685878,2894,2894
1586687787,2913,2913
1586689695,2951,2951
1586691626,2939,2939
1586693552,2970,2970
1586695481,2990,2990
1586697374,2974,2974
1586699293,2979,2979
1586701236,2981,2981
1586703149,2976,2976
1586705055,2994,2994
1586707032,3015,3015
1586708902,3017,3017
1586710973,2996,2996
1586712781,3015,3015
1586714670,3001,3001
1586716585,2967,2967
1586718503,2985,2985
1586720424,2984,2984
