DateTime,AddedIPs,RemovedIPs
1582884519,4,0
1582894098,5,0
1582899858,1,0
1582901789,0,4
1582906575,0,1
1582918093,3,0
1582931800,0,1
1582935629,0,2
1582939485,0,4
1582941398,1,0
1582943294,4,0
1582945381,2,0
1582947374,4,0
1582949317,2,0
1582951216,0,1
1582953135,0,1
1582955089,1,0
1582956992,4,0
1582958907,6,0
1582960829,1,0
1582964656,0,1
1582968492,1,0
1582970577,2,4
1582976414,15,0
1582980251,7,5
1582986022,0,1
1583005469,1,2
1583007373,1,0
1583020999,1,0
1583024940,2,0
1583028734,10,5
1583030668,1,0
1583032593,0,2
1583034499,8,6
1583036426,0,1
1583040253,0,1
1583044100,3,8
1583049144,4,1
1583054899,0,1
1583056967,0,3
1583062821,0,15
1583066916,0,7
1583072717,1,0
1583078623,1,0
1583092111,0,1
1583094034,0,1
1583107730,0,1
1583111592,0,2
1583115400,0,10
1583117333,0,1
1583119242,0,8
1583131219,0,5
1583135056,0,4
1583160504,0,1
1583164337,0,1
1583265416,3,0
1583349853,2,0
1583351776,0,3
1583434979,0,2
1583609292,1,0
1583640541,3,0
1583657775,1,0
1583680097,3,0
1583697396,0,1
1583707237,1,0
1583712980,1,0
1583714902,6,0
1583716854,2,0
1583718759,4,0
1583722598,1,0
1583724518,3,0
1583726665,0,3
1583740098,1,0
1583742038,1,0
1583743935,3,1
1583751845,8,0
1583755730,12,0
1583759540,3,0
1583765299,2,0
1583767262,0,3
1583772978,1,0
1583774947,1,0
1583792418,1,0
1583794356,1,1
1583800097,0,2
1583803246,2,7
1583805159,2,3
1583807086,1,0
1583809000,0,1
1583810908,2,3
1583814035,1,0
1583815956,2,0
1583821698,4,0
1583823761,1,0
1583827481,2,2
1583829374,0,3
1583831302,1,0
1583837052,1,8
1583842834,0,12
1583846681,0,3
1583852629,0,2
1583858422,1,1
1583860609,0,1
1583868273,1,0
1583875222,1,0
1583877132,0,1
1583879059,1,0
1583880978,0,1
1583882891,1,0
1583888742,6,3
