DateTime,Entries,UniqueIPs
1586314109,1420,1420
1586316020,1415,1415
1586317937,1423,1423
1586319882,1432,1432
1586321796,1424,1424
1586323945,1439,1439
1586325923,1439,1439
1586327809,1445,1445
1586329707,1437,1437
1586331622,1433,1433
1586333555,1429,1429
1586335459,1423,1423
1586337380,1431,1431
1586339315,1437,1437
1586341227,1409,1409
1586343136,1425,1425
1586345090,1419,1419
1586346995,1419,1419
1586349142,1399,1399
1586351091,1384,1384
1586352991,1371,1371
1586354932,1339,1339
1586356842,1324,1324
1586358756,1307,1307
1586360656,1303,1303
1586362604,1292,1292
1586364540,1228,1228
1586366422,1238,1238
1586368341,1254,1254
1586370271,1257,1257
1586372179,1280,1280
1586374118,1306,1306
1586376300,1345,1345
1586378210,1346,1346
1586380096,1351,1351
1586382017,1376,1376
1586383950,1406,1406
1586385860,1413,1413
1586387779,1409,1409
1586389710,1402,1402
1586391685,1428,1428
1586393602,1422,1422
1586395469,1436,1436
1586397377,1449,1449
1586399312,1463,1463
1586401571,1480,1480
1586403388,1495,1495
1586405304,1512,1512
1586407237,1508,1508
1586409158,1508,1508
1586411063,1545,1545
1586412987,1547,1547
1586414909,1566,1566
1586416857,1588,1588
1586418736,1593,1593
1586420679,1616,1616
1586422590,1623,1623
1586424507,1640,1640
1586426751,1659,1659
1586428607,1676,1676
1586430505,1694,1694
1586432415,1717,1717
1586434337,1742,1742
1586436278,1773,1773
1586438177,1788,1788
1586440342,1813,1813
1586442258,1833,1833
1586444185,1851,1851
1586446099,1865,1865
1586448193,1885,1885
1586450177,1889,1889
1586452104,1881,1881
1586454014,1889,1889
1586455943,1909,1909
1586457893,1915,1915
1586459774,1905,1905
1586461708,1888,1888
1586463612,1895,1895
1586465531,1932,1932
1586467467,1967,1967
1586469406,2018,2018
1586471289,2029,2029
1586474418,2025,2025
1586476337,2033,2033
1586478276,2054,2054
1586480193,2076,2076
1586482114,2095,2095
1586484353,2125,2125
1586486188,2157,2157
1586488129,2180,2180
1586490026,2188,2188
1586491953,2198,2198
1586493856,2219,2219
1586495780,2243,2243
1586497700,2232,2232
1586499639,2250,2250
1586501541,2240,2240
1586503458,2267,2267
1586505385,2292,2292
1586507328,2300,2300
1586509468,2337,2337
1586511385,2346,2346
1586513310,2351,2351
1586515226,2358,2358
1586517158,2377,2377
1586519089,2386,2386
1586521008,2382,2382
1586522918,2380,2380
1586524821,2364,2364
