DateTime,Entries,UniqueIPs
1586313390,12900,12900
1586315306,12906,12906
1586317221,12852,12852
1586319154,12749,12749
1586321053,12714,12714
1586322987,12707,12707
1586324919,12688,12688
1586326872,12666,12666
1586328734,12641,12641
1586330676,12622,12622
1586332578,12605,12605
1586334500,12606,12606
1586336641,12593,12593
1586338590,12559,12559
1586340495,12516,12516
1586342414,12484,12484
1586344363,12785,12785
1586346252,12774,12774
1586348183,13927,13927
1586350112,14354,14354
1586352013,14391,14391
1586353933,14385,14385
1586355878,14400,14400
1586357770,14409,14409
1586359694,14906,14906
1586361728,15558,15558
1586363533,16069,16069
1586365380,16781,16781
1586367390,17241,17241
1586369295,17400,17400
1586371213,17426,17426
1586373148,17444,17444
1586375085,17434,17434
1586376984,17424,17424
1586378951,17422,17422
1586380817,17434,17434
1586382737,17430,17430
1586384682,17442,17442
1586386572,17442,17442
1586388747,17476,17476
1586390812,17411,17411
1586392641,17419,17419
1586394504,17419,17419
1586396430,17390,17390
1586398352,17417,17417
1586400284,17415,17415
1586402186,17410,17410
1586404124,17418,17418
1586406025,17424,17424
1586407941,17432,17432
1586409870,17432,17432
1586411775,17428,17428
1586413735,17423,17423
1586415791,17428,17428
1586417783,17434,17434
1586419697,17456,17456
1586421617,17471,17471
1586423801,17476,17476
1586425716,17471,17471
1586427628,17496,17496
1586429529,17491,17491
1586431453,17201,17201
1586433388,16962,16962
1586435291,15734,15734
1586438179,15744,15744
1586440345,15681,15681
1586442260,15677,15677
1586444201,15670,15670
1586446102,15187,15187
1586448226,14687,14687
1586450181,14176,14176
1586452106,13450,13450
1586454017,12853,12853
1586455947,12890,12890
1586457895,12989,12989
1586459803,13076,13076
1586461710,13143,13143
1586463614,13192,13192
1586465533,13261,13261
1586467471,13310,13310
1586469408,13330,13330
1586471292,13364,13364
1586474420,13407,13407
1586476339,13378,13378
1586478280,13401,13401
1586480195,13417,13417
1586482147,13419,13419
1586484359,13455,13455
1586486190,13467,13467
1586488132,13484,13484
1586490028,13460,13460
1586491957,13474,13474
1586493859,13474,13474
1586495783,13458,13458
1586497702,13433,13433
1586499641,13440,13440
1586501543,13413,13413
1586503460,13410,13410
1586505387,13374,13374
1586507330,13357,13357
1586509471,13347,13347
1586511387,13329,13329
1586513312,13306,13306
1586515237,13308,13308
1586517159,13299,13299
1586519091,13305,13305
1586521009,13301,13301
1586522920,13286,13286
1586524824,13236,13236
1586526749,13230,13230
1586528675,13250,13250
1586530620,13255,13255
1586532502,13252,13252
1586534640,13220,13220
1586536592,13181,13181
1586538515,13151,13151
1586540418,13152,13152
1586542617,13129,13129
1586544532,13100,13100
1586546462,13055,13055
1586548358,13021,13021
1586550266,12996,12996
1586552216,12963,12963
1586554106,12950,12950
1586556340,12930,12930
1586558224,12925,12925
1586560122,12890,12890
1586562030,12871,12871
1586563942,12857,12857
1586565871,12827,12827
1586567777,12870,12870
1586569704,12819,12819
1586571651,12789,12789
1586573540,12787,12787
1586575457,12755,12755
1586577832,12883,12883
1586579790,12841,12841
1586581745,12992,12992
1586583632,13375,13375
1586585554,13749,13749
1586587473,13804,13804
1586589417,13785,13785
1586591359,13791,13791
1586593228,13810,13810
1586595143,13792,13792
1586597088,13792,13792
1586598994,13796,13796
1586600960,13782,13782
1586603091,13777,13777
1586605237,13732,13732
1586607153,13685,13685
1586609057,13674,13674
1586610991,13662,13662
1586612907,13661,13661
1586614819,13621,13621
1586616752,13604,13604
1586618676,13674,13674
1586620625,13659,13659
1586622497,13655,13655
1586624633,13655,13655
1586626588,13665,13665
1586628504,13792,13792
1586630416,14068,14068
1586632372,14069,14069
1586634282,14092,14092
1586636177,14113,14113
1586638110,14134,14134
1586640011,14133,14133
1586641933,14122,14122
1586643892,14137,14137
1586645777,14099,14099
1586647691,14108,14108
1586649805,14109,14109
1586651798,14121,14121
1586653694,14121,14121
1586655615,14121,14121
1586657570,14130,14130
1586659457,14125,14125
1586661372,14135,14135
1586663306,14026,14026
1586665256,14023,14023
1586667130,13975,13975
1586669064,13609,13609
1586670971,13077,13077
1586672894,13834,13834
1586674983,17393,17393
1586676990,17393,17393
1586678930,17378,17378
1586680841,17382,17382
1586682744,17382,17382
1586684653,17390,17390
1586686595,17382,17382
1586688500,17381,17381
1586690449,17371,17371
1586692344,17369,17369
1586694276,17366,17366
1586696216,17364,17364
1586698089,17359,17359
1586700975,17332,17332
1586702899,17342,17342
1586704828,17252,17252
1586706738,17478,17478
1586708667,17544,17544
1586710592,17572,17572
1586712516,17711,17711
1586714530,17698,17698
1586716336,17141,17141
1586718276,17217,17217
1586720176,17231,17231
1586722094,17287,17287
1586724034,17363,17363
1586725934,17689,17689
1586727888,18067,18067
1586729773,18281,18281
1586731724,18301,18301
1586733623,18324,18324
1586735545,18360,18360
1586737456,19096,19096
1586739421,20156,20156
1586741293,21077,21077
1586744430,22847,22847
1586746371,23876,23876
1586748284,24822,24822
1586750180,25702,25702
1586752094,26567,26567
