DateTime,AddedIPs,RemovedIPs
1585662141,0,1
1585663293,0,1
1585665977,0,1
1585671254,1,6
1585673716,2,0
1585674916,0,2
1585676541,1,2
1585681825,0,1
1585686795,2,1
1585688181,1,1
1585690938,0,1
1585694039,1,0
1585697296,2,0
1585701034,0,1
1585704496,2,0
1585714460,1,0
1585716136,1,0
1585717822,0,1
1585719030,0,1
1585724198,2,0
1585725261,1,0
1585744605,1,0
1585745777,0,1
1585746920,1,0
1585755739,0,4
1585757745,1,0
1585758495,1,0
1585764919,0,1
1585766441,1,0
1585769434,1,0
1585770140,1,0
1585773737,0,1
1585777965,0,12
1585782859,1,0
1585788623,0,2
1585793656,1,0
1585795336,0,1
1585800858,1,0
1585805715,0,1
1585812501,1,0
1585815259,0,1
1585818922,6,0
1585821799,1,0
1585833320,1,0
1585834809,1,0
1585838538,2,0
1585840518,0,1
1585842135,1,2
1585844056,2,3
1585845315,2,0
1585846516,0,1
1585854861,2,0
1585856054,0,1
1585857189,0,1
1585858520,0,1
1585861820,2,0
1585863032,0,1
1585865657,0,1
1585868752,0,1
1585871780,1,0
1585874541,0,2
1585878976,1,0
1585881322,0,1
1585887313,0,1
1585893319,1,0
1585894522,2,1
1585900231,1,0
1585905256,0,1
1585906936,0,1
1585909835,1,0
1585912454,1,0
1585918578,0,1
1585919718,3,0
1585928417,0,5
1585936145,0,1
1585937655,1,1
1585941027,1,1
1585948218,1,0
1585949300,1,0
1585954515,0,1
1585958455,2,0
1585959621,1,0
1585962919,0,1
1585964540,1,0
1585972576,0,1
1585975239,1,0
1585978938,1,0
1585980618,0,1
1585981821,0,1
1585986142,2,0
1585989736,1,0
1585991382,0,1
1586001375,1,0
1586004977,0,1
1586008518,0,2
1586010498,1,0
1586014498,0,10
1586016447,1,0
1586019375,1,0
1586020521,3,0
1586022321,0,1
1586023819,0,2
1586029243,3,0
1586030494,0,2
1586036536,2,0
1586042055,0,1
1586049257,1,0
1586056219,1,0
1586058140,1,0
1586063420,0,1
1586065335,0,1
1586068353,1,0
1586070855,1,1
1586075297,1,0
1586079197,0,1
1586080523,1,0
1586085318,1,0
1586091316,2,2
1586094135,0,1
1586097739,0,1
1586101335,0,1
1586106856,1,1
1586108016,0,1
1586112139,1,0
1586117400,1,0
1586121018,0,2
1586122095,0,1
1586124861,1,0
1586126448,1,1
1586129717,0,1
1586133641,1,1
1586137342,1,0
1586143702,1,0
1586146459,0,1
1586153253,1,0
1586154916,1,1
1586156179,1,0
1586157255,0,1
1586160623,0,1
1586171419,1,1
1586172494,1,0
1586174244,1,0
1586176096,2,0
1586180539,1,1
1586183298,1,0
1586185820,0,1
1586187027,2,0
1586188518,1,0
1586190021,1,1
1586191241,0,2
1586198099,0,1
1586200521,0,1
1586202140,2,0
1586205737,0,2
1586212102,1,0
1586219638,0,1
