DateTime,AddedIPs,RemovedIPs
1586462134,1,0
1586463916,2,3
1586464457,0,1
1586465821,1,0
1586466938,3,0
1586469017,2,1
1586471120,2,2
1586472618,1,0
1586475260,9,9
1586476574,3,2
1586478025,5,2
1586478860,5,4
1586481920,12,7
1586483418,4,5
1586484584,7,5
1586486056,9,7
1586488162,11,4
1586489663,10,4
1586491013,6,3
1586492718,6,6
1586494662,2,7
1586496311,6,4
1586497423,1,10
1586498568,4,1
1586499917,7,0
1586501166,4,7
1586502270,2,4
1586504057,6,4
1586505451,6,2
1586507041,4,3
1586507655,0,3
1586509290,7,9
1586510421,1,1
1586512676,6,9
1586513877,3,1
1586514859,1,4
1586516208,3,3
1586517919,5,3
1586519117,2,5
1586522058,8,5
1586523196,2,1
1586525655,4,4
1586526959,5,1
1586529260,0,2
1586530505,2,2
1586532319,1,0
1586533421,0,5
1586535917,4,0
1586536458,0,5
1586538119,1,2
1586541539,4,2
1586543658,4,3
1586545350,2,0
1586546720,2,0
1586548771,5,3
1586550859,2,2
1586552044,0,2
1586553506,3,1
1586554467,3,1
1586555604,3,2
1586556937,3,1
1586561661,12,14
1586563229,5,6
1586564718,6,0
1586565259,4,4
1586566991,5,7
1586568860,14,3
1586570489,11,3
1586572459,11,6
1586574048,3,7
1586575522,5,0
1586577022,11,6
1586579658,9,13
1586582533,14,4
1586583258,4,4
1586584993,8,7
1586586857,10,6
1586588820,9,6
1586590459,4,6
1586592217,2,5
1586594059,6,5
1586595180,2,3
1586597118,6,2
1586598618,3,1
1586600603,5,0
1586601257,2,1
1586602498,3,0
1586603832,2,1
1586604858,1,1
1586605959,2,0
1586607918,6,0
1586609420,3,4
1586610982,3,3
1586613020,1,2
1586615115,2,1
1586616619,2,5
1586617734,4,2
1586619520,3,0
1586621069,1,4
1586622863,2,1
1586624351,3,0
1586625916,1,1
1586626454,0,1
1586628295,7,3
1586629419,1,0
1586633116,9,2
1586634615,1,2
1586636472,2,0
1586638060,2,2
1586638842,0,2
1586640317,1,0
1586642460,2,3
1586645420,0,7
1586647417,4,0
1586648057,1,8
1586649647,6,6
1586651119,3,0
1586651659,2,5
1586655255,10,13
1586657161,10,4
1586658861,10,8
1586661553,6,7
1586662457,2,7
1586664441,3,4
1586666053,2,4
1586669658,5,13
1586671666,5,2
1586673515,5,6
1586676857,8,7
1586678380,3,6
1586679532,2,0
1586680460,3,4
1586683133,3,4
1586684058,0,7
1586685173,4,2
1586686441,3,2
1586687657,6,4
1586691261,8,22
1586693326,3,14
1586695818,2,9
1586696445,1,3
1586697916,1,0
1586698456,0,1
1586699841,3,1
1586701520,5,3
1586702927,0,1
1586704606,1,0
1586705655,0,2
1586707772,4,2
1586709197,1,1
1586710787,1,3
1586712861,0,2
1586715917,2,1
1586717419,0,2
1586720058,5,4
1586722221,1,1
1586723657,4,5
1586725165,1,4
1586726717,3,0
1586729457,3,2
1586730863,1,1
1586732988,3,4
1586735415,10,10
1586736514,4,1
1586737696,3,0
1586741656,17,20
1586743103,8,4
1586744716,13,0
1586745256,8,7
1586746436,10,3
1586747751,8,6
1586749153,13,4
1586751595,12,9
1586752460,1,4
1586754226,8,9
1586756061,8,8
1586757832,7,10
1586759119,10,0
1586760618,7,6
1586763259,8,8
1586765153,6,3
1586766856,4,4
1586768035,2,1
1586769556,7,1
1586770455,3,10
1586772291,11,3
1586773517,4,1
1586775413,12,12
1586777117,3,1
1586777656,2,2
1586779296,5,2
1586781258,6,5
1586784320,5,3
1586785586,1,1
1586787251,1,1
1586788457,2,3
1586791518,10,2
1586792058,1,2
1586793695,1,2
1586795118,2,0
1586796616,4,0
1586799260,5,8
1586801693,5,3
1586802856,4,8
1586805513,4,2
1586806458,0,3
1586807665,0,1
1586808925,2,2
1586810056,1,3
1586811954,5,3
1586816172,8,4
1586817259,2,4
1586818834,1,4
1586820318,1,0
1586820862,0,3
1586823132,3,8
1586824462,6,4
1586828057,22,11
1586829645,7,5
1586830998,11,0
1586831661,3,4
1586835256,28,9
1586836727,9,6
1586837865,5,0
1586838857,4,3
1586841562,15,6
1586844094,7,7
1586846064,5,8
1586847691,4,7
1586849653,5,4
1586851324,1,2
1586853258,3,4
1586854850,5,7
1586856317,2,0
1586856857,1,3
1586859573,1,6
1586860462,1,3
1586861920,5,1
1586863296,3,1
1586865022,10,0
1586866518,5,3
1586868616,5,3
1586870108,3,2
1586871256,0,4
1586874021,7,2
1586876727,4,3
1586877919,1,0
1586880387,1,1
1586881520,2,0
1586884845,2,3
1586885992,0,1
1586887370,5,1
1586888724,6,1
1586890075,1,4
1586891746,3,0
1586893821,2,4
1586895680,0,1
1586896459,1,1
1586898134,3,3
1586900059,8,3
1586902911,6,2
1586903657,0,4
1586906720,5,8
1586908219,5,9
1586910146,10,2
1586910858,3,10
1586912866,9,7
1586914074,7,0
1586915377,3,15
1586917394,12,3
1586918060,1,9
1586919318,7,11
1586920574,6,5
1586921653,10,11
1586923401,11,3
1586925261,7,6
1586927279,17,12
1586929139,10,12
1586931843,16,7
1586932460,3,8
1586933794,3,0
1586935128,4,1
1586936052,1,8
1586937208,6,1
1586938603,14,5
1586939658,5,6
1586941978,13,13
1586943259,4,10
1586945934,13,8
1586946856,5,7
1586948104,5,1
1586949451,6,3
1586950461,4,7
1586953367,8,6
1586954057,0,8
1586956384,6,3
1586958620,1,7
1586960721,5,3
1586961931,0,5
1586963878,3,2
1586964862,4,3
1586966699,5,5
1586968457,3,2
1586970439,4,3
1586972057,2,5
1586973652,0,6
1586975122,2,0
1586978718,1,3
1586979256,1,3
1586980981,1,3
1586982856,1,5
1586985486,2,1
1586986460,2,5
1586987602,5,0
1586989523,3,0
1586991020,4,3
1586992294,2,3
1586993659,2,0
1586996719,4,10
1586998222,6,6
1587000260,11,4
1587001822,10,11
1587003152,8,10
1587004462,5,10
1587006047,10,10
1587007523,6,0
1587008059,3,6
1587011659,19,21
1587012814,6,3
1587014720,4,2
1587015257,5,2
1587017003,10,3
1587018863,10,4
1587021922,15,2
1587023161,5,2
1587024487,3,1
1587026058,7,2
1587027272,10,1
1587029117,10,0
1587029659,4,3
1587032442,8,4
1587034222,9,6
1587035896,8,5
1587036859,2,4
1587038095,2,3
1587039916,3,2
1587040457,1,3
1587042425,1,4
1587044367,6,5
1587046609,3,4
1587047731,6,1
1587049603,3,0
1587051256,2,4
1587053855,2,1
1587054858,1,1
1587056841,0,4
1587058457,2,5
1587061515,2,1
1587062055,2,6
1587063359,2,0
1587065659,6,3
1587066791,3,3
1587068716,3,1
1587069261,1,6
1587072859,5,6
1587074802,3,4
1587076458,1,3
1587077910,1,6
1587079519,2,2
1587081021,5,11
1587083119,8,1
1587084380,2,9
1587086153,9,5
1587088220,8,11
1587090321,10,7
1587091612,9,16
1587093426,8,4
1587094458,5,4
1587095756,11,6
1587097178,6,8
1587098062,2,13
1587100004,8,11
1587101658,8,7
1587103608,5,7
1587105266,7,5
1587108862,11,17
1587111529,6,10
1587112460,6,9
1587113727,3,4
1587115279,4,8
1587116060,1,9
1587117282,3,7
1587118527,6,9
1587119654,3,10
1587120898,2,2
1587122017,0,4
1587123559,2,5
1587125820,4,7
1587126860,2,0
1587128174,1,1
1587129920,3,0
1587131276,2,3
1587134059,1,6
1587135205,1,1
1587137118,3,1
1587138380,1,3
1587139760,2,0
1587141257,1,2
1587142454,0,1
1587143578,0,3
1587144920,2,3
1587148456,2,5
1587151518,0,1
1587153713,5,5
1587155660,2,1
1587157526,3,7
1587159258,1,2
1587160910,0,5
1587162320,4,0
1587162860,4,4
1587164168,108,2
1587165335,0,2
1587166458,1,3
1587168145,4,11
1587170060,2,7
1587173122,10,14
1587174619,6,17
1587176722,12,5
1587178228,5,13
1587180864,9,19
1587184457,11,21
1587185827,9,9
1587187170,8,12
1587188059,2,16
1587189299,5,5
