DateTime,Entries,UniqueIPs
1586476563,14245,14245
1586478019,14250,14250
1586478850,14236,14236
1586481910,14256,14256
1586483410,14268,14268
1586484578,14277,14277
1586486050,14270,14270
1586488152,14298,14298
1586489656,14299,14299
1586491007,14311,14311
1586492711,14325,14325
1586494656,14340,14340
1586497416,14317,14317
1586498563,14311,14311
1586499911,14332,14332
1586501150,14312,14312
1586502262,14305,14305
1586504050,14302,14302
1586505445,14308,14308
1586507036,14310,14310
1586507649,14294,14294
1586509280,14297,14297
1586510414,14316,14316
1586512670,14306,14306
1586513871,14298,14298
1586514850,14289,14289
1586516200,14302,14302
1586517911,14316,14316
1586519105,14281,14281
1586522050,14267,14267
1586523186,14275,14275
1586525649,14261,14261
1586526952,14274,14274
1586528710,14294,14294
1586529253,14273,14273
1586530499,14283,14283
1586532311,14308,14308
1586533416,14293,14293
1586535909,14294,14294
1586536450,14263,14263
1586538110,14279,14279
1586539342,14314,14314
1586541533,14299,14299
1586543648,14298,14298
1586545341,14282,14282
1586546713,14297,14297
1586548765,14255,14255
1586550851,14250,14250
1586552036,14261,14261
1586554458,14248,14248
1586555598,14259,14259
1586556928,14263,14263
1586561651,14259,14259
1586563198,14250,14250
1586564710,14263,14263
1586565252,14243,14243
1586566980,14245,14245
1586568852,14256,14256
1586570459,14254,14254
1586571910,14284,14284
1586572449,14274,14274
1586574037,14290,14290
1586575514,14320,14320
1586577010,14301,14301
1586579650,14297,14297
1586582522,14326,14326
1586583249,14298,14298
1586584983,14253,14253
1586586850,14233,14233
1586588810,14229,14229
1586590450,14177,14177
1586592211,14159,14159
1586594052,14181,14181
1586595175,14193,14193
1586597109,14178,14178
1586598610,14153,14153
1586600598,14172,14172
1586601251,14125,14125
1586602492,14129,14129
1586603821,14110,14110
1586604849,14075,14075
1586605953,14072,14072
1586607912,14055,14055
1586609413,14013,14013
1586610974,14031,14031
1586613013,14047,14047
1586615109,14065,14065
1586616611,13985,13985
1586617729,13949,13949
1586619514,13931,13931
1586621063,13904,13904
1586622856,13873,13873
1586624342,13862,13862
1586625909,13882,13882
1586626449,13835,13835
1586628289,13805,13805
1586629409,13829,13829
1586633109,13825,13825
1586634609,13813,13813
1586636462,13801,13801
1586638050,13769,13769
1586638832,13750,13750
1586640310,13775,13775
1586642446,13712,13712
1586643618,13744,13744
1586645412,13713,13713
1586647412,13717,13717
1586648051,13686,13686
1586649637,13668,13668
1586651111,13691,13691
1586651649,13641,13641
1586655249,13611,13611
1586657155,13578,13578
1586658853,13542,13542
1586661543,13539,13539
1586662450,13495,13495
1586664435,13461,13461
1586666050,13440,13440
1586669651,13361,13361
1586671660,13346,13346
1586673510,13380,13380
1586676849,13381,13381
1586678374,13374,13374
1586679526,13389,13389
1586680451,13373,13373
1586683128,13376,13376
1586684050,13355,13355
1586685168,13365,13365
1586686436,13357,13357
1586687650,13340,13340
1586691253,13334,13334
1586693321,13331,13331
1586695810,13310,13310
1586696435,13304,13304
1586697909,13330,13330
1586698450,13300,13300
1586699835,13312,13312
1586701512,13342,13342
1586702920,13328,13328
1586704595,13334,13334
1586705649,13327,13327
1586707767,13315,13315
1586709189,13295,13295
1586710781,13350,13350
1586711888,13490,13490
1586712851,13585,13585
1586713958,13655,13655
1586715910,13727,13727
1586717409,13770,13770
1586718939,13811,13811
1586720050,13821,13821
1586722210,13908,13908
1586723649,13952,13952
1586725155,14001,14001
1586726710,14053,14053
1586727250,14036,14036
1586729450,14041,14041
1586730853,14026,14026
