DateTime,Entries,UniqueIPs
1586261300,1851,1948
1586265147,1803,1898
1586267052,1829,1927
1586268980,1809,1902
1586270906,1806,1902
1586272820,1804,1904
1586274730,1797,1899
1586276665,1787,1889
1586278566,1816,1922
1586280735,1782,1879
1586282901,1777,1877
1586284808,1776,1878
1586286743,1773,1873
1586288647,1753,1852
1586290572,1801,1900
1586292501,1787,1892
1586294409,1779,1885
1586296330,1798,1903
1586298301,1794,1897
1586300168,1816,1917
1586302338,1827,1927
1586304253,1830,1931
1586306184,1840,1940
1586308093,1857,1957
1586310010,1867,1973
1586311949,1866,1976
1586313855,1902,2015
1586315774,1900,2012
1586317701,1905,2014
1586319610,1909,2015
1586321534,1908,2015
1586323460,1905,2015
1586325372,1910,2020
1586327291,1912,2022
1586329232,1929,2040
1586331132,1936,2047
1586333051,1936,2039
1586334981,1937,2039
1586336901,1934,2036
1586338810,1933,2035
1586340742,1933,2030
1586342652,1920,2018
1586344570,1908,2004
1586346503,1899,1995
1586348425,1889,1985
1586350331,1930,2026
1586352266,1918,2015
1586354167,1914,2008
1586356091,1912,2007
1586358022,1927,2021
1586359934,1938,2035
1586361851,1952,2049
1586363785,1963,2057
1586365701,1978,2068
1586369545,1930,2015
1586371452,1911,1996
1586373372,1910,1997
1586375304,1925,2010
1586377207,1927,2011
1586381058,1896,1970
1586382970,1880,1953
1586384886,1874,1947
1586386823,1854,1927
1586388733,1881,1955
1586390653,1860,1935
1586392581,1832,1912
1586394493,1755,1836
1586396416,1740,1820
1586400252,1745,1824
1586402170,1737,1820
1586404101,1741,1821
1586406010,1745,1826
1586407928,1755,1834
1586409859,1762,1840
1586411766,1770,1848
1586413721,1731,1812
1586415625,1756,1845
1586417534,1717,1801
1586419453,1718,1798
1586421386,1708,1789
1586423301,1716,1796
1586425227,1731,1811
1586427135,1775,1857
1586429059,1741,1820
1586430976,1741,1823
1586434819,1749,1834
1586436729,1767,1851
1586438647,1755,1842
1586440577,1734,1816
1586442532,1726,1808
1586444408,1763,1845
1586448506,1679,1760
1586452336,1635,1719
1586454260,1662,1746
1586456171,1658,1742
1586458093,1664,1747
1586460013,1650,1735
1586461929,1637,1719
1586463862,1609,1691
1586465770,1639,1722
1586467694,1631,1713
1586469631,1627,1710
1586471533,1655,1734
1586473702,1684,1762
1586475613,1701,1780
1586477544,1715,1792
1586479448,1698,1780
1586481372,1699,1784
1586483300,1700,1787
1586485207,1739,1830
1586487133,1732,1824
1586489063,1736,1825
1586490967,1738,1826
1586492888,1732,1823
1586494826,1738,1829
1586496841,1740,1829
1586498652,1730,1822
1586500577,1734,1822
1586502500,1719,1808
1586504415,1715,1801
1586506329,1703,1793
1586508261,1708,1798
1586510171,1702,1791
1586512336,1694,1787
1586514261,1685,1774
1586516169,1702,1791
1586518090,1699,1783
1586520026,1743,1828
1586521931,1742,1824
1586523852,1735,1820
1586525784,1759,1841
1586527700,1766,1848
1586529614,1802,1882
1586531543,1809,1890
1586533454,1837,1918
1586535373,1830,1913
1586537301,1861,1944
1586539210,1848,1933
1586541130,1864,1942
1586543051,1854,1933
1586544968,1860,1937
1586546897,1853,1930
1586548827,1876,1952
1586550777,1893,1968
1586552653,1896,1973
1586554572,1915,1992
1586556512,1909,1986
1586558412,1890,1969
1586560334,1864,1943
1586562264,1840,1920
1586564170,1836,1914
1586566090,1853,1935
1586568020,1855,1938
1586569934,1851,1935
1586571849,1835,1918
1586573778,1838,1927
1586575688,1834,1927
1586577630,1838,1927
1586581701,1811,1900
1586583615,1813,1899
1586585542,1810,1893
1586587451,1801,1881
1586589373,1799,1878
1586593210,1763,1839
1586595130,1752,1823
1586597061,1741,1814
1586598968,1749,1822
1586600899,1739,1809
1586602811,1736,1807
1586604851,1744,1815
1586606657,1740,1807
1586608581,1743,1808
1586610497,1734,1797
1586612412,1722,1789
1586614589,1706,1775
1586616492,1688,1755
1586618410,1694,1760
1586620341,1708,1772
1586622248,1714,1774
1586624179,1720,1781
1586626088,1719,1780
1586628021,1722,1784
1586629932,1735,1797
1586632104,1741,1805
1586634014,1755,1820
1586635940,1742,1810
1586637850,1729,1801
1586639773,1731,1799
1586641703,1737,1802
1586643612,1750,1818
1586645528,1755,1820
1586647462,1754,1822
1586649369,1783,1851
1586651538,1794,1859
1586653454,1815,1875
1586655383,1816,1875
1586657301,1813,1874
1586659220,1821,1886
1586661141,1810,1874
1586663050,1797,1858
1586664971,1800,1862
1586666904,1831,1899
1586668811,1827,1895
1586670733,1822,1892
1586672658,1812,1883
1586674572,1816,1888
1586676486,1813,1888
1586678422,1851,1927
1586680371,1855,1933
1586682253,1859,1938
1586684184,1870,1950
1586686103,1863,1941
1586688021,1863,1944
1586689935,1835,1921
1586691852,1828,1914
1586693781,1826,1913
1586695693,1812,1901
1586697619,1820,1913
1586699531,1818,1907
1586701453,1804,1898
1586703416,1811,1903
1586705547,1803,1896
1586707453,1777,1868
1586709382,1748,1839
1586711302,1719,1811
1586713221,1698,1789
1586715133,1669,1756
1586717052,1632,1720
1586718980,1625,1714
1586720897,1614,1700
1586722810,1612,1698
1586724743,1607,1692
1586726649,1613,1697
1586728579,1621,1701
1586730489,1623,1699
1586732418,1616,1691
1586734341,1596,1671
1586736253,1565,1645
1586738170,1554,1632
1586740109,1528,1606
1586742014,1527,1601
1586743932,1531,1604
1586745863,1539,1614
1586747774,1549,1624
1586749705,1557,1635
1586751620,1558,1639
1586753532,1558,1637
1586755461,1575,1655
1586757369,1576,1654
1586760490,1587,1659
1586762407,1579,1656
1586764336,1594,1666
1586766248,1579,1652
1586768166,1583,1655
1586770099,1572,1642
1586772012,1581,1653
1586773930,1567,1644
1586776108,1578,1652
1586778011,1612,1689
1586779952,1605,1686
1586781852,1584,1664
1586783771,1605,1682
1586785690,1602,1679
1586789537,1573,1650
1586795534,1538,1614
1586797459,1578,1654
1586799385,1610,1686
1586801300,1646,1722
1586803220,1688,1764
1586805129,1721,1803
1586807055,1740,1823
1586808972,1754,1845
1586810893,1761,1851
1586814731,1758,1847
1586816650,1752,1843
1586818574,1767,1857
1586824346,1764,1846
1586826250,1786,1866
1586828167,1815,1896
1586830101,1828,1909
1586832015,1838,1920
1586836334,1785,1856
1586838252,1792,1862
1586840174,1815,1881
1586842086,1805,1871
1586844010,1810,1881
1586846892,1812,1884
1586848821,1819,1894
1586850745,1817,1892
1586852648,1811,1885
1586854620,1826,1901
1586856488,1860,1936
1586858418,1833,1909
1586860341,1838,1916
1586862259,1871,1949
1586864172,1853,1930
1586866115,1836,1911
1586868012,1844,1919
1586869941,1843,1919
1586871862,1827,1905
