DateTime,AddedIPs,RemovedIPs
1586261300,27,0
1586265147,26,65
1586267052,22,0
1586268980,10,19
1586270906,18,17
1586272820,18,19
1586274730,18,28
1586276665,15,22
1586278566,25,17
1586280735,32,28
1586282901,33,28
1586284808,41,24
1586286743,29,39
1586288647,14,0
1586290572,34,9
1586292501,21,27
1586294409,23,0
1586296330,31,54
1586298301,28,12
1586300168,42,0
1586302338,38,39
1586304253,39,14
1586306184,40,19
1586308093,36,0
1586310010,29,19
1586311949,16,27
1586313855,20,10
1586315774,18,0
1586317701,23,15
1586319610,19,0
1586321534,17,13
1586323460,18,0
1586325372,27,36
1586327291,16,0
1586329232,26,11
1586331132,28,21
1586333051,20,27
1586334981,23,13
1586336901,16,27
1586338810,13,21
1586340742,25,28
1586342652,14,32
1586344570,25,21
1586346503,14,32
1586348425,22,27
1586350331,27,25
1586352266,22,19
1586354167,19,19
1586356091,8,27
1586358022,35,26
1586359934,38,12
1586361851,35,14
1586363785,27,19
1586365701,30,21
1586369545,29,69
1586371452,16,33
1586373372,30,35
1586375304,23,24
1586377207,29,33
1586381058,19,42
1586382970,15,21
1586384886,16,16
1586386823,24,21
1586388733,19,16
1586390653,19,12
1586392581,20,0
1586394493,17,15
1586396416,23,22
1586400252,28,50
1586402170,23,0
1586404101,15,29
1586406010,20,22
1586407928,21,22
1586409859,18,24
1586411766,24,19
1586413721,13,19
1586415625,25,25
1586417534,34,0
1586419453,20,30
1586421386,17,14
1586423301,28,26
1586425227,32,26
1586427135,34,0
1586429059,18,38
1586430976,26,23
1586434819,26,38
1586436729,35,18
1586438647,10,17
1586440577,29,13
1586442532,8,20
1586444408,26,27
1586448506,32,59
1586452336,26,54
1586454260,17,20
1586456171,25,20
1586458093,18,18
1586460013,23,23
1586461929,15,17
1586463862,15,0
1586465770,23,27
1586467694,10,11
1586469631,20,16
1586471533,41,11
1586473702,50,34
1586475613,27,33
1586477544,29,23
1586479448,12,11
1586481372,28,15
1586483300,30,13
1586485207,31,12
1586487133,29,14
1586489063,25,12
1586490967,19,22
1586492888,15,21
1586494826,27,14
1586496841,18,9
1586498652,23,21
1586500577,17,0
1586502500,16,11
1586504415,23,17
1586506329,16,21
1586508261,17,9
1586510171,21,24
1586512336,28,14
1586514261,28,30
1586516169,37,30
1586518090,18,24
1586520026,33,16
1586521931,23,29
1586523852,27,12
1586525784,38,19
1586527700,38,14
1586529614,42,10
1586531543,30,10
1586533454,19,7
1586535373,16,34
1586537301,18,20
1586539210,15,22
1586541130,26,29
1586543051,15,0
1586544968,23,28
1586546897,22,37
1586548827,31,28
1586550777,35,28
1586552653,25,14
1586554572,28,25
1586556512,17,24
1586558412,24,19
1586560334,19,33
1586562264,8,31
1586564170,27,25
1586566090,29,22
1586568020,24,17
1586569934,27,17
1586571849,13,23
1586573778,27,12
1586575688,24,14
1586577630,25,20
1586581701,25,53
1586583615,24,13
1586585542,19,9
1586587451,16,0
1586589373,14,23
1586593210,25,25
1586595130,11,35
1586597061,18,23
1586598968,39,22
1586600899,15,18
1586602811,42,22
1586604851,33,15
1586606657,34,16
1586608581,28,16
1586610497,18,13
1586612412,28,15
1586614589,28,22
1586616492,18,9
1586618410,35,19
1586620341,35,14
1586622248,28,15
1586624179,35,26
1586626088,18,24
1586628021,29,22
1586629932,26,27
1586632104,30,20
1586634014,35,19
1586635940,24,21
1586637850,24,12
1586639773,22,25
1586641703,20,16
1586643612,24,15
1586645528,27,0
1586647462,21,15
1586649369,46,13
1586651538,35,16
1586653454,41,23
1586655383,30,18
1586657301,29,16
1586659220,18,27
1586661141,19,28
1586663050,18,12
1586664971,22,18
1586666904,21,19
1586668811,16,34
1586670733,20,19
1586672658,9,23
1586674572,17,27
1586676486,14,32
1586678422,32,19
1586680371,23,7
1586682253,17,15
1586684184,27,23
1586686103,35,26
1586688021,23,37
1586689935,10,29
1586691852,19,34
1586693781,23,27
1586695693,12,29
1586697619,29,15
1586699531,28,19
1586701453,12,8
1586703416,25,9
1586705547,23,9
1586707453,7,7
1586709382,8,0
