DateTime,AddedIPs,RemovedIPs
1586261300,59,62
1586265147,68,60
1586267052,55,66
1586268980,43,57
1586270906,57,43
1586272820,66,56
1586274730,67,67
1586276665,55,66
1586278566,56,55
1586280735,64,55
1586282901,68,66
1586284808,65,69
1586286743,71,66
1586288647,56,67
1586290572,63,58
1586292501,55,66
1586294409,59,55
1586296330,76,58
1586298301,67,77
1586300168,71,63
1586302338,66,74
1586304253,71,67
1586306184,68,71
1586308093,77,68
1586310010,73,76
1586311949,65,72
1586313855,68,61
1586315774,51,69
1586317701,65,52
1586319610,65,67
1586321534,62,64
1586323460,63,63
1586325372,55,60
1586327291,52,55
1586329232,67,53
1586331132,67,72
1586333051,57,63
1586334981,51,57
1586336901,53,49
1586338810,59,57
1586340742,58,55
1586342652,43,60
1586344570,62,42
1586346503,49,63
1586348425,66,48
1586350331,63,66
1586352266,65,64
1586354167,54,63
1586356091,45,57
1586358022,78,47
1586359934,69,77
1586361851,63,68
1586363785,60,64
1586365701,56,59
1586369545,63,57
1586371452,55,62
1586373372,63,56
1586375304,64,59
1586377207,61,66
1586381058,61,61
1586382970,57,54
1586384886,59,61
1586386823,54,59
1586388733,59,53
1586390653,50,61
1586392581,56,47
1586394493,57,59
1586396416,67,60
1586400252,69,66
1586402170,65,66
1586404101,51,69
1586406010,65,51
1586407928,71,63
1586409859,60,72
1586411766,63,60
1586413721,64,61
1586415625,54,63
1586417534,66,56
1586419453,61,67
1586421386,44,61
1586423301,65,45
1586425227,64,63
1586427135,73,66
1586429059,53,72
1586430976,63,53
1586434819,64,63
1586436729,69,64
1586438647,58,70
1586440577,62,55
1586442532,37,62
1586444408,62,40
1586448506,57,62
1586452336,56,55
1586454260,48,57
1586456171,52,50
1586458093,54,51
1586460013,49,53
1586461929,55,50
1586463862,42,54
1586465770,55,43
1586467694,41,54
1586469631,53,41
1586471533,65,54
1586473702,67,66
1586475613,64,65
1586477544,63,66
1586479448,43,61
1586481372,66,42
1586483300,62,68
1586485207,68,60
1586487133,60,67
1586489063,65,60
1586490967,55,63
1586492888,53,58
1586494826,64,52
1586496841,52,66
1586498652,54,49
1586500577,54,55
1586502500,48,51
1586504415,61,51
1586506329,50,62
1586508261,63,51
1586510171,51,65
1586512336,62,47
1586514261,71,65
1586516169,64,71
1586518090,51,64
1586520026,73,52
1586521931,67,70
1586523852,57,67
1586525784,64,59
1586527700,68,65
1586529614,68,68
1586531543,68,67
1586533454,47,68
1586535373,60,48
1586537301,56,59
1586539210,57,55
1586541130,53,58
1586543051,44,54
1586544968,59,42
1586546897,50,57
1586548827,66,53
1586550777,60,69
1586552653,58,57
1586554572,58,58
1586556512,42,53
1586558412,53,43
1586560334,56,57
1586562264,45,57
1586564170,54,42
1586566090,61,53
1586568020,66,63
1586569934,64,63
1586571849,52,67
1586573778,68,51
1586575688,66,70
1586577630,70,67
1586581701,58,64
1586583615,52,62
1586585542,45,53
1586587451,38,43
1586589373,38,39
1586593210,38,39
1586595130,37,34
1586597061,47,39
1586598968,68,49
1586600899,45,67
1586602811,52,44
1586604851,55,51
1586606657,55,54
1586608581,61,54
1586610497,48,61
1586612412,64,49
1586614589,49,69
1586616492,52,48
1586618410,66,51
1586620341,63,67
1586622248,64,62
1586624179,63,61
1586626088,59,64
1586628021,65,60
1586629932,69,67
1586632104,62,67
1586634014,63,63
1586635940,59,65
1586637850,65,58
1586639773,63,62
1586641703,62,62
1586643612,61,64
1586645528,63,61
1586647462,59,61
1586649369,71,62
1586651538,65,73
1586653454,71,62
1586655383,62,71
1586657301,63,63
1586659220,61,63
1586661141,50,60
1586663050,57,50
1586664971,63,56
1586666904,59,60
1586668811,40,66
1586670733,53,38
1586672658,38,49
1586674572,54,39
1586676486,45,57
1586678422,60,46
1586680371,65,59
1586682253,59,62
1586684184,62,58
1586686103,67,67
1586688021,65,68
1586689935,25,64
1586691852,60,26
1586693781,59,56
1586695693,48,62
1586697619,65,49
1586699531,56,62
1586701453,39,56
1586703416,60,39
1586705547,51,59
1586707453,18,55
1586709382,24,19
1586711302,20,25
1586713221,16,20
1586715133,21,16
1586717052,17,17
1586718980,58,20
1586720897,59,50
1586722810,66,63
1586724743,46,66
1586726649,59,45
1586728579,59,59
1586730489,58,58
1586732418,50,53
1586734341,26,54
1586736253,51,27
1586738170,53,51
1586740109,49,52
1586742014,59,47
1586743932,60,61
1586745863,67,62
1586747774,62,69
1586749705,64,62
1586751620,65,63
1586753532,56,62
1586755461,64,61
1586757369,58,60
1586760490,47,61
1586762407,47,48
1586764336,57,49
1586766248,34,52
1586768166,54,35
1586770099,40,57
1586772012,67,40
1586773930,45,66
1586776108,64,44
1586778011,72,66
1586779952,51,65
1586781852,42,54
1586783771,73,46
1586785690,70,71
1586789537,57,71
1586795534,66,55
1586797459,69,65
1586799385,63,70
1586801300,55,62
1586803220,61,58
1586805129,66,59
1586807055,73,70
1586808972,69,72
1586810893,68,67
1586814731,74,69
1586816650,52,75
1586818574,60,52
1586824346,74,58
1586826250,66,76
1586828167,76,65
1586830101,66,78
1586832015,69,65
1586836334,78,69
1586838252,62,78
1586840174,72,61
1586842086,57,74
1586844010,67,57
1586846892,52,66
1586848821,52,50
1586850745,50,51
1586852648,32,51
1586854620,73,34
1586856488,61,69
1586858418,58,64
1586860341,59,55
1586862259,52,60
1586864172,46,51
1586866115,46,46
1586868012,56,45
1586869941,42,54
1586871862,60,44
1586873779,53,60
1586875937,52,55
1586877851,53,53
1586879778,49,53
1586881689,59,52
1586885533,60,58
1586887462,62,55
1586891294,53,64
1586893220,53,50
1586895138,58,54
1586897053,62,57
1586898987,49,62
1586900892,57,55
1586902809,63,56
1586904731,43,60
1586906658,48,45
1586908566,61,46
1586910487,63,62
1586912419,49,62
1586916500,56,48
1586918424,64,59
1586920579,64,62
1586922496,59,63
1586924422,45,59
1586926334,51,44
1586928251,62,55
1586930178,62,60
1586932092,59,64
1586934031,57,56
1586935930,52,55
1586938102,43,52
1586940021,50,46
1586941932,56,47
1586943852,50,62
1586945796,66,51
1586947692,63,61
1586949618,60,62
1586951540,59,62
1586953452,55,60
1586955377,42,56
1586957289,68,44
1586959214,59,67
1586961258,57,57
1586963061,55,54
1586964985,44,59
1586966901,58,46
1586968811,58,57
1586970738,64,56
1586972651,64,66
1586974814,71,63
1586976729,72,75
1586978657,65,70
1586980567,71,64
1586982490,71,71
1586984421,48,70
1586986332,62,51
1586988253,62,61
1586990181,68,59
1586992098,56,68
1586994011,60,56
1586995953,50,64
1586997850,57,45
1586999773,58,57
1587001700,60,55
1587003608,63,64
1587005530,53,64
1587007459,54,50
1587011288,55,55
1587015130,51,54
1587017052,48,47
1587018986,47,53
1587020899,49,47
1587022823,47,50
1587024730,38,49
1587026650,56,35
1587028577,50,59
1587030500,63,50
1587032419,61,63
1587034334,61,58
1587036264,59,63
1587038168,57,59
1587040090,63,60
1587043940,51,62
1587046112,53,50
1587048012,46,49
1587050178,61,48
1587052091,56,61
1587054015,54,59
1587055930,62,51
1587057858,38,65
1587059767,57,38
1587061726,52,56
1587063617,52,51
1587065530,42,50
1587067451,57,43
1587069380,52,59
1587071301,61,46
1587073214,65,65
1587075142,63,66
1587077048,62,64
1587078972,63,63
1587080901,64,62
1587082808,73,63
1587084736,55,70
1587086651,69,59
1587088577,67,71
1587090488,62,66
1587092417,71,60
1587094338,69,74
1587096255,60,63
1587100103,61,60
1587105858,62,64
1587107770,54,62
1587109689,49,56
1587111616,51,51
1587113529,63,48
1587121211,52,62
1587123138,74,51
1587125053,66,74
1587126968,69,66
1587128908,71,71
1587130810,61,68
1587132731,74,65
1587134661,56,71
1587136581,58,55
1587138498,62,61
1587140408,62,57
1587142329,66,65
1587144256,49,65
1587146206,70,51
1587148087,61,69
1587150012,60,63
1587151932,63,58
1587153862,50,62
1587155774,61,52
1587157709,62,55
1587159613,55,63
1587161547,62,61
1587163453,56,61
1587165370,66,56
1587167302,72,67
1587169212,51,68
1587171130,67,55
1587173056,60,65
1587174967,70,61
1587176891,61,68
1587178828,58,62
1587180732,64,59
1587182652,66,63
1587184581,64,66
1587188411,65,65
1587190351,67,67
1587192252,57,62
1587194169,58,58
1587196099,61,62
1587198019,59,59
1587199930,48,59
1587201857,44,46
1587203768,60,44
1587205686,65,61
1587207623,59,64
1587209534,60,61
1587211453,63,58
1587213387,58,61
1587215291,65,57
1587217210,61,69
1587219159,12,65
1587224897,59,12
1587228731,59,58
1587230658,58,58
1587232569,57,58
1587234488,45,57
1587236417,61,43
1587238332,63,62
1587240254,63,63
1587242184,45,62
1587244094,59,45
1587246011,49,58
1587247943,59,50
1587251771,65,58
1587253699,60,67
1587255606,74,63
1587257528,73,72
1587259456,64,68
1587261365,65,67
1587263286,59,66
1587265225,72,60
1587267162,60,71
1587269054,59,58
1587270979,59,57
1587272898,63,59
1587274815,59,64
1587276741,53,58
1587278651,69,54
1587280571,64,73
1587282499,48,63
1587284414,60,49
1587288257,67,60
1587290168,57,66
1587292087,58,57
