DateTime,AddedIPs,RemovedIPs
1581828474,7,0
1581838957,7,0
1581849611,9,0
1581860489,6,1
1581871318,6,0
1581882166,7,6
1581893258,7,2
1581904140,4,5
1581914912,3,4
1581925744,2,4
1581936704,10,4
1581947650,3,3
1581958763,4,2
1581969413,4,1
1581980384,6,5
1581991250,6,5
1582002177,1,0
1582013191,5,2
1582024290,8,1
1582035242,1,5
1582046067,6,4
1582056720,1,2
1582067599,5,0
1582078372,10,1
1582089017,1,4
1582099898,4,2
1582110031,7,3
1582121249,5,4
1582132284,8,7
1582143231,4,7
1582154390,3,5
1582165045,1,2
1582175720,3,0
1582186665,1,3
1582197395,1,4
1582207012,3,2
1582217651,1,2
1582227830,5,2
1582238708,4,2
1582249644,3,4
1582259360,4,1
1582268965,1,4
1582279330,1,0
1582290267,2,2
1582301229,3,2
1582312329,3,4
1582322572,4,4
1582333577,1,1
1582344154,1,1
1582354791,2,3
1582365769,1,1
1582376852,4,2
1582387660,3,0
1582398155,2,3
1582409080,1,3
1582419548,8,0
1582430717,1,1
1582441246,3,2
1582450517,1,1
1582461437,2,4
1582471839,4,2
1582482928,4,1
1582493976,6,4
1582504959,4,1
1582515604,6,4
1582526510,4,4
1582536384,5,5
1582547139,4,4
1582557846,5,1
1582568873,4,2
1582579800,11,1
1582590525,4,2
1582601126,3,1
1582612037,6,0
1582623064,5,2
1582633875,4,1
1582644840,5,2
1582655674,3,4
1582666578,4,4
1582677404,6,2
1582688180,3,1
1582699124,2,1
1582710146,0,2
1582721259,3,3
1582732195,1,3
1582742815,1,1
1582753855,6,1
1582764945,5,1
1582775288,4,3
1582786294,3,0
1582797112,3,2
1582808139,4,1
1582818424,5,2
1582829426,1,1
1582840429,8,1
1582850749,3,1
1582861180,0,2
1582872156,1,2
1582894053,3,0
1582904864,5,2
1582915728,2,3
1582926677,5,2
1582937606,3,3
1582948308,9,2
1582959040,1,5
1582970004,0,5
1582980790,2,2
1582991750,3,0
1583002681,1,6
1583013575,5,4
1583024869,3,0
1583035704,2,3
1583046719,4,1
1583057417,2,2
1583068334,3,0
1583079053,6,5
1583090089,1,2
1583100947,1,2
1583111916,1,1
1583121656,1,4
1583143022,5,1
1583153619,1,4
1583164499,4,2
1583175520,7,2
1583186772,13,2
1583198163,8,0
1583209123,10,2
1583220023,16,1
1583230852,14,4
1583241814,10,0
1583252797,23,5
1583263766,15,3
1583274702,15,3
1583285630,9,4
1583296426,17,7
1583307107,8,5
1583318075,6,5
1583329156,7,4
1583339834,7,6
1583350520,6,5
1583361538,3,2
1583372576,11,5
1583383412,6,5
1583394282,5,2
1583405013,3,3
1583416322,2,9
1583427187,2,1
1583438042,4,5
1583448838,11,5
1583459636,1,6
1583470468,8,4
1583481601,4,4
1583492750,2,4
1583503434,2,3
1583514428,3,1
1583525399,3,3
1583536281,2,5
1583547207,2,3
1583557625,3,2
1583568576,3,1
1583579503,2,2
1583590562,4,1
1583601472,3,4
1583612415,5,4
1583623041,8,7
1583633553,1,1
1583644490,2,0
1583654843,2,2
1583665924,1,3
1583676819,1,2
1583687534,5,3
1583698103,4,2
1583709047,22,1
1583719478,5,3
1583730155,1,2
1583740571,1,2
1583751266,7,3
1583762067,1,1
1583773082,4,2
1583783980,2,0
1583794704,2,2
1583805579,4,2
1583816606,5,0
1583827610,7,6
1583838378,7,4
1583849499,4,5
1583860495,5,2
1583871315,7,7
1583882303,6,5
1583893430,7,8
1583904460,3,0
1583915489,2,1
1583926438,3,1
1583937348,3,1
1583948297,2,4
1583959374,5,3
1583970295,1,2
1583981243,3,2
1583992295,4,2
1584003174,4,0
1584030725,3,20
1584041858,3,7
1584052731,0,3
1584063555,2,3
1584074347,0,2
1584084693,0,4
1584095759,4,2
1584106690,7,1
1584117833,6,2
1584128622,1,1
1584139668,2,1
1584150715,8,1
1584161670,0,4
1584172598,1,0
1584183475,4,2
1584194179,2,6
1584205010,5,3
1584215587,0,3
1584225820,0,5
1584236779,6,8
1584247736,4,1
1584258405,1,2
1584269489,3,1
1584280502,2,3
1584291599,4,3
1584302417,3,5
1584313245,3,7
1584324173,3,3
1584335057,2,5
1584345940,1,6
1584355593,1,4
1584366473,3,3
1584377496,1,3
1584388254,6,3
1584399235,1,5
1584409863,3,8
1584419730,0,2
1584430525,3,7
1584441550,2,2
1584452633,2,7
1584463171,1,3
1584474173,4,4
1584484930,1,8
1584495590,3,7
1584505521,1,9
1584516417,2,12
1584527455,4,6
1584538448,5,4
1584549299,1,5
1584560214,1,9
1584571043,5,7
1584581992,5,11
1584593037,5,4
1584603877,0,5
1584614822,4,4
1584625490,1,7
1584636324,1,7
1584647248,3,3
1584658293,8,5
1584668910,5,1
1584679593,1,1
1584690605,3,4
1584701427,0,2
1584712401,2,5
1584723318,4,4
1584734299,3,5
1584745189,3,2
1584755245,3,2
1584766096,1,8
1584776625,0,2
1584787308,2,7
1584797926,1,3
1584808261,5,1
1584819247,2,3
1584830032,2,6
1584839897,4,3
1584850898,3,5
1584861429,2,0
1584872322,1,1
1584883363,2,6
1584893716,3,2
1584904658,4,5
1584915354,2,4
1584926177,2,1
1584937121,0,5
1584947553,2,3
1584958448,5,2
1584969468,4,2
1584980366,1,2
1584991359,3,1
1585002315,2,1
1585012054,3,2
1585022748,5,3
1585033586,3,3
1585044433,4,3
1585055523,5,5
1585066520,10,7
1585077575,4,2
1585088605,3,16
1585099605,5,9
1585110295,2,5
1585120749,1,6
1585131766,3,8
1585142333,2,4
1585153315,2,8
1585164111,3,5
1585174827,5,12
1585185475,4,5
1585196149,2,7
1585207142,2,3
1585218224,9,5
1585229236,1,4
1585240168,7,3
1585250729,3,5
1585261599,3,4
1585272721,3,1
1585283624,2,4
1585294517,2,4
1585305592,2,4
1585316503,3,5
1585327157,3,3
1585338165,3,10
1585349258,6,6
1585359716,0,6
1585370463,2,4
1585381286,1,6
1585392172,1,2
1585402379,2,1
1585413413,1,2
1585424192,2,4
1585435029,3,1
1585445924,4,4
1585456886,5,1
1585467838,5,0
1585477954,5,4
1585488413,3,5
1585499304,1,2
1585510147,2,6
1585520965,5,3
1585531788,4,3
1585542482,4,4
1585553432,1,2
1585563966,4,2
1585575134,1,4
1585585616,3,2
1585596704,2,4
1585607656,2,5
1585618105,4,1
1585629030,0,1
1585639950,1,5
1585650858,3,2
1585661960,3,6
1585673047,1,2
1585684056,4,2
1585695110,7,4
1585706099,4,2
1585716964,7,0
1585727922,5,1
1585739025,1,3
1585749715,2,8
1585759802,2,6
1585770485,2,7
1585781512,4,5
1585792297,8,9
1585803189,3,8
1585812686,2,6
1585823739,0,4
1585834551,6,11
1585845515,3,13
1585856339,5,13
1585867295,3,9
1585878203,2,4
1585889234,1,6
1585900052,4,4
1585910783,1,3
1585921290,4,1
1585932216,2,5
1585943191,7,2
1585954277,13,3
1585965129,9,3
1585976167,2,3
1585986785,3,2
1585996812,1,4
1586007283,2,7
1586017529,6,3
1586028436,6,4
1586039477,5,2
1586050064,6,10
1586061097,5,7
1586071965,4,3
1586082177,6,2
1586093253,2,2
1586104342,7,4
1586115268,3,6
1586126052,4,1
1586136821,9,2
1586147832,7,0
1586158743,3,3
1586169822,6,7
1586180645,5,6
1586191551,3,3
1586202325,6,7
1586213216,5,0
1586224319,5,4
1586235259,3,3
1586257295,4,4
1586268467,7,3
1586279263,4,6
1586290017,6,1
1586300825,5,13
1586310834,4,2
1586321624,2,1
1586332461,2,1
1586343392,5,1
1586354096,6,3
1586365090,1,2
1586375956,6,2
1586387138,4,3
1586398020,2,8
1586409113,7,7
1586419948,6,7
1586430250,1,5
1586440752,2,4
1586451727,14,6
1586462849,8,7
1586473742,5,3
1586483762,5,4
1586493268,3,4
1586504207,2,2
1586515043,1,4
1586525819,2,4
1586536567,2,2
1586547602,4,7
1586558305,6,1
1586569448,2,0
1586580400,3,0
1586591362,1,0
1586612406,5,0
1586623316,3,2
1586634166,4,2
1586645204,1,2
1586656298,1,3
1586667362,2,2
1586678380,1,1
1586689337,5,1
1586700368,7,7
1586710103,4,5
1586720851,3,4
1586731866,5,2
1586742285,4,8
1586752978,2,5
1586763442,3,1
1586774351,3,1
1586785238,5,3
1586796236,12,3
1586807061,3,5
1586817787,5,3
1586828766,2,4
1586839441,0,3
1586850735,0,2
1586861655,3,6
1586872351,5,3
1586882867,2,1
1586893428,4,5
1586904477,5,4
1586915256,1,9
1586926283,0,2
1586936150,2,3
1586947213,2,1
1586958102,1,4
1586968784,1,2
1586979739,5,2
1586990874,1,1
1587001519,4,2
1587012079,1,3
1587023008,7,1
1587034074,6,2
1587044958,5,1
1587055882,2,3
1587066839,3,4
1587077186,5,3
1587087801,4,0
1587098846,3,3
1587109846,4,2
1587120956,4,10
1587132012,4,1
1587142779,9,3
1587153854,3,2
1587164516,6,4
1587175348,3,4
1587185574,5,3
1587196276,1,0
1587207126,7,3
1587218151,2,0
1587228865,2,4
1587239811,1,7
1587250672,2,10
1587260600,5,7
1587271531,1,1
1587282360,1,1
