DateTime,AddedIPs,RemovedIPs
1581098641,944,944
1581109441,1510,1510
1581120241,1995,1995
1581131041,3343,3343
1581141841,1190,1190
1581152641,1067,1067
1581163441,965,965
1581174241,946,946
1581185041,1208,1208
1581195841,1808,1808
1581206641,2293,2293
1581217441,3638,3638
1581228241,1436,1436
1581239041,1493,1493
1581249841,1312,1312
1581260641,1704,1704
1581271441,2543,2543
1581282241,3161,3161
1581293041,3593,3593
1581303841,4507,4507
1581314641,1664,1664
1581325441,1434,1434
1581336241,1319,1319
1581347041,2156,2156
1581357841,2864,2864
1581368641,3542,3542
1581379441,3934,3934
1581390241,4609,4609
1581401041,1685,1685
1581411841,1445,1445
1581422641,1334,1334
1581433441,2184,2184
1581444241,2867,2867
1581455041,3399,3399
1581465841,3834,3834
1581476641,4415,4415
1581487441,1721,1721
1581498241,1656,1656
1581509041,676,676
1581519841,1172,1172
1581530641,3287,3287
1581541441,3989,3989
1581552241,4335,4335
1581563041,5022,5022
1581573841,2051,2051
1581584641,1827,1827
1581595441,2286,2286
1581606241,3179,3179
1581617041,3864,3864
1581627841,4465,4465
1581638641,4926,4926
1581649441,5554,5554
1581660241,2717,2717
1581671041,2160,2160
1581681841,3310,3310
1581692641,4163,4163
1581703441,4747,4747
1581714241,5278,5278
1581725041,5648,5648
1581735841,5973,5973
1581746641,3260,3260
1581757441,2287,2287
1581768241,3500,3500
1581779041,4536,4536
1581789841,5075,5075
1581800641,5659,5659
1581811441,6093,6093
1581822241,6392,6392
1581833041,3670,3670
1581843841,2956,2956
1581854641,4207,4207
1581865441,4955,4955
1581876241,5505,5505
1581887041,5929,5929
1581897841,6239,6239
1581908641,6641,6641
1581919441,2979,2979
1581930241,3216,3216
1581941041,4436,4436
1581951841,5204,5204
1581962641,5728,5728
1581973441,6126,6126
1581984241,6536,6536
1581995041,6961,6961
1582005841,2974,2974
1582016641,3415,3415
1582027441,4603,4603
1582038241,5424,5424
1582049041,5952,5952
1582059841,6503,6503
1582070641,6752,6752
1582081441,7178,7178
1582092241,3072,3072
1582103041,3456,3456
1582113841,4631,4631
1582124641,5122,5122
1582135441,5941,5941
1582146241,6332,6332
1582157041,6756,6756
1582167841,7194,7194
1582178641,2984,2984
1582189441,3321,3321
1582200241,4446,4446
1582211041,5157,5157
1582221841,5693,5693
1582232641,6085,6085
1582243441,6454,6454
1582254241,6898,6898
1582265041,1171,1171
1582513441,7705,7705
1582524241,7155,7155
1582535041,3574,3574
1582545841,4688,4688
1582556641,5575,5575
1582567441,5889,5889
1582578241,6170,6170
1582589041,6698,6698
1582599841,7075,7075
1582610641,2597,2597
1582621441,2384,2384
1582632241,3795,3795
1582643041,4726,4726
1582653841,5388,5388
1582664641,5997,5997
1582675441,6396,6396
1582686241,6948,6948
1582697041,3057,3057
1582707841,3627,3627
1582718641,4928,4928
1582729441,5619,5619
1582740241,6217,6217
1582751041,6661,6661
1582761841,6940,6940
1582772641,7388,7388
1582783441,2851,2851
1582794241,2966,2966
1582805041,4147,4147
1582815841,4956,4956
1582826641,5510,5510
1582837441,6074,6074
1582848241,6443,6443
1582859041,6909,6909
1582869841,2993,2993
1582880641,3289,3289
1582891441,4385,4385
1582902241,5274,5274
1582913041,5833,5833
1582923841,6283,6283
1582934641,6707,6707
1582945441,7106,7106
1582956241,2854,2854
1582967041,3424,3424
1582977841,4588,4588
1582988641,5341,5341
1582999441,5900,5900
1583010241,6253,6253
1583021041,6671,6671
1583031841,7038,7038
1583042641,2975,2975
1583053441,3250,3250
1583064241,4372,4372
1583075041,5205,5205
1583085841,5759,5759
1583096641,6181,6181
1583107441,6589,6589
1583118241,6897,6897
1583291041,3764,3764
1583301841,2260,2260
1583312641,1918,1918
1583323441,2925,2925
1583334241,3829,3829
1583345041,4579,4579
1583355841,5127,5127
1583366641,5474,5474
1583377441,5967,5967
1583388241,2513,2513
1583399041,2189,2189
1583409841,3412,3412
1583420641,4203,4203
1583431441,4774,4774
1583442241,5291,5291
1583453041,5694,5694
1583463841,6016,6016
1583474641,2372,2372
1583485441,2033,2033
1583496242,3275,3275
1583507041,4216,4216
1583517841,4793,4793
1583528641,5322,5322
1583539441,5679,5679
1583550241,5938,5938
1583561041,2474,2474
1583571841,2142,2142
1583582641,3384,3384
1583593441,4235,4235
1583604241,4905,4905
1583615041,5349,5349
1583625841,5797,5797
1583636641,6159,6159
1583647441,2490,2490
1583658241,2238,2238
1583669041,3486,3486
1583679841,4287,4287
1583690641,4927,4927
1583701441,5418,5418
1583712241,5806,5806
1583723041,6171,6171
1583733841,2500,2500
1583744641,2095,2095
1583755441,3365,3365
1583766241,4170,4170
1583777041,4849,4849
1583787841,5352,5352
1583798641,5739,5739
1583809441,6134,6134
1583820241,2450,2450
1583831041,2036,2036
1583841841,3225,3225
1583852641,4127,4127
1583863441,4789,4789
1583874241,5263,5263
1583885041,5702,5702
1583895841,6024,6024
1583906641,2438,2438
1583917441,2203,2203
1583928241,3393,3393
1583939041,4286,4286
1583949841,4938,4938
1583960641,5398,5398
1583971441,5871,5871
1583982241,6253,6253
1583993041,2514,2514
1584003841,2190,2190
1584014641,3446,3446
1584025441,4295,4295
1584036241,4855,4855
1584047041,5355,5355
1584057841,5804,5804
1584068641,6184,6184
1584079441,2659,2659
1584090241,2457,2457
1584101041,3785,3785
1584111841,4630,4630
1584122641,5228,5228
1584133441,5557,5557
1584144241,5933,5933
1584155041,6390,6390
1584165841,2627,2627
1584176641,2557,2557
1584187441,3732,3732
1584198241,4507,4507
1584209041,5050,5050
1584219841,5454,5454
1584230641,5889,5889
1584241441,6244,6244
1584252241,2527,2527
1584263041,2323,2323
1584273841,3547,3547
1584284641,4407,4407
1584295441,5032,5032
1584306241,5379,5379
1584317041,5829,5829
1584327841,6242,6242
1584338641,2590,2590
1584349441,2087,2087
1584360241,3343,3343
1584371041,4271,4271
1584381841,4922,4922
1584392641,5422,5422
1584403441,5744,5744
1584414241,6224,6224
1584425041,2562,2562
1584435841,2193,2193
1584446641,3462,3462
1584457441,4286,4286
1584468241,4869,4869
1584479041,5421,5421
1584489841,5832,5832
1584500641,6201,6201
1584511441,2504,2504
1584522241,2080,2080
1584533041,3405,3405
1584543841,4193,4193
1584554641,4742,4742
1584565441,5261,5261
