DateTime,AddedIPs,RemovedIPs
1585652161,80,52
1585656005,73,59
1585657922,68,61
1585662001,89,62
1585666082,79,71
1585669923,68,80
1585673762,86,66
1585677604,90,78
1585681682,137,129
1585687682,70,100
1585691522,79,93
1585695362,57,113
1585699209,82,90
1585701121,54,110
1585705203,91,79
1585709042,79,95
1585710962,146,149
1585712881,76,122
1585714802,91,68
1585720562,75,64
1585724642,63,50
1585726562,89,40
1585730402,114,53
1585734242,79,51
1585738082,78,51
1585741922,53,54
1585743841,64,65
1585747682,86,50
1585749604,50,86
1585751522,16,5817
1585753442,5866,0
1585757282,130,116
1585763042,79,78
1585767122,76,75
1585769042,71,79
1585774803,85,95
1585776722,62,85
1585780562,55,108
1585784402,77,107
1585790161,42,82
1585792082,64,102
1585797842,72,83
1585799762,97,94
1585803603,70,73
1585805522,53,61
1585807444,67,51
1585813202,65,41
1585817042,90,46
1585820882,83,39
1585824722,69,56
1585828562,71,61
1585832404,59,51
1585834437,85,55
1585838162,85,66
1585842002,86,69
1585845842,98,83
1585849682,83,88
1585853522,91,83
1585857362,99,74
1585861204,73,80
1585863122,53,1252
1585865042,562,0
1585866962,635,108
1585870802,77,108
1585874642,38,91
1585878481,62,67
1585882322,59,82
1585886162,73,81
1585888081,71,86
1585890004,86,71
1585891922,110,440
1585894082,316,0
1585896002,54,46
1585899842,79,37
1585903681,106,56
1585907522,56,106
1585909442,197,96
1585915212,65,56
1585919042,81,63
1585920962,91,57
1585924802,88,69
1585928642,87,62
1585930562,88,75
1585936322,71,83
1585940162,97,72
1585942082,81,92
1585945923,59,1354
1585947841,1280,0
1585949762,70,82
1585953601,45,111
1585957442,71,100
1585961282,38,97
1585963202,64,84
1585968962,67,85
1585973043,70,99
1585974961,64,83
1585978802,61,56
1585980722,57,43
1585984561,55,45
1585990322,68,51
1585994162,91,57
1585998002,82,53
1586002082,86,64
1586004002,87,52
1586007842,74,71
1586011682,66,71
1586015522,73,67
1586017442,75,58
1586023204,83,61
1586025122,64,68
1586027282,75,78
1586031122,76,240
1586036882,72,141
1586038803,0,2
1586040722,67,104
1586044562,158,102
1586046482,55,101
1586050322,63,84
1586054402,67,88
1586058242,63,92
1586062081,58,70
1586067842,55,52
1586071681,107,73
1586075522,51,1981
1586077442,465,0
1586079362,1561,37
1586083202,79,46
1586087042,205,58
1586090882,67,80
1586092803,83,55
1586094723,55,83
1586096642,83,55
1586098562,66,66
1586102405,71,68
1586104364,18,5310
1586106481,5317,0
1586108402,72,68
1586112242,89,62
1586116082,81,90
1586119923,68,88
1586121842,53,84
1586126162,60,105
1586130244,60,100
1586134083,43,71
1586137923,58,66
1586139842,66,58
1586141763,99,135
1586145608,71,99
1586147621,74,59
1586151602,65,65
1586155442,57,43
1586159282,82,54
1586163122,91,49
1586168883,88,64
1586170803,83,57
1586172723,6,6258
1586174882,6258,0
1586176802,71,55
1586180642,85,46
1586184482,77,82
1586190241,94,61
1586192163,78,79
1586196009,101,72
1586197922,25,4655
1586199842,4593,0
1586201762,89,87
1586205602,67,87
1586211363,68,83
1586213282,47,110
1586217122,81,114
1586220963,50,76
1586224804,62,77
1586226723,40,2559
1586228642,2495,0
1586230563,75,91
1586234402,66,69
1586238243,65,66
1586242083,64,43
1586245923,58,46
1586249762,102,46
1586251681,73,54
1586255630,84,48
1586257443,69,64
1586263202,84,60
1586267046,77,63
1586270882,74,65
1586274722,85,65
1586278562,91,65
1586280723,78,91
1586284801,79,73
1586288641,78,87
1586292482,79,88
1586296322,63,102
1586300161,53,99
1586302322,77,113
1586306162,50,93
1586310001,72,80
1586313842,85,89
1586315762,74,104
1586317682,104,74
1586319602,74,104
1586321522,75,81
1586325363,70,63
1586329210,64,65
1586331122,25,4083
1586333042,4083,25
1586334962,164,89
1586336882,54,99
1586338801,157,98
1586342642,81,57
1586346482,74,85
1586348402,79,70
1586354162,70,79
1586356082,136,104
1586358004,93,60
1586359922,90,66
1586361842,3,0
1586363762,84,92
1586367602,81,81
1586371442,95,86
1586373362,0,8
1586375282,102,91
1586379122,76,100
1586382962,78,111
1586386803,90,167
1586388723,31,4957
1586390642,4921,23
1586396403,66,80
1586400242,71,122
1586404081,91,94
1586406002,83,87
1586411761,78,80
1586415608,71,59
1586417521,15,4841
1586419441,4844,0
1586421362,124,59
1586425202,89,68
1586429042,89,66
1586432881,69,74
1586436721,80,66
1586440562,89,71
1586444402,80,78
1586446412,100,74
1586450403,76,76
1586456161,102,75
1586458082,78,97
1586460002,97,78
1586461922,149,146
1586465762,79,120
1586467682,80,126
1586471522,28,4696
1586473682,4654,0
1586475602,95,114
1586483282,100,170
1586485202,72,98
1586490962,72,95
1586494803,78,85
1586498641,58,63
1586500566,90,60
1586504402,60,90
1586506321,148,97
1586508243,94,61
1586512322,93,65
1586516162,97,54
1586520002,80,65
1586521922,56,2274
1586523842,2136,0
1586525762,76,61
1586529603,89,67
1586533442,84,79
1586539203,80,83
1586541122,90,79
1586544962,87,79
1586548809,88,95
1586550722,95,110
1586554561,82,100
1586558402,65,90
1586562243,91,109
1586566082,57,93
1586569922,81,88
1586573762,86,93
1586577605,86,104
1586579522,71,72
1586585522,71,92
1586587443,62,78
1586591282,73,68
1586595122,86,51
1586598962,89,60
1586602803,89,65
1586604827,90,56
1586606642,82,127
1586612402,88,79
1586618402,79,74
1586620323,82,71
1586622242,74,74
1586624163,74,74
1586626082,74,74
1586628005,107,77
1586629922,71,1395
1586632082,1327,0
1586634002,80,87
1586635922,106,87
1586641682,81,104
1586645522,66,101
1586649362,85,125
1586651522,18,4374
1586653442,2182,0
1586655362,2115,0
1586657282,69,81
1586659202,67,87
1586663042,79,102
1586666882,65,96
1586670722,63,73
1586676482,65,49
1586678405,68,50
1586680323,54,2950
1586682242,2950,54
1586684162,166,101
1586688002,85,58
1586689922,64,70
1586695682,79,66
1586699522,70,77
1586703362,89,56
1586705522,92,584
1586707442,522,0
1586709362,80,71
1586713202,84,71
1586717042,84,84
1586720882,87,76
1586722802,78,94
1586728563,70,103
1586732411,66,102
1586734322,74,114
1586740083,57,86
1586742001,76,80
1586745842,75,92
1586749682,79,104
1586753523,67,77
1586757362,85,69
1586759522,66,126
1586761442,73,0
1586763362,78,56
1586769122,87,55
1586771042,92,52
1586774882,103,57
1586778722,101,79
1586782562,80,88
1586784722,47,3576
1586786642,3629,32
1586792402,99,87
1586796242,99,92
1586800563,97,77
1586804405,84,75
1586806322,82,86
1586810162,87,89
1586814002,95,120
1586817842,66,129
1586821681,86,116
1586825521,61,92
1586829362,67,89
1586833204,70,92
1586837042,69,96
1586838963,80,72
1586840882,92,82
1586846882,57,61
1586850724,92,63
1586854563,120,71
1586858405,84,66
1586860322,64,1562
1586862243,1510,0
1586866083,69,67
1586868002,72,73
1586873764,90,59
1586875922,80,76
1586879762,110,84
1586881682,101,70
1586887442,95,90
1586889363,63,92
1586895123,87,85
1586897042,92,91
1586900882,77,100
1586904723,59,120
1586908562,90,112
1586912404,61,102
1586916486,83,82
1586918402,72,96
1586922482,84,132
1586926322,82,86
1586930162,85,77
1586935922,45,4540
1586938082,4545,0
1586940002,111,76
1586941922,99,66
1586947681,85,65
1586951522,89,78
1586955362,87,74
1586959203,103,106
1586961236,69,1547
1586963043,0,1406
1586964962,2965,46
1586968802,89,81
1586972645,93,84
1586976723,89,88
1586980562,102,98
1586984403,87,105
1586986322,60,1479
1586988242,1385,0
1586990161,72,108
1586994002,72,112
1586997842,55,101
1587001682,84,86
1587003603,65,87
1587009362,66,85
1587013205,76,84
1587015122,73,67
1587018962,70,91
1587020883,91,70
1587022802,143,100
1587026643,99,62
1587030481,100,76
1587034322,65,66
1587038162,93,59
1587042004,64,84
1587043922,77,1673
1587046082,1624,0
1587048002,79,69
1587052082,94,94
1587054002,101,94
1587059761,99,109
1587063604,109,99
1587065521,161,130
1587067442,93,93
1587071283,66,96
1587073202,90,92
1587077042,64,117
1587080883,87,111
1587084722,61,105
1587088562,76,70
1587092405,75,88
1587094322,60,1774
1587096242,1699,0
1587098161,61,69
1587102002,82,73
1587105841,73,64
1587109682,93,58
1587113522,98,63
1587115442,84,66
1587121202,85,61
1587123121,77,67
1587125042,72,71
1587130802,87,58
1587132721,85,81
1587138482,94,76
1587142322,87,82
1587146161,99,92
1587150002,100,78
1587153842,80,96
1587155762,82,107
1587159602,74,99
1587163443,67,105
1587167282,85,115
1587171122,53,106
1587174961,68,89
1587178805,74,88
1587180722,25,4238
1587182641,4206,36
1587188401,91,76
1587192242,58,51
1587194162,68,54
1587199922,83,51
1587203762,79,68
1587205682,84,48
1587209522,71,1187
1587211441,1142,0
1587213367,83,93
1587215282,93,83
1587217202,141,125
1587221043,95,73
1587224882,76,65
1587226802,81,65
1587232562,81,75
1587238322,49,4718
1587240243,4688,0
1587242162,66,98
1587246002,89,102
1587249842,73,114
1587253682,82,111
1587257522,54,94
1587261362,75,86
1587265205,64,100
1587267122,48,3057
1587269042,2991,0
1587270962,57,75
1587272882,75,57
1587274802,57,75
1587276723,78,75
1587278642,72,48
1587282481,60,47
1587286322,76,63
1587290162,95,65
