DateTime,Entries,UniqueIPs
1585652161,6699,6699
1585656005,6713,6713
1585657922,6720,6720
1585662001,6747,6747
1585666082,6755,6755
1585669923,6743,6743
1585673762,6763,6763
1585677604,6775,6775
1585681682,6783,6783
1585687682,6753,6753
1585691522,6739,6739
1585695362,6683,6683
1585699209,6675,6675
1585701121,6619,6619
1585705203,6631,6631
1585709042,6615,6615
1585710962,6612,6612
1585712881,6566,6566
1585714802,6589,6589
1585720562,6600,6600
1585724642,6613,6613
1585726562,6662,6662
1585730402,6723,6723
1585734242,6751,6751
1585738082,6778,6778
1585741922,6777,6777
1585743841,6776,6776
1585747682,6812,6812
1585749604,6776,6776
1585751522,975,975
1585753442,6841,6841
1585757282,6855,6855
1585763042,6856,6856
1585767122,6857,6857
1585769042,6849,6849
1585774803,6839,6839
1585776722,6816,6816
1585780562,6763,6763
1585784402,6733,6733
1585790161,6693,6693
1585792082,6655,6655
1585797842,6644,6644
1585799762,6647,6647
1585803603,6644,6644
1585805522,6636,6636
1585807444,6652,6652
1585813202,6676,6676
1585817042,6720,6720
1585820882,6764,6764
1585824722,6777,6777
1585828562,6787,6787
1585832404,6795,6795
1585834437,6825,6825
1585838162,6844,6844
1585842002,6861,6861
1585845842,6876,6876
1585849682,6871,6871
1585853522,6879,6879
1585857362,6904,6904
1585861204,6897,6897
1585863122,5698,5698
1585865042,6260,6260
1585866962,6787,6787
1585870802,6756,6756
1585874642,6703,6703
1585878481,6698,6698
1585882322,6675,6675
1585886162,6667,6667
1585888081,6652,6652
1585890004,6667,6667
1585891922,6337,6337
1585894082,6653,6653
1585896002,6661,6661
1585899842,6703,6703
1585903681,6753,6753
1585907522,6703,6703
1585909442,6804,6804
1585915212,6813,6813
1585919042,6831,6831
1585920962,6865,6865
1585924802,6884,6884
1585928642,6909,6909
1585930562,6922,6922
1585936322,6910,6910
1585940162,6935,6935
1585942082,6924,6924
1585945923,5629,5629
1585947841,6909,6909
1585949762,6897,6897
1585953601,6831,6831
1585957442,6802,6802
1585961282,6743,6743
1585963202,6723,6723
1585968962,6705,6705
1585973043,6676,6676
1585974961,6657,6657
1585978802,6662,6662
1585980722,6676,6676
1585984561,6686,6686
1585990322,6703,6703
1585994162,6737,6737
1585998002,6766,6766
1586002082,6788,6788
1586004002,6823,6823
1586007842,6826,6826
1586011682,6821,6821
1586015522,6827,6827
1586017442,6844,6844
1586023204,6866,6866
1586025122,6862,6862
1586027282,6859,6859
1586031122,6695,6695
1586036882,6626,6626
1586038803,6624,6624
1586040722,6587,6587
1586044562,6643,6643
1586046482,6597,6597
1586050322,6576,6576
1586054402,6555,6555
1586058242,6526,6526
1586062081,6514,6514
1586067842,6517,6517
1586071681,6551,6551
1586075522,4621,4621
1586077442,5086,5086
1586079362,6610,6610
1586083202,6643,6643
1586087042,6790,6790
1586090882,6777,6777
1586092803,6805,6805
1586094723,6777,6777
1586096642,6805,6805
1586098562,6805,6805
1586102405,6808,6808
1586104364,1516,1516
1586106481,6833,6833
1586108402,6837,6837
1586112242,6864,6864
1586116082,6855,6855
1586119923,6835,6835
1586121842,6804,6804
1586126162,6759,6759
1586130244,6719,6719
1586134083,6691,6691
1586137923,6683,6683
1586139842,6691,6691
1586141763,6655,6655
1586145608,6627,6627
1586147621,6642,6642
1586151602,6642,6642
1586155442,6656,6656
1586159282,6684,6684
1586163122,6726,6726
1586168883,6750,6750
1586170803,6776,6776
1586172723,524,524
1586174882,6782,6782
1586176802,6798,6798
1586180642,6837,6837
1586184482,6832,6832
1586190241,6865,6865
1586192163,6864,6864
1586196009,6893,6893
1586197922,2263,2263
1586199842,6856,6856
1586201762,6858,6858
1586205602,6838,6838
1586211363,6823,6823
1586213282,6760,6760
1586217122,6727,6727
1586220963,6701,6701
1586224804,6686,6686
1586226723,4167,4167
1586228642,6662,6662
1586230563,6646,6646
1586234402,6643,6643
1586238243,6642,6642
1586242083,6663,6663
1586245923,6675,6675
1586249762,6731,6731
1586251681,6750,6750
1586255630,6786,6786
1586257443,6791,6791
1586263202,6815,6815
1586267046,6829,6829
1586270882,6838,6838
1586274722,6858,6858
1586278562,6884,6884
1586280723,6871,6871
1586284801,6877,6877
1586288641,6868,6868
1586292482,6859,6859
1586296322,6820,6820
1586300161,6774,6774
1586302322,6738,6738
1586306162,6695,6695
1586310001,6687,6687
1586313842,6683,6683
1586315762,6653,6653
1586317682,6683,6683
1586319602,6653,6653
1586321522,6647,6647
1586325363,6654,6654
1586329210,6653,6653
1586331122,2595,2595
1586333042,6653,6653
1586334962,6728,6728
1586336882,6683,6683
1586338801,6742,6742
1586342642,6766,6766
1586346482,6755,6755
1586348402,6764,6764
1586354162,6755,6755
1586356082,6787,6787
1586358004,6820,6820
1586359922,6844,6844
1586361842,6847,6847
1586363762,6839,6839
1586367602,6839,6839
1586371442,6848,6848
1586373362,6840,6840
1586375282,6851,6851
1586379122,6827,6827
1586382962,6794,6794
1586386803,6717,6717
1586388723,1791,1791
1586390642,6689,6689
1586396403,6675,6675
1586400242,6624,6624
1586404081,6621,6621
1586406002,6617,6617
1586411761,6615,6615
1586415608,6627,6627
1586417521,1801,1801
1586419441,6645,6645
1586421362,6710,6710
1586425202,6731,6731
1586429042,6754,6754
1586432881,6749,6749
1586436721,6763,6763
1586440562,6781,6781
1586444402,6783,6783
1586446412,6809,6809
1586450403,6809,6809
1586456161,6836,6836
1586458082,6817,6817
1586460002,6836,6836
1586461922,6839,6839
1586465762,6798,6798
1586467682,6752,6752
1586471522,2084,2084
1586473682,6738,6738
1586475602,6719,6719
1586483282,6649,6649
1586485202,6623,6623
1586490962,6600,6600
1586494803,6593,6593
1586498641,6588,6588
1586500566,6618,6618
1586504402,6588,6588
1586506321,6639,6639
1586508243,6672,6672
1586512322,6700,6700
1586516162,6743,6743
1586520002,6758,6758
1586521922,4540,4540
1586523842,6676,6676
