DateTime,AddedIPs,RemovedIPs
1586354724,1,0
1586358616,1,0
1586359818,1,0
1586364917,39,0
1586365218,1,0
1586365516,1,0
1586365818,1,0
1586367618,1,0
1586369117,1,0
1586370018,28,0
1586372718,1,0
1586375118,3,0
1586375421,93,0
1586379019,1,0
1586381419,1,0
1586388916,1,0
1586397316,1,0
1586397918,1,0
1586399417,0,1
1586402417,1,0
1586409620,1,0
1586410817,0,1
1586411119,0,1
1586411419,1,0
1586412018,1,0
1586412317,1,1
1586415019,258,0
1586415316,4,0
1586415917,2,2
1586419518,1,0
1586423117,0,1
1586426716,206,0
1586427016,70,0
1586427321,24,0
1586430318,1,1
1586433917,12,2
1586437516,7,0
1586441118,5,0
1586441416,58,0
1586444717,1,0
1586446220,34,0
1586446818,1,0
1586448319,2,0
1586450116,1,0
1586451618,100,0
1586451918,2,1
1586455219,1,0
1586455517,2,0
1586455817,1,0
1586459116,1,0
1586462116,1,0
1586462717,1,1
1586463921,99,0
1586464819,2,0
1586465419,7,0
1586466318,2,0
1586470818,1,0
1586473517,2,2
1586476224,1,0
1586477118,1,0
1586480717,0,1
1586481617,1,0
1586482817,1,0
1586483716,1,0
1586484316,2,0
1586485818,1,0
1586487916,1,0
1586489119,1,0
1586490916,4,0
1586491517,13,0
1586491816,1,0
1586493316,46,2
1586495116,2,0
1586495417,1,0
1586497816,1,0
1586498717,5,0
1586499016,1,0
1586499927,1,0
1586501716,1,0
1586502317,5,0
1586505916,2,0
1586509517,2,2
1586513118,3,0
1586514620,1,0
1586515218,1,0
1586516718,5,0
1586519419,1,0
1586520318,2,1
1586520918,1,0
1586523918,0,1
1586527516,1,0
1586531118,2,0
1586534116,1,0
1586538021,1,0
1586538320,2,0
1586544917,47,0
1586545518,12,1
1586548219,10,0
1586548820,1194,0
1586550018,0,1
1586552116,1,0
1586552718,3,1
1586559318,74,0
1586559919,1,0
1586564416,1,0
1586565618,123,1
1586565920,2,0
1586567119,0,1
1586568917,1,0
1586570717,1,0
1586571922,1,0
1586574317,1,0
1586575520,1,0
1586576116,1,0
1586576418,1,0
1586577917,0,1
1586578818,1,0
1586580616,2,0
1586581220,1,0
1586581819,1,0
1586583918,1,0
1586584819,2,0
1586585116,4,0
1586586018,1,0
1586588717,4,1
1586592317,3,0
1586595917,0,2
1586597716,1,0
1586603118,4,0
1586604319,0,1
1586604618,1,0
1586606118,1,0
1586606718,2,1
1586607620,1,0
1586610618,1,0
1586612118,1,0
1586614521,1,0
1586620220,1,0
1586620520,1,0
1586620821,1,0
1586623820,1,0
1586624719,1,0
1586625320,1,0
1586628920,2,0
1586631918,2,1
1586634918,445,0
1586635222,11,0
1586637018,1,0
1586637318,2,0
1586645718,1,0
1586647820,1,0
1586649918,2,2
1586652018,10,0
1586653518,1,1
1586655918,1,0
1586657116,1,0
1586658617,2,0
1586660721,1,0
1586663418,1,0
1586664320,1,0
1586665519,1,0
1586677819,65,0
1586679620,1,0
1586680519,1,0
1586681421,1,0
1586682321,0,1
1586682619,1,0
1586685921,252,0
1586689520,0,1
1586692820,1,0
1586693118,1,0
1586695520,1,0
1586698218,2,0
1586700319,1,0
1586702118,1,0
1586704818,1,0
1586707818,162,0
1586709921,1,0
1586710518,1,0
1586712620,0,1
1586714718,0,1
1586716517,1,0
1586717121,1,0
1586717418,7,0
1586718022,1,0
1586718320,3,0
1586719219,2,0
1586719820,1,0
1586720118,1,0
1586720722,1,0
1586721920,7,0
1586722217,1,0
1586723118,1,0
1586724019,1,0
1586724919,1,0
1586725519,4,0
1586726419,27,0
1586727018,1,0
1586727921,1,0
1586729118,1,0
1586732719,3,0
1586733920,1,0
1586736319,3,0
1586736618,1,0
1586737218,1,0
1586739918,4,0
1586740518,1,0
1586742018,1,0
1586744718,1,0
1586747120,2,0
1586748317,1,0
1586749519,1,0
1586750721,1,2
1586751620,10,0
1586752821,1,0
1586754318,1,0
1586756420,1,0
1586757919,1,0
1586758219,1,0
1586760020,1,0
1586761221,1,0
1586765119,239,3
1586765420,2,0
1586768719,2,0
1586770818,9,0
1586771119,3,0
1586772321,2,1
1586774118,1,0
1586774722,1,0
1586775920,0,2
1586779519,1,1
1586783419,0,1
1586787019,1,0
1586790620,495,0
1586791219,1483,0
1586791520,807,0
1586792118,315,0
1586793922,1,0
1586798421,109,0
1586801123,0,1
1586804720,4,0
1586806818,316,0
1586807124,6,0
1586808320,1,0
1586808621,2,0
1586811920,2,0
1586815522,3,0
1586818822,1,0
1586819119,1,1
1586820323,1,0
1586821220,159,0
1586822719,1,0
1586833221,1,0
1586835620,1,0
1586836517,2,0
1586836822,1,0
1586837418,3,0
1586838019,41,1
1586838319,1,0
1586839220,7,0
1586840719,1,0
1586841317,1,0
1586843120,1,0
1586844321,1,0
1586845819,1,0
1586849122,0,1
1586849418,1,1
1586855121,0,5
1586855420,1,0
1586856020,0,1
1586865919,0,3
1586866519,1,0
1586868618,16,0
1586873121,0,1
1586873419,1,0
1586875821,2,0
1586876719,5,0
1586880321,3,0
1586880620,1,0
1586883919,2,0
1586887520,5,1
1586891120,5,0
1586894719,1,0
1586895621,25,0
1586895924,20,0
1586896519,596,0
1586896821,722,0
1586897122,734,0
1586897422,431,1
1586898020,1,0
1586898318,12,0
1586901918,11,0
1586905518,5,1
1586909119,4,0
1586912719,5,1
1586915120,1,0
1586916319,1,1
1586919921,5,0
1586920519,1,0
1586923519,3,0
1586925318,50,2
1586925620,4,0
1586927118,3,0
1586930719,6,1
1586934318,6,0
1586937921,10,0
1586938519,0,2
1586939718,1,0
1586941520,4,1
1586945119,3,0
1586949018,2,1
1586952319,26,1
1586953221,1,0
1586955922,237,0
1586959519,11,1
1586963421,3,0
1586966721,3,0
1586967021,1,0
1586970320,8,0
1586972723,0,1
1586973920,244,2
1586974219,1,0
1586974821,1,0
1586977520,5,1
1586981119,19,0
1586982321,1,0
1586982918,804,0
1586983221,757,0
1586983519,349,0
1586984118,1,0
1586984719,1,1
1586988618,5,0
1586991919,3,1
1586995520,11,0
1586999121,6,0
1587002118,1,0
1587002718,4,0
1587003019,1,0
1587005718,15,0
1587006321,2,0
1587009921,1,2
1587011719,1,0
1587013519,3,1
1587016220,1,0
1587017119,2,0
1587020423,1,0
1587020721,3,0
1587023722,1,0
1587024320,1,0
1587027919,3,0
1587029122,1,0
1587031524,1,1
1587031820,1,0
1587034519,1,0
1587035118,3,0
1587035727,1,0
1587037220,1,0
1587038721,1,3
1587040222,1,0
1587042319,3,0
1587043820,0,1
1587044118,0,1
1587045917,4,1
1587046520,1,0
1587049518,2,0
1587051920,40,0
1587052220,19,0
1587053117,3,1
1587054917,0,2
1587056719,1,0
1587057319,1,0
1587058819,0,1
1587060316,2,0
1587063619,1,0
1587063917,2,0
1587071118,2,0
1587074116,1,0
1587074717,2,1
1587076517,1,0
1587078318,5,0
1587081917,3,0
1587085517,2,0
1587089118,2,0
1587091518,1,0
1587092717,6,1
1587093017,0,1
1587096319,4,0
1587099919,2,0
1587103517,5,0
1587110718,3,0
1587115220,1,0
1587117920,2,1
1587121519,1,0
1587122118,1,0
1587124220,1,0
1587125121,1,0
1587128720,1,0
1587131418,1,0
1587132318,46,0
1587133221,195,2
1587133521,1,0
1587135918,21,1
1587139224,0,1
1587139522,23,0
1587142820,1,0
1587143118,29,1
1587146719,12,0
1587148819,1,0
1587150318,44,0
1587150616,1,0
1587153917,19,1
1587154216,1,0
1587155420,775,0
1587155717,730,0
1587156018,437,0
1587157220,57,0
1587157516,5,0
1587160220,0,1
1587161118,2,0
1587162017,1,0
1587163218,1,0
1587164716,3,0
1587166817,55,0
1587168317,6,0
1587169519,1,0
1587171916,0,1
1587173716,1,0
1587175820,6,0
1587177019,1,0
1587177621,1,0
1587179119,2,0
1587180021,1,0
1587181818,1,0
1587185716,1,0
1587186316,2,0
1587188117,44,0
1587188417,2,0
1587189316,2,0
1587189917,12,0
1587193517,1,0
1587195920,1,0
1587197118,5,0
1587202516,1,0
1587204319,1,0
1587205519,0,6
1587205825,0,1
1587207917,2,0
1587211519,2,0
1587213619,1,0
1587215121,0,1
1587216019,1,0
1587217521,32,0
