DateTime,AddedIPs,RemovedIPs
1580417125,0,1
1580429424,1,0
1580458223,1,0
1580460626,0,1
1580466326,3,0
1580466628,1,0
1580487023,3,0
1580515824,1,0
1580540723,1,0
1580544624,1,0
1580547625,0,1
1580576123,0,1
1580583929,0,1
1580587526,1,0
1580626228,1,0
1580635832,0,1
1580654728,0,1
1580682031,16,0
1580682926,0,1
1580726425,2,0
1580746225,1,0
1580758227,0,1
1580759131,0,1
1580772630,0,1
1580793325,0,1
1580820924,2,0
1580821827,1,0
1580832624,1,0
1580840424,1,0
1580884823,0,1
1580927425,0,1
1580927724,1,0
1580929822,0,1
1580931025,0,1
1580935826,5,0
1580938826,1,0
1580939127,2,0
1580939427,2,0
1580939723,1,0
1580940324,3,0
1580940624,3,0
1580947822,2,0
1580975424,0,1
1580985026,1,0
1580993724,1,0
1581026123,1,0
1581026428,1,0
1581054626,0,1
1581063024,1,0
1581091826,2,0
1581093326,0,1
1581113424,1,0
1581120623,2,0
1581122121,0,1
1581178225,1,0
1581191426,1,0
1581207023,1,0
1581226823,1,0
1581247828,0,1
1581264623,1,0
1581280526,0,1
1581280826,0,1
1581312024,0,1
1581321626,3,0
1581325226,0,1
1581354027,9,2
1581354323,0,2
1581354625,0,3
1581354925,0,4
1581357923,1,0
1581359125,0,1
1581382521,1,0
1581384326,1,0
1581411925,0,1
1581424523,0,1
1581435322,0,1
1581444924,0,1
1581490225,1,0
1581536725,0,1
1581583824,0,1
1581595522,0,1
1581603023,1,0
1581688524,0,1
1581699323,0,1
1581699926,1,0
1581703528,0,1
1581715223,1,0
1581725724,1,0
1581728121,1,0
1581770122,1,0
1581779125,1,0
1581792327,1,0
1581798026,7,0
1581840622,1,0
1581843026,0,1
1581858623,1,0
1581894924,0,1
1581898223,1,0
1581906022,1,0
1581906921,1,0
1581910223,1,0
1581934527,8,0
1581959426,0,1
1581964232,0,1
1581964526,0,1
1581967224,1,0
1581981325,1,0
1581984623,1,0
1582020028,0,1
1582041029,1,0
1582042227,0,1
1582056026,1,0
1582059628,0,1
1582070428,3,1
1582071024,1,0
1582103727,0,1
1582122922,0,1
1582128628,1,0
1582131327,0,1
