DateTime,AddedIPs,RemovedIPs
1583325602,372,373
1583329443,84,82
1583333282,199,211
1583352483,119,109
1583356323,132,129
1583371682,77,68
1583375522,68,77
1583379363,891,874
1583390883,522,523
1583406482,257,255
1583414163,249,258
1583418002,258,249
1583421842,249,258
1583429522,175,164
1583444884,590,599
1583456408,89,96
1583464322,891,886
1583475842,481,492
1583487363,262,255
1583498882,220,215
1583506562,215,220
1583510405,531,553
1583514482,444,417
1583518322,417,444
1583529843,417,398
1583545203,84,888
1583552883,883,84
1583556722,278,883
1583560563,885,260
1583564409,260,885
1583568483,883,269
1583576163,484,473
1583580002,626,650
1583591523,237,226
1583603042,163,163
1583606883,36,37
1583610722,37,36
1583618402,79,80
1583626083,73,72
1583629922,76,77
1583641442,904,886
1583649122,658,667
1583660643,412,423
1583676003,364,377
1583683683,122,124
1583695204,150,145
1583702882,52,58
1583706723,43,42
1583714403,118,120
1583722083,13,870
1583725922,891,8
1583737443,554,566
1583748962,348,350
1583756642,241,241
1583760722,241,241
1583764562,241,241
1583776083,139,135
1583779922,135,139
1583783762,236,232
1583791683,78,77
1583795522,58,58
1583799363,58,58
1583803202,861,887
1583810882,835,780
1583822403,799,813
1583837762,689,693
1583845443,109,110
1583856962,76,72
1583872322,70,68
1583880002,158,157
1583899203,883,904
1583910722,617,615
1583914562,615,617
1583918402,617,615
1583929923,436,445
1583933762,80,81
1583937602,81,80
1583941442,80,81
1583945283,316,295
1583949122,295,316
1583952962,331,312
1583960642,226,208
1583964483,8,8
1583968323,8,8
1583976004,124,124
1583983682,876,910
1583999043,584,581
1584006723,357,359
1584022083,219,221
1584033602,175,169
1584048963,85,82
1584064322,131,138
1584072002,876,876
1584079923,446,442
1584083763,442,446
1584087603,446,442
1584095283,632,621
1584110643,826,811
1584129842,331,304
1584137523,223,230
1584149042,37,929
1584168252,857,26
1584172083,783,748
1584183604,392,398
1584195363,247,241
1584206882,241,245
1584218403,125,123
1584222243,123,125
1584226083,251,254
1584233763,135,140
1584241443,860,891
1584249122,891,860
1584252963,904,889
1584256803,164,171
1584260643,171,164
1584264482,410,429
1584276003,252,249
1584287762,473,485
1584295442,146,146
1584310803,342,309
1584322323,903,911
1584326162,913,903
1584330003,864,912
1584345363,753,731
1584357363,347,339
1584361203,133,132
1584368882,278,280
1584380643,141,135
1584388323,107,103
1584396483,101,108
1584400323,103,105
1584411843,904,895
1584415683,868,893
1584434882,588,590
1584442563,343,353
1584446410,105,104
1584450243,178,169
1584454083,169,178
1584461763,295,279
1584465602,103,107
1584469443,107,103
1584473282,36,34
1584484803,30,29
1584488642,157,157
1584496323,894,886
1584499815,869,878
1584515283,612,605
1584530883,467,466
1584534723,241,250
1584542402,29,25
1584550322,34,33
1584554163,33,34
1584558003,176,174
1584569522,7,9
1584573362,86,80
1584584883,42,895
1584588723,875,37
1584607922,561,561
1584611762,507,485
1584623523,54,51
1584631203,77,79
1584635043,79,77
1584638882,200,199
1584650403,101,111
