DateTime,AddedIPs,RemovedIPs
1586506329,17,20
1586507402,259,0
1586508261,13,16
1586509017,753,1570
1586510171,20,25
1586512336,27,34
1586514261,27,36
1586514602,331,0
1586516169,35,16
1586518090,16,24
1586520026,29,0
1586521931,28,29
1586522182,948,0
1586523852,206,30
1586525784,36,9
1586527700,40,22
1586529614,333,5
1586531543,31,19
1586533454,14,0
1586535373,18,25
1586536202,273,0
1586537301,17,0
1586539210,18,35
1586541130,21,11
1586543051,15,28
1586543402,228,0
1586544968,22,12
1586546897,19,16
1586548827,30,11
1586550777,38,14
1586552653,247,15
1586554572,27,8
1586556512,15,21
1586558412,134,41
1586560334,16,44
1586561767,43,0
1586562264,211,24
1586564170,25,24
1586566090,24,9
1586568020,21,21
1586569447,142,3716
1586569934,27,34
1586571849,15,30
1586572202,223,0
1586573287,30,0
1586573778,25,26
1586575688,23,28
1586577630,28,16
1586580967,150,45
1586581701,24,39
1586583615,22,19
1586585542,301,20
1586587451,17,17
1586589373,13,13
1586593210,200,45
1586595130,38,17
1586597061,16,20
1586597401,251,0
1586598968,42,28
1586600899,17,23
1586602811,36,33
1586604851,33,19
1586606657,275,32
1586608581,29,23
1586610497,20,28
1586612412,149,36
1586613369,770,1546
1586614589,31,38
1586615402,258,0
1586616492,19,37
1586618410,32,23
1586620341,36,16
1586622248,26,20
1586624179,150,18
1586626088,11,16
1586626202,197,0
1586628021,27,20
1586629932,30,11
1586632104,32,20
1586634014,144,20
1586635940,25,32
1586637850,222,29
1586639773,58,19
1586641703,21,24
1586643612,145,16
1586645528,127,21
1586646488,37,35
1586647462,22,14
1586649369,45,6
1586650502,196,3426
1586651538,40,27
1586653454,40,24
1586655383,26,22
1586657301,26,29
1586658007,194,109
1586659220,20,14
1586661141,22,24
1586661302,298,0
1586663050,21,21
1586664971,22,26
1586665685,15,0
1586666904,23,0
1586668811,140,23
1586670733,23,21
1586672658,8,16
1586674572,270,15
1586676486,15,15
1586678422,29,0
1586680371,199,19
1586682253,17,14
1586684184,151,19
1586686103,211,42
1586688021,25,17
1586689935,9,33
1586691002,233,0
1586691852,17,30
1586693781,22,29
1586695693,13,21
1586697619,25,17
1586699531,182,26
1586701453,16,28
1586701802,260,0
1586703416,24,17
1586705047,801,804
1586705547,20,30
1586707453,4,32
1586709382,144,24
1586711302,4,30
1586713221,4,12
1586715133,166,25
1586717052,2,25
1586717101,231,0
1586718980,20,29
1586720897,16,33
1586722810,21,24
1586724743,115,22
1586726649,115,19
1586728579,20,10
1586730489,26,19
1586731501,231,0
1586732418,16,19
1586734341,8,18
1586734807,40,75
1586736253,13,47
1586738170,19,34
1586740109,221,2994
1586742014,33,27
1586742485,37,0
1586743932,32,28
1586745863,34,16
1586746331,27,62
1586746802,296,0
1586747774,28,19
1586749705,21,21
1586751620,26,21
1586753532,28,22
1586754011,21,36
1586755461,306,15
1586757369,28,23
1586760490,15,9
1586761203,273,0
1586762407,17,15
1586764336,26,17
1586766248,12,31
1586768166,32,18
1586770099,157,25
1586772012,42,30
1586773930,229,32
1586776108,38,27
1586776501,342,0
1586778011,31,6
1586779952,22,12
1586781852,16,29
1586783771,34,14
1586784263,710,0
1586784732,373,0
1586785690,23,25
1586788201,375,0
1586789537,26,42
1586790002,53,0
1586795534,36,52
1586797459,41,6
1586799385,153,5
1586801300,37,5
1586801702,338,0
1586803220,36,3
1586805129,24,3
1586805302,126,0
1586807055,32,17
1586808972,179,15
1586810893,26,22
1586812502,138,0
1586814731,46,38
1586816102,122,0
1586816650,12,21
1586818574,32,18
1586819770,193,0
1586824346,46,33
1586826250,43,18
1586826902,251,2889
1586828167,49,18
1586830101,36,26
1586831290,72,80
1586832015,44,26
1586834102,344,0
1586836334,57,76
1586838252,38,26
1586838970,16,0
1586840174,54,29
1586841302,267,0
1586842086,16,22
1586844010,31,22
1586846892,13,17
1586848821,335,15
1586850745,26,29
1586852648,16,13
1586854620,47,32
1586855702,388,0
1586856488,20,0
1586858418,29,46
1586860341,25,23
1586862259,23,0
1586862902,337,0
1586864172,18,36
1586866115,19,29
1586868012,30,18
1586869941,14,12
1586870102,374,0
1586871862,18,32
1586873779,21,23
1586875467,499,913
1586875937,20,0
1586876178,368,740
1586877130,403,0
1586877369,499,0
1586877851,283,25
1586879778,22,0
1586881689,20,0
1586884502,271,0
1586885533,28,66
1586887462,26,39
1586891294,32,73
1586891702,385,0
1586893220,19,18
1586895138,21,32
1586897053,22,38
1586898987,28,24
1586900892,378,0
1586902809,25,42
1586904731,19,10
1586906658,288,26
1586908326,41,84
1586908566,28,0
1586910487,23,0
1586912419,10,46
1586916014,174,3452
1586916500,10,92
1586916902,307,0
1586918424,21,81
1586920090,33,59
1586920579,21,0
1586922496,15,0
1586923925,27,15
1586924422,137,53
1586926334,22,41
1586928251,15,54
1586930178,289,14
1586932092,17,34
1586934031,17,10
1586935930,144,23
1586936902,851,0
1586938102,15,25
1586938501,351,0
1586940021,15,13
1586941932,15,46
1586943852,13,16
1586945796,22,29
1586947692,179,24
1586949618,19,26
1586951540,346,18
1586953452,14,18
1586955377,11,27
1586957289,168,14
1586959214,20,14
1586961258,379,17
1586963061,15,21
1586964602,121,0
1586964985,10,15
1586966901,20,22
1586968202,96,0
1586968811,24,17
1586970738,28,0
1586972651,25,30
1586974814,34,23
1586975402,200,0
1586976729,53,0
1586978178,835,1719
1586978657,24,30
1586980567,44,16
1586982490,32,21
1586982602,214,0
1586984421,20,14
1586986332,25,20
1586988253,12,18
1586990181,293,17
1586992098,19,15
1586993527,41,0
1586994011,17,18
1586995953,13,21
1586997002,213,3726
1586997850,17,22
1586999773,11,8
1587001211,34,39
1587001700,20,0
1587003608,18,7
1587004201,284,0
1587005053,30,0
1587005530,9,13
1587007459,20,22
1587011288,15,25
1587011402,248,0
1587012729,22,49
1587015130,19,33
1587017052,16,32
1587018986,297,13
1587020899,10,17
1587022823,18,15
1587024730,10,14
1587025802,380,0
1587026650,16,14
1587028577,14,15
1587030500,16,15
1587032419,15,20
1587033002,304,0
1587034334,11,16
1587036264,17,17
1587036733,792,845
1587038168,24,20
1587040090,20,16
1587040202,383,0
1587042502,994,0
1587043940,21,23
1587046112,30,18
1587048012,371,15
1587050178,17,13
1587052091,15,11
1587054015,24,22
1587054602,404,0
1587055930,29,26
1587057858,7,26
1587059767,29,16
1587061726,13,39
1587061802,274,0
1587063617,24,52
1587065530,15,23
1587067451,23,39
1587069380,104,28
1587071301,118,23
1587073214,21,22
1587075142,23,13
1587076202,193,0
1587077048,16,25
1587078972,20,18
1587080901,18,15
1587082091,39,80
1587082808,22,11
1587083402,235,3264
1587084736,27,20
1587086651,18,11
1587088577,34,19
1587089767,70,103
1587090488,24,18
1587092417,179,9
1587094338,21,18
1587096255,260,0
1587097446,16,0
1587100103,28,19
1587105858,421,52
1587107770,19,13
1587109689,14,18
1587111370,839,852
1587111616,20,8
1587113529,160,14
1587115802,381,0
1587121211,20,48
1587123138,41,16
1587125053,224,17
1587126968,44,19
1587128908,349,0
1587130810,29,17
1587132731,35,28
1587134661,175,11
1587136581,27,17
1587137402,310,0
1587138498,18,10
1587140408,25,0
1587142329,31,22
1587144256,17,28
1587146206,126,34
1587148087,20,0
1587148202,244,0
1587150012,23,16
1587151932,23,41
1587152891,859,1767
1587153862,18,21
1587155774,98,0
1587157709,17,26
1587159613,36,0
1587161547,273,47
1587163453,18,13
1587165370,23,0
1587166807,151,0
1587167302,24,35
1587169212,22,21
1587169802,213,3648
1587171130,45,0
1587173056,24,42
1587174485,36,0
1587174967,41,0
1587176891,18,51
1587178330,120,64
1587178828,23,40
1587180732,14,0
1587182652,253,25
1587184581,16,22
1587186007,20,37
1587187933,809,0
1587188411,135,29
1587190351,30,0
1587192252,124,0
1587194169,126,17
1587196099,16,41
1587198019,23,23
1587199502,289,0
1587199930,14,21
1587201857,16,0
1587203102,121,0
1587203768,16,0
1587205686,21,0
1587206702,118,0
1587207623,14,16
1587209534,13,0
1587210302,154,0
1587211453,20,39
1587213387,26,80
1587213902,149,0
1587215291,21,0
1587217210,20,66
1587217501,197,0
1587219159,3,32
1587221102,116,0
1587224897,105,53
1587228302,101,1
1587228731,23,81
1587230658,19,17
1587231902,108,0
1587232569,17,0
1587234488,12,38
1587235502,87,0
1587236417,22,22
1587238332,27,0
1587239102,134,0
1587240254,18,22
1587242184,15,36
1587242702,104,0
1587244094,14,0
1587246011,10,15
1587246302,98,0
1587247943,17,31
1587249902,88,0
1587251289,43,42
1587251771,19,64
1587253699,98,0
1587255606,23,22
1587257102,65,3404
1587257528,44,21
1587259456,31,41
1587261365,45,23
1587262807,73,80
1587263286,29,37
1587264301,228,0
1587265225,42,22
1587267162,29,38
1587269054,18,12
1587270486,17,0
1587270979,16,0
1587271501,196,0
1587272898,18,19
1587274815,17,23
1587276741,15,0
1587278651,31,27
1587278702,204,0
1587279366,806,2489
1587280571,17,36
1587282499,15,0
1587284414,26,15
1587285902,216,0
1587288257,14,49
1587290168,20,0
1587292087,12,17
