DateTime,AddedIPs,RemovedIPs
1585570641,1,4
1585572616,1280,0
1585574328,3,13
1585577903,7,6
1585581488,4,14
1585585101,5,2
1585585502,2048,2048
1585588674,5,5
1585592263,7,9
1585595862,4,7
1585596609,512,512
1585599471,8,3
1585603044,7,3
1585606650,8,3
1585609211,512,512
1585610272,8,7
1585613847,3,4
1585617471,7,9
1585621077,2,12
1585624670,11,9
1585628262,5,6
1585631850,4,3
1585637402,12,2
1585639249,4,5
1585642844,6,2
1585646440,2,4
1585650122,3,1
1585653605,6,2
1585656915,0,512
1585657224,4,2
1585659002,1280,6912
1585660837,3,4
1585664424,4,9
1585667237,1792,1536
1585668038,3,4
1585671471,7,5
1585673111,256,256
1585675092,4,6
1585678795,3,8
1585682395,1,5
1585685994,6,5
1585689586,773,772
1585693173,1,11
1585695613,256,256
1585696769,3,1
1585700385,1,3
1585703973,1,4
1585707564,7,3
1585708502,256,256
1585711193,6,4
1585714776,5,1
1585718399,5,2
1585722012,3,8
1585729518,6,8
1585733100,9,5
1585736702,3,8
1585740304,5,4
1585743310,256,256
1585743927,7,6
1585745406,22016,11776
1585747527,5,2
1585751121,1,3
1585754742,1,6
1585755911,1792,1792
1585757710,0,1024
1585758327,5,2
1585761911,3,6
1585764911,256,256
1585765503,3,2
1585769100,2,5
1585771630,768,768
1585772702,7,7
1585776305,5,2
1585778874,512,512
1585779911,3,8
1585783503,8,6
1585786510,512,512
1585787100,3,5
1585790700,5,4
1585794311,6,3
1585797912,9,6
1585801509,8,1
1585805118,2,5
1585808711,3,7
1585812316,6,11
1585815896,6,5
1585819519,6,2
1585823106,4,5
1585826714,5,3
1585830313,3,6
1585831804,256,10752
1585833939,6,3
1585837486,3,7
1585841127,12,9
1585844723,4,7
1585845910,2048,2304
1585848321,7,4
1585851309,256,256
1585851899,6,11
1585855470,8,6
1585859034,3,0
1585862703,4,2
1585866002,768,768
1585866242,1,1
1585869880,1,6
1585873438,2,4
1585877042,6,1
1585880110,512,512
1585880631,2,3
1585884266,6,2
1585884610,256,256
1585887876,4,3
1585891459,6,4
1585895047,4,2
1585898681,4,7
1585902247,4,5
1585905902,2,8
1585909457,5,4
1585913039,5,2
1585916719,8,2
1585918204,2048,9472
1585920311,4,8
1585923912,5,3
1585924210,2560,2560
1585927501,4,8
1585931111,4,5
1585934721,6,5
1585935911,512,512
1585938326,2,7
1585939510,256,256
1585941858,4,5
1585945489,4,3
1585948503,512,512
1585948614,5,5
1585952191,6,4
1585955781,3,8
1585959387,6,8
1585963007,7,5
1585966599,771,773
1585970219,266,8
1585973710,256,256
1585973797,9,3
1585977450,3,3
1585980995,3,2
1585984576,2,5
1585988231,4,6
1585991813,1,2
1585992609,256,256
1585995554,2,4
1585999030,0,5
1586002605,5,5
1586004603,768,11008
1586006223,6,4
1586009836,9,4
1586013417,3,1
1586017011,1284,1282
