DateTime,AddedIPs,RemovedIPs
1586857321,23,0
1586858521,14,0
1586859122,2,0
1586859721,5,0
1586860921,10,0
1586861521,2,0
1586862721,1,0
1586863981,19,0
1586864521,5,0
1586865721,18,0
1586866921,19,0
1586867522,21,0
1586868121,2,0
1586869921,5,1
1586871182,10,0
1586871721,5,0
1586872321,15,0
1586873522,2,0
1586874781,21,0
1586875321,15,0
1586875921,4,0
1586876521,29,0
1586877721,24,0
1586878921,3,0
1586879522,2,0
1586880121,3,0
1586880721,23,0
1586881981,25,0
1586883122,3,0
1586883721,3,0
1586884321,9,0
1586884922,4,0
1586885582,14,0
1586886121,13,0
1586886721,7,0
1586887322,8,0
1586888521,5,0
1586889721,17,0
1586890921,12,0
1586892121,46,0
1586892721,1,1
1586893921,7,0
1586894522,21,0
1586895121,3,0
1586895721,4,0
1586897521,7,0
1586898121,12,0
1586898721,21,0
1586899322,4,0
1586901121,1,0
1586901722,13,0
1586902921,10,0
1586904121,5,0
1586904722,18,0
1586905321,5,0
1586907181,22,0
1586907721,25,0
1586908921,8,0
1586910122,6,0
1586911321,6,0
1586911921,1,1
1586912521,5,0
1586913121,1,0
1586913721,12,0
1586915522,3,1
1586916721,7,0
1586917321,4,0
1586917981,11,0
1586918521,31,0
1586919121,22,0
1586919721,3,0
1586920321,5,0
1586921581,6,0
1586922121,8,0
1586923321,27,1
1586924521,4,0
1586925721,30,1
1586926322,4,0
1586926921,2,0
1586928122,12,0
1586929321,2,0
1586930521,7,0
1586931121,8,0
1586931721,2,0
1586932382,2,0
1586932921,3,0
1586933521,4,0
1586934121,10,0
1586934721,4,1
1586937121,23,0
1586937721,2,0
1586938321,24,1
1586939582,16,0
1586940121,4,0
1586940722,3,0
1586941720,1592,263
1586943121,26,0
1586943722,2,0
1586944321,5,0
1586944922,13,0
1586946121,16,0
1586946721,1,0
1586947921,9,0
1586948521,3,1
1586949121,4,0
1586950321,4,0
1586950921,9,0
1586951521,4,0
1586952121,1,0
1586953322,16,0
1586953921,1,0
1586954521,1,0
1586955122,3,0
1586956921,3,0
1586957581,23,0
1586958122,4,0
1586958721,1,0
1586959321,10,0
1586959922,18,0
1586961181,7,0
1586961721,7,0
1586962921,5,0
1586963521,3,0
1586964121,5,0
1586971321,66,0
1586978521,45,0
1586980321,12,0
1586981521,22,0
1586983921,37,0
1586984522,101,0
1586985722,11,0
1586986322,1,0
1586986921,40,0
1586988122,16,1
1586988721,13,0
1586989321,1,0
1586990521,39,0
1586991721,14,0
1586992921,21,0
1586994121,5,0
1586995321,1,0
