DateTime,AddedIPs,RemovedIPs
1586329232,45,46
1586331132,66,28
1586333051,36,53
1586334981,55,53
1586336901,35,64
1586338810,63,75
1586340742,53,2952
1586342651,66,40
1586344570,1115,0
1586346502,68,49
1586348424,71,45
1586350330,48,38
1586352265,46,38
1586354166,57,50
1586356090,51,34
1586358021,69,44
1586359933,83,40
1586361850,45,56
1586363784,65,50
1586365699,52,54
1586367610,87,52
1586369544,79,46
1586371450,59,33
1586373370,59,53
1586375303,61,51
1586377206,73,36
1586379124,59,53
1586381056,62,54
1586382968,94,65
1586384884,91,47
1586386823,1006,0
1586388733,58,39
1586390653,69,37
1586392581,59,34
1586394494,59,28
1586396416,71,44
1586398342,43,39
1586400252,56,26
1586402170,59,42
1586404100,40,44
1586406009,59,51
1586407928,36,46
1586409859,44,39
1586411766,65,47
1586413721,63,35
1586415625,50,50
1586417534,37,35
1586419453,70,48
1586421386,46,41
1586423301,50,42
1586425227,54,61
1586427134,50,2717
1586429058,62,62
1586430975,1253,0
1586432888,63,65
1586434818,65,72
1586436728,70,65
1586438646,52,47
1586440576,42,52
1586442530,30,50
1586444407,13,52
1586446432,28,45
1586448505,75,64
1586450443,95,61
1586452335,37,53
1586454259,90,46
1586456170,76,51
1586458092,55,46
1586460013,89,66
1586461928,62,50
1586463860,66,49
1586465768,78,43
1586467692,53,49
1586469629,116,67
1586471533,70,46
1586473702,1119,0
1586475614,64,59
1586477545,68,57
1586479448,49,49
1586481372,52,55
1586483300,66,39
1586485207,55,41
1586487133,47,44
1586489063,64,44
1586490967,80,56
1586492888,52,38
1586494826,66,50
1586496841,54,42
1586498652,50,40
1586500576,79,48
1586502500,70,42
1586504415,66,78
1586506329,57,38
1586508261,63,40
1586510171,64,45
1586512335,63,59
1586514260,58,2834
1586516168,79,79
1586518090,1268,0
1586520025,113,77
1586521930,77,53
1586523851,53,58
1586525783,62,66
1586527699,53,42
1586529613,50,59
1586531542,46,50
1586533453,53,41
1586535372,77,61
1586537300,67,42
1586539209,52,43
1586541128,72,64
1586543050,68,57
1586544967,97,55
1586546896,48,43
1586548825,57,68
1586550776,46,43
1586552651,40,47
1586554570,48,44
1586556510,54,54
1586558412,45,65
1586560334,1119,0
1586562264,32,57
1586564170,51,48
1586566090,44,57
1586568019,45,65
1586569934,57,28
1586571849,42,51
1586573778,49,45
1586575689,38,57
1586577630,47,45
1586579529,43,40
1586581700,58,41
1586583614,39,60
1586585541,41,59
1586587450,54,51
1586589372,46,41
1586591302,43,43
1586593210,51,59
1586595129,37,49
1586597060,33,36
1586598967,40,55
1586600898,32,2878
1586602810,1381,0
1586604849,69,48
1586606655,51,71
1586608579,64,62
1586610495,49,48
1586612410,35,60
1586614588,34,62
1586616490,39,44
1586618408,49,59
1586620340,35,68
1586622246,43,49
1586624177,58,67
1586626086,39,56
1586628019,66,56
1586629930,38,63
1586632102,41,80
1586634012,33,73
1586635938,40,54
1586637848,29,59
1586639771,36,68
1586641700,55,65
1586643609,86,65
1586645529,59,60
1586647463,1262,0
1586649369,55,65
1586651539,52,61
1586653455,63,41
1586655384,125,52
1586657302,44,50
1586659220,40,41
1586661142,40,40
1586663051,42,63
1586664971,60,59
1586666904,50,53
1586668811,45,64
1586670733,43,51
1586672658,33,46
1586674572,39,75
1586676486,45,56
1586678422,46,64
1586680371,38,51
1586682253,61,64
1586684183,58,81
1586686103,59,2537
1586688021,70,43
1586689934,1069,0
1586691851,62,38
1586693780,60,45
1586695693,61,42
1586697618,65,47
1586699530,40,54
1586701452,44,38
1586703415,57,48
1586705545,25,45
1586707452,32,47
1586709381,34,51
1586711301,49,53
1586713220,131,38
1586715131,57,47
1586717051,35,58
1586718979,46,51
1586720895,45,52
1586722809,62,52
1586724741,69,52
1586726647,51,39
1586728577,59,46
1586730487,46,35
1586732418,988,0
1586734341,40,28
1586736253,45,35
1586738169,54,49
1586740109,59,36
1586742013,72,51
1586743931,63,41
1586745862,33,36
1586747773,48,35
1586749704,69,39
1586751619,71,50
1586753531,78,42
1586755460,54,37
1586757368,58,52
1586759634,50,47
1586761464,47,56
1586763370,47,57
1586765297,32,38
1586767224,56,41
1586769137,40,36
1586771049,39,42
1586772979,53,2291
1586774892,74,52
1586776828,1105,0
1586778731,54,52
1586780655,55,40
1586782600,71,63
1586784728,74,43
1586786662,47,41
1586788569,60,39
1586790492,56,39
1586792417,65,49
1586794328,54,42
1586796247,76,57
1586798422,84,50
1586800572,63,43
1586802494,53,39
1586804410,73,46
1586806337,75,47
1586808253,63,39
1586810167,86,58
1586812107,60,56
1586814010,58,64
1586815933,36,60
1586817858,55,53
1586819777,1000,0
1586821689,51,42
1586823623,47,34
1586825528,32,45
1586827454,48,32
1586829376,55,35
1586831295,42,30
1586833208,57,41
1586835144,60,25
1586837053,61,53
1586838975,57,51
1586840900,63,44
1586842813,47,38
1586844973,67,34
1586846891,48,37
1586848820,58,49
1586850745,48,44
1586852648,53,35
1586854619,46,66
1586856487,35,51
1586858417,48,2463
1586860340,40,59
1586862258,1162,0
1586864171,57,49
1586866114,42,41
1586868011,56,53
1586869940,49,44
1586871860,41,62
1586873777,39,58
1586875936,47,34
1586877850,42,41
1586879776,49,84
1586881687,46,55
1586883661,50,91
1586885531,40,44
1586887461,43,40
1586889377,63,57
1586891292,46,54
1586893218,63,46
1586895136,51,27
1586897051,58,51
1586898985,87,48
1586900890,75,46
1586902807,60,55
1586904731,76,59
1586906658,1079,0
1586908566,46,37
1586910487,41,38
1586912418,65,52
1586914328,47,43
1586916500,63,55
1586918423,83,32
1586920578,59,37
1586922495,42,60
1586924422,55,65
1586926334,49,73
1586928250,43,45
1586930178,47,54
1586932091,53,40
1586934031,47,61
1586935929,45,35
1586938101,62,33
1586940020,53,54
1586941931,54,42
1586943851,29,39
1586945795,57,2664
1586947691,58,43
1586949617,1162,0
1586951538,52,42
1586953450,35,39
1586955375,68,39
1586957288,48,33
1586959212,43,54
1586961256,69,38
1586963059,37,49
1586964983,50,65
1586966900,30,62
1586968809,71,60
1586970736,39,77
1586972649,68,36
1586974812,53,74
1586976726,46,49
1586978655,42,50
1586980565,54,63
1586982488,43,51
1586984418,53,47
1586986329,26,43
1586988251,31,42
1586990181,51,48
1586992098,1067,0
1586994011,38,60
1586995953,28,37
1586997850,49,23
1586999772,60,44
1587001700,41,27
1587003608,63,49
1587005529,35,34
1587007458,47,53
1587009365,63,64
1587011287,41,47
1587013219,71,79
1587015129,46,44
1587017051,39,42
1587018985,46,66
1587020898,42,43
1587022822,50,61
1587024729,52,54
1587026649,41,47
1587028576,52,43
1587030498,29,38
1587032418,24,2408
1587034333,55,57
1587036262,1212,0
1587038166,95,50
1587040089,88,41
1587042009,63,61
1587043938,80,45
1587046110,68,62
1587048010,56,83
1587050176,68,47
1587052089,53,46
1587054013,77,49
1587055928,59,43
1587057856,50,44
1587059764,76,52
1587061724,46,55
1587063614,90,52
1587065528,83,48
1587067449,58,57
1587069377,86,53
1587071299,59,56
1587073211,74,40
1587075139,74,54
1587077049,86,49
1587078972,1103,0
1587080901,51,31
1587082808,68,35
1587084736,62,49
1587086651,59,39
1587088577,91,50
1587090488,60,55
1587092416,60,68
1587094338,81,28
1587096255,80,49
1587098172,69,36
1587100103,62,42
1587102013,80,42
1587103929,73,45
1587105857,60,48
1587107769,100,49
1587109688,54,45
1587111616,82,58
1587113528,57,46
1587115530,64,48
1587117374,68,47
1587119286,69,2196
1587121211,1100,0
1587123137,66,28
1587125052,58,30
1587126967,90,52
1587128907,69,47
1587130809,92,26
1587132730,74,64
1587134660,84,32
1587136580,70,51
1587138497,49,48
1587140407,54,50
1587142327,76,55
1587144254,56,59
1587146204,60,52
1587148086,65,35
1587150010,65,54
1587151930,41,42
1587153860,55,52
1587155773,83,54
1587157707,53,42
1587159611,59,44
1587161545,64,26
1587163453,67,30
1587165369,928,0
1587167301,44,25
1587169211,53,29
1587171130,37,38
1587173056,59,33
1587174966,67,34
1587176891,56,42
1587178827,53,44
1587180732,52,39
1587182652,55,47
1587184580,56,47
1587186503,33,52
1587188410,41,52
1587190350,43,29
1587192251,47,39
1587194168,42,50
1587196098,31,42
1587198017,44,50
1587199928,49,46
1587201856,59,37
1587203767,62,33
1587205685,42,3238
1587207621,1587,0
1587209532,55,65
1587211451,67,69
1587213385,71,68
1587215290,47,55
1587217209,63,73
1587219157,36,75
1587221049,59,42
1587222967,45,76
1587224895,52,85
1587226807,45,57
1587228729,94,65
1587230656,74,87
1587232567,75,65
1587234486,42,76
1587236415,69,78
1587238330,76,86
1587240252,74,49
1587242182,76,76
1587244092,71,68
1587246008,83,68
1587247941,52,74
1587249849,74,69
1587251771,1431,0
1587253699,45,49
1587255606,42,60
1587257527,96,53
1587259455,125,47
1587261365,66,68
1587263285,75,50
1587265224,72,52
1587267161,65,61
1587269053,59,69
1587270978,61,66
1587272898,47,64
1587274814,48,78
1587276740,36,64
1587278650,46,57
1587280570,52,90
1587282498,44,54
1587284413,68,70
1587286328,29,60
1587288256,55,56
1587290167,46,79
1587292086,40,2774
