DateTime,Entries,UniqueIPs
1586329232,5814,5814
1586331132,5852,5852
1586333051,5835,5835
1586334981,5837,5837
1586336901,5808,5808
1586338810,5796,5796
1586340742,2897,2897
1586342651,2923,2923
1586344570,4038,4038
1586346502,4057,4057
1586348424,4083,4083
1586350330,4093,4093
1586352265,4101,4101
1586354166,4108,4108
1586356090,4125,4125
1586358021,4150,4150
1586359933,4193,4193
1586361850,4182,4182
1586363784,4197,4197
1586365699,4195,4195
1586367610,4230,4230
1586369544,4263,4263
1586371450,4289,4289
1586373370,4295,4295
1586375303,4305,4305
1586377206,4342,4342
1586379124,4348,4348
1586381056,4356,4356
1586382968,4385,4385
1586384884,4429,4429
1586386823,5435,5435
1586388733,5454,5454
1586390653,5486,5486
1586392581,5511,5511
1586394494,5542,5542
1586396416,5569,5569
1586398342,5573,5573
1586400252,5603,5603
1586402170,5620,5620
1586404100,5616,5616
1586406009,5624,5624
1586407928,5614,5614
1586409859,5619,5619
1586411766,5637,5637
1586413721,5665,5665
1586415625,5665,5665
1586417534,5667,5667
1586419453,5689,5689
1586421386,5694,5694
1586423301,5702,5702
1586425227,5695,5695
1586427134,3028,3028
1586429058,3028,3028
1586430975,4281,4281
1586432888,4279,4279
1586434818,4272,4272
1586436728,4277,4277
1586438646,4282,4282
1586440576,4272,4272
1586442530,4252,4252
1586444407,4213,4213
1586446432,4196,4196
1586448505,4207,4207
1586450443,4241,4241
1586452335,4225,4225
1586454259,4269,4269
1586456170,4294,4294
1586458092,4303,4303
1586460013,4326,4326
1586461928,4338,4338
1586463860,4355,4355
1586465768,4390,4390
1586467692,4394,4394
1586469629,4443,4443
1586471533,4467,4467
1586473702,5586,5586
1586475614,5591,5591
1586477545,5602,5602
1586479448,5602,5602
1586481372,5599,5599
1586483300,5626,5626
1586485207,5640,5640
1586487133,5643,5643
1586489063,5663,5663
1586490967,5687,5687
1586492888,5701,5701
1586494826,5717,5717
1586496841,5729,5729
1586498652,5739,5739
1586500576,5770,5770
1586502500,5798,5798
1586504415,5786,5786
1586506329,5805,5805
1586508261,5828,5828
1586510171,5847,5847
1586512335,5851,5851
1586514260,3075,3075
1586516168,3075,3075
1586518090,4343,4343
1586520025,4379,4379
1586521930,4403,4403
1586523851,4398,4398
1586525783,4394,4394
1586527699,4405,4405
1586529613,4396,4396
1586531542,4392,4392
1586533453,4404,4404
1586535372,4420,4420
1586537300,4445,4445
1586539209,4454,4454
1586541128,4462,4462
1586543050,4473,4473
1586544967,4515,4515
1586546896,4520,4520
1586548825,4509,4509
1586550776,4512,4512
1586552651,4505,4505
1586554570,4509,4509
1586556510,4509,4509
1586558412,4489,4489
1586560334,5608,5608
1586562264,5583,5583
1586564170,5586,5586
1586566090,5573,5573
1586568019,5553,5553
1586569934,5582,5582
1586571849,5573,5573
1586573778,5577,5577
1586575689,5558,5558
1586577630,5560,5560
1586579529,5563,5563
1586581700,5580,5580
1586583614,5559,5559
1586585541,5541,5541
1586587450,5544,5544
1586589372,5549,5549
1586591302,5549,5549
1586593210,5541,5541
1586595129,5529,5529
1586597060,5526,5526
1586598967,5511,5511
1586600898,2665,2665
1586602810,4046,4046
1586604849,4067,4067
1586606655,4047,4047
1586608579,4049,4049
1586610495,4050,4050
1586612410,4025,4025
1586614588,3997,3997
1586616490,3992,3992
1586618408,3982,3982
1586620340,3949,3949
1586622246,3943,3943
1586624177,3934,3934
1586626086,3917,3917
1586628019,3927,3927
1586629930,3902,3902
1586632102,3863,3863
1586634012,3823,3823
1586635938,3809,3809
1586637848,3779,3779
1586639771,3747,3747
1586641700,3737,3737
1586643609,3758,3758
1586645529,3757,3757
1586647463,5019,5019
1586649369,5009,5009
1586651539,5000,5000
1586653455,5022,5022
1586655384,5095,5095
1586657302,5089,5089
1586659220,5088,5088
1586661142,5088,5088
1586663051,5067,5067
1586664971,5068,5068
1586666904,5065,5065
1586668811,5046,5046
1586670733,5038,5038
1586672658,5025,5025
1586674572,4989,4989
1586676486,4978,4978
1586678422,4960,4960
1586680371,4947,4947
1586682253,4944,4944
1586684183,4921,4921
1586686103,2443,2443
1586688021,2470,2470
1586689934,3539,3539
1586691851,3563,3563
1586693780,3578,3578
1586695693,3597,3597
1586697618,3615,3615
1586699530,3601,3601
1586701452,3607,3607
1586703415,3616,3616
1586705545,3596,3596
1586707452,3581,3581
1586709381,3564,3564
1586711301,3560,3560
1586713220,3653,3653
