DateTime,AddedIPs,RemovedIPs
1586394004,160,107
1586395805,173,154
1586397605,167,342
1586399405,197,841
1586401206,140,434
1586403007,230,286
1586404806,237,163
1586406605,158,124
1586408405,180,265
1586410205,182,127
1586412005,148,105
1586413804,130,69
1586415605,134,32
1586417405,116,90
1586419204,153,258
1586421005,138,193
1586422805,126,207
1586424605,335,519
1586426406,265,219
1586428204,186,53
1586430004,308,137
1586431804,264,93
1586433604,266,128
1586435405,419,122
1586437205,289,145
1586439004,181,469
1586440805,182,343
1586442605,194,198
1586444404,208,232
1586446205,166,131
1586448004,234,48
1586449804,265,48
1586451604,363,162
1586453405,482,174
1586455205,962,180
1586457009,1087,3903
1586458809,930,1978
1586460608,636,191
1586462409,474,276
1586464209,536,72
1586466009,342,1092
1586467809,312,712
1586469611,383,483
1586471410,530,480
1586473212,291,114
1586475011,370,159
1586476811,316,179
1586478613,430,228
1586480412,497,334
1586482212,486,264
1586484013,369,527
1586485813,333,282
1586487613,298,274
1586489414,357,374
1586491214,338,442
1586493013,337,382
1586494812,204,195
1586496613,253,131
1586498412,86,100
1586500215,77,95
1586502011,113,130
1586503810,142,314
1586505609,170,625
1586507412,97,469
1586509210,132,95
1586511010,154,63
1586512810,133,31
1586514610,176,57
1586516408,224,249
1586518209,261,193
1586520009,140,27
1586521808,136,61
1586523607,128,74
1586525407,163,49
1586527206,229,77
1586529007,193,38
1586530806,165,21
1586532605,198,12
1586534405,125,13
1586536205,117,58
1586538004,139,33
1586539804,123,42
1586541604,191,44
1586543405,229,24
1586545204,133,35
1586547005,125,17
1586548804,280,27
1586550603,153,118
1586552403,224,105
1586554202,135,127
1586556003,161,140
1586557803,132,71
1586559603,79,227
1586561403,196,224
1586563203,102,181
1586565002,114,118
1586566803,77,123
1586568602,86,135
1586570403,84,144
1586572203,117,258
1586574004,59,852
1586575804,100,328
1586577604,215,530
1586579404,93,288
1586581204,157,351
1586583004,107,232
1586584804,173,112
1586586604,113,197
1586588403,89,214
1586590204,170,123
1586592004,93,52
1586593804,150,121
1586595605,138,75
1586597404,76,31
1586599205,129,10
1586601004,141,9
1586602805,116,120
1586604605,94,10
1586606407,166,326
1586608209,102,1726
1586610008,137,261
1586611809,93,0
1586613608,172,5
1586615408,139,20
1586617208,191,27
1586619008,152,49
1586620809,249,501
1586622609,283,174
1586624409,1190,55
1586626210,585,16
1586628009,391,170
1586629811,412,1249
1586631610,433,1194
1586633411,270,305
1586635212,333,208
1586637013,308,189
1586638813,869,48
1586640612,234,341
1586642413,411,246
1586644214,2320,275
1586646013,235,60
1586647814,98,1257
1586649615,549,346
1586651415,299,75
1586653213,265,35
1586655012,158,28
1586656813,127,1736
1586658614,108,993
1586660414,125,1
1586662213,198,21
1586664014,102,1287
1586665813,102,130
1586667614,169,415
1586669413,245,11
1586671213,143,11
1586673013,536,2
1586674812,481,3
1586676611,373,6
1586678411,858,5
1586680210,1425,9
1586682009,1002,17
1586683810,724,110
1586685609,486,2
1586687407,384,5
1586689208,335,12
1586691009,393,12
1586692807,520,18
1586694607,462,17
1586696407,458,35
1586698207,385,32
1586700008,418,4178
1586701808,410,1886
1586703608,433,695
1586705406,420,356
1586707207,483,1658
1586709008,884,594
1586710807,2519,258
1586712607,495,46
1586714407,815,45
1586716206,486,72
1586718007,337,280
1586719807,307,463
1586721608,377,468
1586723408,359,50
1586725207,524,66
1586727008,300,362
1586728807,353,35
1586730606,303,40
1586732406,220,139
1586734207,227,386
1586736007,233,730
1586737806,250,1064
1586739607,161,478
1586741408,234,266
1586743207,197,123
1586745007,178,2705
1586746808,180,3416
1586748608,192,258
1586750408,223,9
1586752209,158,5
1586754010,150,181
1586755809,197,147
1586757609,216,122
1586759410,447,413
1586761209,961,11
1586763010,440,7
1586764808,295,19
1586766609,267,12
1586768409,356,45
1586770208,456,46
1586772010,721,1963
1586773809,629,642
1586775610,523,178
1586777410,300,869
1586779210,277,341
1586781011,352,109
1586782811,230,207
1586784611,257,1375
1586786413,288,339
1586788213,229,423
1586790012,258,311
1586791812,247,269
1586793612,272,55
1586795413,261,360
1586797213,294,319
1586799012,284,100
1586800811,281,80
1586802612,316,91
1586804412,329,171
1586806211,346,47
1586808012,318,51
1586809810,328,12
1586811611,348,7
1586813411,373,381
1586815215,501,2746
1586817012,425,228
1586818813,283,375
1586820615,335,60
1586822413,275,47
1586824213,296,38
1586826013,191,17
1586827813,556,63
1586829612,1155,26
1586831413,229,30
1586833212,262,249
1586835011,279,47
1586836810,258,16
1586838610,363,13
1586840409,265,21
1586842210,268,16
1586844008,324,33
1586845809,289,32
1586847609,305,48
1586849409,598,188
1586851209,873,646
1586853008,917,306
1586854809,770,567
1586856611,685,318
1586858409,581,825
1586860206,533,248
1586862005,584,244
1586863805,543,862
1586865606,495,3102
1586867408,579,4459
1586869208,528,467
1586871010,432,343
1586872808,486,372
1586874610,482,152
1586876409,384,216
1586878210,390,649
1586880012,329,1203
1586881811,385,309
1586883612,372,306
1586885413,377,543
1586887214,395,217
1586889014,428,151
1586890815,426,177
1586892615,502,111
1586894415,406,527
1586896220,340,677
1586898017,398,936
1586899818,378,193
1586901619,278,299
1586903421,385,354
1586905219,355,464
1586907023,293,555
1586908823,347,433
1586910620,320,389
1586912422,340,209
1586914222,298,156
1586916022,266,325
1586917826,284,243
1586919622,263,398
1586921427,234,468
1586923228,217,177
1586925024,357,126
1586926826,290,75
1586928629,311,187
1586930427,254,205
1586932226,206,478
1586934027,256,124
1586935820,235,28
1586937621,241,12
1586939421,280,20
1586941221,380,199
1586943020,448,145
1586944821,262,148
1586946621,396,1104
1586948420,424,1038
1586950223,368,427
1586952024,383,252
1586953820,366,304
1586955617,336,205
1586957421,342,125
1586959217,347,493
1586961017,358,407
1586962821,442,481
1586964619,262,439
1586966417,381,85
1586968220,265,668
1586970017,339,306
1586971822,408,386
1586973617,283,273
1586975416,342,522
1586977217,351,134
1586979017,238,67
1586980817,413,239
1586982620,335,657
1586984420,407,450
1586986221,359,404
1586988020,403,85
1586989820,322,506
1586991620,367,172
1586993421,295,26
1586995216,365,10
1586997017,261,9
1586998816,353,13
1587000616,278,8
1587002418,305,551
1587004217,251,143
1587006017,265,255
1587007816,245,1845
1587009616,298,176
1587011417,272,584
1587013216,248,239
1587015018,248,192
1587016816,290,206
1587018614,189,174
1587020417,107,546
1587022215,169,376
1587024017,136,116
1587025821,120,125
1587027614,133,60
1587029416,206,13
1587031216,126,40
1587033020,265,193
1587034817,136,476
1587036616,263,178
1587038417,263,106
1587040218,182,199
1587042017,158,245
1587043819,152,247
1587045619,147,240
1587047421,229,92
1587049220,218,76
1587051023,174,75
1587052819,158,2
1587054624,258,91
1587056419,275,311
1587058219,190,114
1587060022,607,582
1587061822,138,399
1587063621,190,125
1587065419,107,487
1587067219,107,104
1587069018,158,122
1587070818,176,284
1587072617,89,144
1587074416,87,45
1587076217,222,4
1587078016,718,183
1587079818,498,92
1587081616,429,654
1587083415,451,345
1587085215,430,28
1587087015,337,26
1587088815,337,33
1587090615,238,88
1587092414,298,323
1587094215,254,197
1587096012,257,10
1587097815,356,156
1587099614,224,20
1587101413,237,103
1587103212,279,288
1587105012,309,4
1587106812,216,1781
1587108611,207,804
1587110413,217,335
