DateTime,Entries,UniqueIPs
1586394004,4284,4284
1586395805,4303,4303
1586397605,4128,4128
1586399405,3484,3484
1586401206,3190,3190
1586403007,3134,3134
1586404806,3208,3208
1586406605,3242,3242
1586408405,3157,3157
1586410205,3212,3212
1586412005,3255,3255
1586413804,3316,3316
1586415605,3418,3418
1586417405,3444,3444
1586419204,3339,3339
1586421005,3284,3284
1586422805,3203,3203
1586424605,3019,3019
1586426406,3065,3065
1586428204,3198,3198
1586430004,3369,3369
1586431804,3540,3540
1586433604,3678,3678
1586435405,3975,3975
1586437205,4119,4119
1586439004,3831,3831
1586440805,3670,3670
1586442605,3666,3666
1586444404,3642,3642
1586446205,3677,3677
1586448004,3863,3863
1586449804,4080,4080
1586451604,4281,4281
1586453405,4589,4589
1586455205,5371,5371
1586457009,2555,2555
1586458809,1507,1507
1586460608,1952,1952
1586462409,2150,2150
1586464209,2614,2614
1586466009,1864,1864
1586467809,1464,1464
1586469611,1364,1364
1586471410,1414,1414
1586473212,1591,1591
1586475011,1802,1802
1586476811,1939,1939
1586478613,2141,2141
1586480412,2304,2304
1586482212,2526,2526
1586484013,2368,2368
1586485813,2419,2419
1586487613,2443,2443
1586489414,2426,2426
1586491214,2322,2322
1586493013,2277,2277
1586494812,2286,2286
1586496613,2408,2408
1586498412,2394,2394
1586500215,2376,2376
1586502011,2359,2359
1586503810,2187,2187
1586505609,1732,1732
1586507412,1360,1360
1586509210,1397,1397
1586511010,1488,1488
1586512810,1590,1590
1586514610,1709,1709
1586516408,1684,1684
1586518209,1752,1752
1586520009,1865,1865
1586521808,1940,1940
1586523607,1994,1994
1586525407,2108,2108
1586527206,2260,2260
1586529007,2415,2415
1586530806,2559,2559
1586532605,2745,2745
1586534405,2857,2857
1586536205,2916,2916
1586538004,3022,3022
1586539804,3103,3103
1586541604,3250,3250
1586543405,3455,3455
1586545204,3553,3553
1586547005,3661,3661
1586548804,3914,3914
1586550603,3949,3949
1586552403,4068,4068
1586554202,4076,4076
1586556003,4097,4097
1586557803,4158,4158
1586559603,4010,4010
1586561403,3982,3982
1586563203,3903,3903
1586565002,3899,3899
1586566803,3853,3853
1586568602,3804,3804
1586570403,3744,3744
1586572203,3603,3603
1586574004,2810,2810
1586575804,2582,2582
1586577604,2267,2267
1586579404,2072,2072
1586581204,1878,1878
1586583004,1753,1753
1586584804,1814,1814
1586586604,1730,1730
1586588403,1605,1605
1586590204,1652,1652
1586592004,1693,1693
1586593804,1722,1722
1586595605,1785,1785
1586597404,1830,1830
1586599205,1949,1949
1586601004,2081,2081
1586602805,2077,2077
1586604605,2161,2161
1586606407,2001,2001
1586608209,377,377
1586610008,253,253
1586611809,346,346
1586613608,513,513
1586615408,632,632
1586617208,796,796
1586619008,899,899
1586620809,647,647
1586622609,756,756
1586624409,1891,1891
1586626210,2460,2460
1586628009,2681,2681
1586629811,1844,1844
1586631610,1083,1083
1586633411,1048,1048
1586635212,1173,1173
1586637013,1292,1292
1586638813,2113,2113
1586640612,2006,2006
1586642413,2171,2171
1586644214,4216,4216
1586646013,4391,4391
1586647814,3232,3232
1586649615,3435,3435
1586651415,3659,3659
1586653213,3889,3889
1586655012,4019,4019
1586656813,2410,2410
1586658614,1525,1525
1586660414,1649,1649
1586662213,1826,1826
1586664014,641,641
1586665813,613,613
1586667614,367,367
1586669413,601,601
1586671213,733,733
1586673013,1267,1267
1586674812,1745,1745
1586676611,2112,2112
1586678411,2965,2965
1586680210,4381,4381
1586682009,5366,5366
1586683810,5980,5980
1586685609,6464,6464
1586687407,6843,6843
1586689208,7166,7166
1586691009,7547,7547
1586692807,8049,8049
1586694607,8494,8494
1586696407,8917,8917
1586698207,9270,9270
1586700008,5510,5510
1586701808,4034,4034
1586703608,3772,3772
1586705406,3836,3836
1586707207,2661,2661
1586709008,2951,2951
1586710807,5212,5212
1586712607,5661,5661
1586714407,6431,6431
1586716206,6845,6845
1586718007,6902,6902
1586719807,6746,6746
1586721608,6655,6655
1586723408,6964,6964
1586725207,7422,7422
1586727008,7360,7360
1586728807,7678,7678
1586730606,7941,7941
1586732406,8022,8022
1586734207,7863,7863
1586736007,7366,7366
1586737806,6552,6552
1586739607,6235,6235
1586741408,6203,6203
1586743207,6277,6277
1586745007,3750,3750
1586746808,514,514
1586748608,448,448
1586750408,662,662
1586752209,815,815
1586754010,784,784
1586755809,834,834
1586757609,928,928
1586759410,962,962
1586761209,1912,1912
1586763010,2345,2345
1586764808,2621,2621
1586766609,2876,2876
1586768409,3187,3187
1586770208,3597,3597
1586772010,2355,2355
1586773809,2342,2342
1586775610,2687,2687
1586777410,2118,2118
1586779210,2054,2054
1586781011,2297,2297
1586782811,2320,2320
1586784611,1202,1202
1586786413,1151,1151
1586788213,957,957
1586790012,904,904
1586791812,882,882
1586793612,1099,1099
1586795413,1000,1000
1586797213,975,975
1586799012,1159,1159
1586800811,1360,1360
1586802612,1585,1585
1586804412,1743,1743
1586806211,2042,2042
1586808012,2309,2309
1586809810,2625,2625
1586811611,2966,2966
1586813411,2958,2958
1586815215,713,713
1586817012,910,910
1586818813,818,818
1586820615,1093,1093
1586822413,1321,1321
1586824213,1579,1579
1586826013,1753,1753
1586827813,2246,2246
1586829612,3375,3375
1586831413,3574,3574
1586833212,3587,3587
1586835011,3819,3819
1586836810,4061,4061
1586838610,4411,4411
1586840409,4655,4655
1586842210,4907,4907
1586844008,5198,5198
1586845809,5455,5455
1586847609,5712,5712
1586849409,6122,6122
1586851209,6349,6349
1586853008,6960,6960
1586854809,7163,7163
1586856611,7530,7530
1586858409,7286,7286
1586860206,7571,7571
1586862005,7911,7911
1586863805,7592,7592
1586865606,4985,4985
1586867408,1105,1105
1586869208,1166,1166
1586871010,1255,1255
1586872808,1369,1369
1586874610,1699,1699
1586876409,1867,1867
1586878210,1608,1608
1586880012,734,734
1586881811,810,810
1586883612,876,876
1586885413,710,710
1586887214,888,888
1586889014,1165,1165
1586890815,1414,1414
1586892615,1805,1805
1586894415,1684,1684
1586896220,1347,1347
1586898017,809,809
1586899818,994,994
1586901619,973,973
1586903421,1004,1004
1586905219,895,895
1586907023,633,633
1586908823,547,547
1586910620,478,478
1586912422,609,609
1586914222,751,751
1586916022,692,692
1586917826,733,733
1586919622,598,598
1586921427,364,364
1586923228,404,404
1586925024,635,635
1586926826,850,850
1586928629,974,974
1586930427,1023,1023
1586932226,751,751
1586934027,883,883
1586935820,1090,1090
1586937621,1319,1319
1586939421,1579,1579
