DateTime,AddedIPs,RemovedIPs
1586826722,22,2
1586827321,28,4
1586828521,6,0
1586829721,14,6
1586830921,20,2
1586832121,17,1
1586832722,4,0
1586833322,10,2
1586834521,9,1
1586835721,23,0
1586836322,20,2
1586836922,5,2
1586837522,4,4
1586838721,1,2
1586839322,5,0
1586839922,27,1
1586840522,12,0
1586841721,17,6
1586842922,5,1
1586844121,27,0
1586844721,7,4
1586845922,7,7
1586846522,44,3
1586847122,2,1
1586848922,40,2
1586850121,20,1
1586850722,22,3
1586851321,8,3
1586852521,27,0
1586853721,17,4
1586854321,7,0
1586855522,39,0
1586856121,26,0
1586856721,12,3
1586857321,34,3
1586858521,16,7
1586859721,8,2
1586860921,20,4
1586861521,7,1
1586862721,6,2
1586863921,23,3
1586864521,13,6
1586865721,21,4
1586866921,38,1
1586867522,36,5
1586868121,8,13
1586869921,14,1
1586871121,17,0
1586871721,12,0
1586872321,29,1
1586872921,0,2
1586873522,4,1
1586874722,38,0
1586875321,32,1
1586875921,4,5
1586876521,40,0
1586877721,39,6
1586878921,5,2
1586880121,5,1
1586880721,30,0
1586881321,15,13
1586883122,14,12
1586883721,6,0
1586884321,24,1
1586885521,19,2
1586886121,25,0
1586886721,11,4
1586887322,20,0
1586887921,8,5
1586888521,13,2
1586889721,17,2
1586890321,14,5
1586890921,33,5
1586892121,25,0
1586892721,9,0
1586893921,7,1
1586894522,27,0
1586895121,4,2
1586895721,3,0
1586896321,9,0
1586897521,19,4
1586898121,4,5
1586898721,24,0
1586899322,5,3
1586899921,3,1
1586901121,13,8
1586901722,8,0
1586902321,13,5
1586904121,12,0
1586904722,25,0
1586905321,4,0
1586905921,30,1
1586907721,29,2
1586908322,9,2
1586908921,4,4
1586910122,7,3
1586911321,10,1
1586912521,14,4
1586913721,19,5
1586914922,4,5
1586915522,3,0
1586916721,10,6
1586917321,9,0
1586917921,11,7
1586918521,35,0
1586919121,26,3
1586919721,5,0
1586920321,7,3
1586921521,6,3
1586922121,9,5
1586923321,34,1
1586924521,1,6
1586925121,20,7
1586926322,7,5
1586926921,11,2
1586928122,10,0
1586929321,2,3
1586930521,9,7
1586931121,13,10
1586931721,3,0
1586932921,5,3
1586934121,4,5
1586934721,6,3
1586935921,6,2
1586937121,10,1
1586937721,0,2
1586938321,34,0
1586939521,13,11
1586940121,4,1
1586940722,6,2
1586941322,27,3
1586943121,11,2
1586943722,0,6
1586944321,12,0
1586944922,26,3
1586946121,27,1
1586946721,11,14
1586947921,6,7
1586948521,3,5
1586949121,6,0
1586949721,4,0
1586950321,6,1
1586950921,18,1
1586952121,4,3
1586953322,22,0
1586954521,1,7
1586955122,4,0
1586955721,7,3
1586956921,30,2
1586958122,9,5
1586959321,11,4
1586959922,29,1
1586961121,1,0
1586961721,9,0
1586962921,8,5
1586963521,3,3
1586971321,71,39
1586978521,53,25
1586980321,10,12
1586981521,21,2
1586982721,36,1
1586983322,7,3
1586983921,46,0
1586984522,62,0
1586985722,10,7
1586986921,47,0
1586987521,0,3
1586988122,18,2
1586988721,17,1
1586989922,44,5
1586990521,4,0
1586991721,19,6
1586992921,26,20
1586994121,6,5
1586995321,6,0
1586996521,9,17
1586997721,6,6
1586998921,28,7
1587000121,24,0
1587001321,12,1
1587001922,13,3
1587003722,27,4
1587004321,11,4
1587004922,26,0
1587006121,28,3
1587006721,33,11
1587007921,7,0
1587008521,8,0
1587009721,4,7
1587010321,14,0
1587010921,34,0
1587012121,1,17
1587012721,23,0
1587013921,14,7
1587015121,31,1
1587016321,55,1
1587016922,40,3
1587018121,1,2
1587019321,16,6
1587020521,22,11
1587021721,7,6
1587022922,4,0
1587023521,10,7
1587024721,6,11
1587025922,2,5
1587026521,14,1
1587027721,5,4
1587028322,2,0
1587028921,60,16
1587030121,5,5
1587031322,19,2
1587031921,16,1
1587032521,4,4
1587033121,6,1
1587033722,44,2
1587034321,6,2
1587034921,6,0
1587036721,23,0
1587037921,40,3
1587038521,31,2
1587039722,18,3
1587040321,19,4
1587040921,9,2
1587041521,3,0
1587042721,28,2
1587043321,4,5
1587044521,30,4
1587045121,65,9
1587046321,36,0
1587046921,14,4
1587048721,39,8
1587049321,26,3
1587050522,8,2
1587051721,4,2
1587052321,31,2
1587053521,22,0
1587054121,6,0
1587054722,4,1
1587055322,18,0
1587056521,33,1
1587057721,19,13
1587058922,4,5
1587059521,12,0
1587060121,42,3
1587061322,4,4
1587061921,10,0
1587063122,16,4
1587064321,45,11
1587064921,31,0
1587066121,29,2
1587066722,8,0
1587067321,26,6
1587068521,19,6
1587069721,6,1
1587070322,4,0
1587071521,6,6
1587072121,29,0
1587072721,8,6
1587073921,58,2
1587074522,48,8
1587075121,14,0
1587075721,20,0
1587076921,20,7
1587078121,38,5
1587079322,36,7
1587080521,10,0
1587081721,10,11
1587082921,40,2
1587083522,3,0
1587084121,10,6
1587085322,4,6
1587086522,3,3
1587087121,9,0
1587087721,2,1
1587088321,68,7
1587089522,10,1
1587090122,13,0
1587091322,13,17
1587092521,3,3
1587093722,13,0
1587094922,12,0
1587096121,5,2
1587097322,5,2
1587098521,4,16
1587099121,47,0
1587099721,27,0
1587100921,3,6
1587101521,24,4
1587103321,4,10
1587104521,32,3
1587105121,14,0
1587105722,4,9
1587106921,22,0
1587108121,9,9
1587109322,54,12
1587110521,4,0
1587111721,40,7
1587112921,27,0
1587114121,1,1
1587114722,4,0
1587115322,9,6
1587116521,16,3
1587117121,12,6
1587117721,6,3
1587118922,28,3
1587119521,4,0
1587120121,2,9
1587121322,8,6
1587122522,3,2
1587123722,3,2
1587124922,13,4
1587125521,3,0
1587126121,6,4
1587127321,11,0
1587128521,22,16
1587129721,10,2
1587130321,6,0
1587130922,59,0
1587132121,27,15
1587132722,9,0
1587133322,10,0
1587134521,36,4
1587135121,30,0
1587135721,11,1
1587136322,11,0
1587136921,14,6
1587137521,17,1
1587138121,7,0
1587139321,30,4
1587139921,5,3
1587141122,37,3
1587141721,22,0
1587142321,28,0
1587142922,8,3
1587144122,5,1
1587144721,3,1
1587145321,15,7
1587145921,40,0
1587146521,9,5
1587147721,2,0
1587148921,14,1
1587150121,24,6
1587151321,12,10
1587152521,5,0
1587153722,7,9
1587154921,3,0
1587156121,26,5
1587156721,18,3
1587157322,7,3
1587158521,33,9
1587159121,18,0
1587159721,13,0
1587160921,26,5
1587162121,11,15
1587163322,11,8
1587163921,14,0
1587164521,31,4
1587165722,8,2
1587166322,5,0
1587166921,25,0
1587168121,7,12
1587169321,15,1
1587170522,31,8
1587171121,9,0
1587171721,10,23
1587172921,24,5
1587173522,13,0
1587174122,27,0
1587175322,57,5
1587176522,12,1
1587177721,12,4
1587178321,26,2
1587178922,26,3
1587180122,44,9
1587180722,19,0
1587181321,17,1
1587181921,12,1
1587182522,24,0
1587183721,8,6
1587184921,12,4
1587186121,7,6
1587186721,7,0
1587187321,12,5
1587188521,2,0
1587189121,64,8
1587190321,4,0
1587190921,6,0
1587192121,5,7
1587193321,23,1
1587194522,12,2
1587195721,42,2
1587196921,3,1
1587198121,7,0
1587199321,12,6
1587200521,7,5
1587201121,14,0
1587201721,29,2
1587202321,12,0
1587202921,14,5
1587203522,11,0
1587204121,14,13
1587205321,4,5
1587206522,17,1
1587207121,3,0
1587207722,20,1
1587208922,14,0
1587209521,31,0
1587210121,12,0
1587210721,5,1
1587211322,15,4
1587213121,6,3
1587213721,34,8
1587214321,7,0
1587214921,5,3
1587216721,3,3
1587217321,65,6
1587217921,1,0
1587218521,15,6
1587219721,25,0
1587220921,18,5
1587222121,16,3
1587222721,5,7
1587223921,14,2
1587224521,14,0
1587225721,26,4
1587226322,6,0
1587226922,8,0
1587228121,15,3
1587228721,12,2
1587229321,6,1
1587230521,51,2
1587231721,8,3
1587232922,14,0
1587234121,28,1
1587235321,10,1
1587235922,19,3
1587236521,11,0
1587237721,6,6
1587238921,15,0
1587239521,10,1
1587240121,8,0
1587241321,12,3
1587242521,27,3
1587243121,14,1
1587243722,6,0
1587244921,31,5
1587245521,7,6
1587246722,9,1
1587247322,11,0
1587247922,18,3
1587248521,3,8
1587249721,18,5
1587250321,7,1
1587250921,5,0
1587251521,5,4
1587252122,5,0
1587252722,6,1
1587253321,8,0
1587254521,5,7
1587255721,52,2
1587256922,9,4
1587257521,12,1
1587258721,6,7
1587259321,14,0
1587259921,20,1
1587260521,2,2
1587261121,13,6
1587262921,9,2
1587263521,13,0
1587264722,3,3
1587265321,20,0
1587265921,2,5
1587267122,20,1
1587268322,6,2
1587268921,9,0
1587270121,9,8
1587271321,7,0
1587272521,6,5
1587273121,7,6
1587274321,4,0
1587274921,7,0
1587276121,12,6
1587277321,37,0
1587277921,19,0
1587278521,43,2
1587279721,5,1
1587280922,40,9
1587281522,6,2
1587282721,33,12
1587283321,6,1
1587283921,12,5
1587285121,3,2
1587285721,17,0
1587286321,4,2
1587286921,48,7
1587288121,19,0
1587288721,8,13
1587289921,7,1
1587290521,29,0
1587291722,4,4
