DateTime,AddedIPs,RemovedIPs
1586792521,82,82
1586793721,80,80
1586794321,43,43
1586795521,92,92
1586796721,55,55
1586797322,47,47
1586798522,85,85
1586799721,83,83
1586800321,67,67
1586802122,97,97
1586803321,86,86
1586804521,98,98
1586805721,88,88
1586806321,53,53
1586807521,50,50
1586808721,92,92
1586809321,34,34
1586810521,92,92
1586811721,79,79
1586812921,94,94
1586814121,72,72
1586814721,68,68
1586815922,90,90
1586816522,97,97
1586817721,85,85
1586818322,80,80
1586820721,78,78
1586821921,93,93
1586822521,82,82
1586823722,84,84
1586824321,45,45
1586824922,51,51
1586826121,89,89
1586827321,98,98
1586829121,86,86
1586829721,45,45
1586830921,79,79
1586832121,68,68
1586832722,52,52
1586833921,89,89
1586835121,84,84
1586835721,38,38
1586836922,71,71
1586838121,83,83
1586838721,31,31
1586839921,96,96
1586841122,52,52
1586841721,23,23
1586842322,18,18
1586843521,86,86
1586844121,38,38
1586845321,95,95
1586845921,63,63
1586847122,61,61
1586847721,44,44
1586848922,96,96
1586850722,92,92
1586851321,24,24
1586852521,72,72
1586853121,34,34
1586854321,74,74
1586854921,53,53
1586856721,69,69
1586857321,28,28
1586859122,65,65
1586859721,64,64
1586860921,77,77
1586861521,16,16
1586862721,29,29
1586863321,69,69
1586864521,74,74
1586865721,93,93
1586866921,72,72
1586867522,66,66
1586868121,33,33
1586869921,95,95
1586870521,25,25
1586871721,94,94
1586872921,68,68
1586873521,45,45
1586874722,63,63
1586875321,35,35
1586875921,66,66
1586877121,88,88
1586878321,87,87
1586879522,66,66
1586880721,57,57
1586881921,82,82
1586882521,42,42
1586883122,54,54
1586884321,49,49
1586884922,46,46
1586886121,47,47
1586887321,50,50
1586888521,87,87
1586889721,44,44
1586890921,81,81
1586892121,97,97
1586892721,61,61
1586893921,97,97
1586895121,97,97
1586895721,24,24
1586897521,92,92
1586898121,39,39
1586899921,98,98
1586901121,88,88
1586902921,79,79
1586904721,88,88
1586905921,87,87
1586907121,82,82
1586907721,48,48
1586908921,91,91
1586910122,86,86
1586910721,32,32
1586911921,86,86
1586913121,95,95
1586914922,94,94
1586916121,87,87
1586917921,91,91
1586919121,94,94
1586919721,40,40
1586920921,95,95
1586922721,90,90
1586923321,40,40
1586923921,23,23
1586925721,92,92
1586926921,87,87
1586927521,28,28
1586928721,84,84
1586929321,24,24
1586930521,59,59
1586931121,40,40
1586932321,73,73
1586933521,82,82
1586934121,28,28
1586934721,20,20
1586935921,64,64
1586937121,55,55
1586937721,30,30
1586938321,26,26
1586939521,80,80
1586940121,58,58
1586940722,48,48
1586941322,48,48
1586943121,90,90
1586943722,61,61
1586944321,33,33
1586945521,61,61
1586946121,57,57
1586946721,65,65
1586947921,80,80
1586948521,58,58
1586950321,74,74
1586951521,91,91
1586952121,20,20
1586953921,67,67
1586955122,67,67
1586955721,51,51
1586956921,54,54
1586958721,61,61
1586959922,87,87
1586961121,83,83
1586961721,44,44
1586962921,46,46
1586964121,70,70
1586971321,81,81
1586978521,91,91
1586980321,86,86
1586981521,96,96
1586982721,90,90
1586983921,91,91
1586984522,52,52
1586985722,93,93
1586986322,53,53
1586986921,43,43
1586987521,60,60
1586988122,67,67
1586989321,81,81
1586990521,98,98
1586991121,68,68
1586992921,83,83
1586994121,80,80
1586995321,93,93
1586995921,56,56
1586997121,71,71
1586998321,74,74
1586999521,92,92
