DateTime,AddedIPs,RemovedIPs
1585044002,136,0
1585047602,135,0
1585054802,223,0
1585058402,212,0
1585065603,267,0
1585072802,215,0
1585080002,297,0
1585083602,112,0
1585087202,125,0
1585090802,92,0
1585094402,105,3228
1585098003,145,0
1585103402,239,0
1585107002,159,0
1585110602,113,0
1585114202,134,0
1585117802,121,0
1585118702,31,0
1585122301,141,0
1585126802,175,0
1585134002,315,0
1585141202,279,0
1585148402,319,0
1585152002,121,0
1585155602,123,0
1585159202,119,0
1585162802,124,0
1585166402,106,0
1585170002,113,0
1585173602,130,0
1585180803,198,3018
1585188002,247,0
1585190701,105,0
1585194302,132,0
1585197902,136,0
1585201502,132,0
1585205101,95,0
1585208702,153,0
1585212302,155,0
1585215901,136,0
1585219501,196,0
1585223102,134,0
1585226702,174,0
1585230302,187,0
1585233902,145,0
1585237501,174,1
1585241102,167,0
1585244702,141,0
1585251902,239,0
1585255502,175,0
1585263602,251,0
1585266301,64,0
1585270802,126,3121
1585274402,138,0
1585278002,139,0
1585281602,175,0
1585285202,137,0
1585288802,159,0
1585292402,145,0
1585296002,149,0
1585299602,151,0
1585303202,189,0
1585306802,396,0
1585314002,273,0
1585317602,206,0
1585321202,145,0
1585328402,252,0
1585335602,240,0
1585342803,220,0
1585346401,123,0
1585350002,161,0
1585353602,87,3288
1585360802,287,0
1585368002,225,0
1585371602,119,0
1585375202,121,0
1585382402,220,0
1585386002,184,1
1585389602,118,0
1585396802,302,0
1585400403,172,0
1585407602,302,0
1585412102,171,0
1585419302,237,0
1585421102,53,0
1585425602,158,0
1585429202,125,0
1585432803,113,0
1585436402,97,0
1585440002,90,3648
1585443602,118,0
1585447203,134,0
1585450802,131,0
1585454402,97,0
1585458003,117,0
1585461602,105,0
1585465202,109,0
1585472402,313,0
1585479602,295,0
1585483202,134,0
1585490403,221,0
1585497603,254,0
1585503901,173,0
1585507501,111,0
1585511101,102,0
1585514701,108,0
1585518302,115,0
1585525502,227,0
1585532702,188,3023
1585539902,283,0
1585543501,136,0
1585550702,222,0
1585554302,130,0
1585562401,421,0
1585566002,123,0
1585569602,132,0
1585573202,176,0
1585577702,188,0
1585581302,157,0
1585586701,188,0
1585590302,149,0
1585593902,119,0
1585601102,198,0
1585604702,124,0
1585608302,87,0
1585611902,165,0
1585619102,204,2846
1585623602,195,0
1585627202,107,0
1585630802,124,0
1585634402,118,0
1585638002,109,0
1585642502,183,0
1585647902,212,0
1585651502,161,0
1585655102,175,0
1585658702,173,0
1585662302,147,0
1585665901,128,0
1585670403,127,0
1585674002,139,0
1585677602,132,0
1585681202,107,0
1585684802,112,0
1585688402,108,0
1585691102,77,0
1585695602,127,0
1585699202,61,3307
1585701002,48,0
1585705502,186,0
1585709102,120,0
1585712701,118,1
1585716301,127,0
1585719901,146,0
1585727102,261,0
1585730702,105,0
1585735202,193,0
1585738803,131,0
1585742403,155,0
1585746003,169,0
1585750501,185,0
1585754102,179,0
1585760402,193,0
1585764002,163,0
1585767602,205,0
1585771202,122,0
1585774803,109,0
1585778402,101,0
1585786503,194,3106
1585793701,298,0
1585797302,126,0
1585804501,255,0
1585808102,130,0
1585811702,161,0
1585815302,125,0
1585818902,151,0
1585823401,176,0
1585827002,126,0
1585830602,139,0
1585834201,121,0
1585837802,101,0
1585841402,126,0
1585845002,118,0
1585848601,106,0
1585852202,113,0
