DateTime,AddedIPs,RemovedIPs
1582466734,1,0
1582470336,1,0
1582481132,1,0
1582488336,0,1
1582491936,3,0
1582509937,1,0
1582517135,0,1
1582520740,1,0
1582531562,0,2
1582538736,12,6
1582542340,3,0
1582553136,3,0
1582563942,0,1
1582567538,7,1
1582574743,1,0
1582589138,1,0
1582596336,2,0
1582610742,0,1
1582617962,0,1
1582621564,0,1
1582625143,17,11
1582635938,1,0
1582639536,1,0
1582646737,2,0
1582650337,1,0
1582661137,1,0
1582664733,2,0
1582668334,1,3
1582671934,0,1
1582675535,0,1
1582682732,1,0
1582693536,1,1
1582700734,1,0
1582704332,1,0
1582711555,1,14
1582715153,3,0
1582718731,8,0
1582733132,1,0
1582736735,1,0
1582743931,1,0
1582747535,1,0
1582751134,3,1
1582761932,1,0
1582765532,1,0
1582772735,1,1
1582779936,0,1
1582797939,3,8
1582801535,2,2
1582808731,1,0
1582815940,2,0
1582819535,1,0
1582823138,4,0
1582841132,0,1
1582844733,1,0
1582851936,1,0
1582859135,1,0
1582862739,1,1
1582866337,3,0
1582869937,3,1
1582877155,2,0
1582880756,1,0
1582884341,8,6
1582887940,1,0
1582891541,0,3
1582895137,1,0
1582909538,1,0
1582923939,0,1
1582927539,2,0
1582934740,1,0
1582941940,2,0
1582949142,3,0
1582956342,0,1
1582970750,13,4
1582974340,1,0
1582981542,2,0
1582985142,2,0
1582988740,1,0
1582999540,1,0
1583028338,0,1
1583042739,0,1
1583046336,1,0
1583053555,2,2
1583057148,0,4
1583060734,31,1
1583064337,1,0
1583071536,1,0
1583107533,1,0
1583125537,0,1
1583132738,1,0
1583143542,10,7
1583147135,0,1
1583157935,1,1
1583190333,1,0
1583208333,0,1
1583219135,3,0
1583229939,6,4
1583233532,0,2
1583240728,0,1
1583244334,0,2
1583269529,0,1
1583287526,2,1
1583291126,1,1
1583298332,0,2
1583301932,0,1
1583305531,0,2
1583316339,12,3
1583323531,0,3
1583330727,0,2
1583334332,1,0
1583345136,1,0
1583355933,2,0
1583359531,0,3
1583363132,0,1
1583366733,1,0
1583370333,0,1
1583377532,1,1
1583381131,0,1
