DateTime,AddedIPs,RemovedIPs
1585218782,1,3
1585222382,3,0
1585225981,0,1
1585229582,1,0
1585233181,2,0
1585236781,3,2
1585240381,1,1
1585243981,1,0
1585247581,3,1
1585251181,1,0
1585258381,4,1
1585265582,1,1
1585269182,1,0
1585272782,1,1
1585276381,1,2
1585279981,1,0
1585287181,1,2
1585290782,1,1
1585294381,0,2
1585297981,2,0
1585301582,1,1
1585305182,1,3
1585312381,1,0
1585315981,5,0
1585319581,1,1
1585323182,1,1
1585326782,5,0
1585330381,4,2
1585333982,2,0
1585337581,3,3
1585341181,0,1
1585344781,1,0
1585348382,0,1
1585351981,3,0
1585359181,3,1
1585362781,1,2
1585366381,1,0
1585369982,1,2
1585373582,1,2
1585380781,0,3
1585384381,1,0
1585391581,0,3
1585395182,2,0
1585398781,0,2
1585402382,0,2
1585405981,2,1
1585409581,1,1
1585413181,1,1
1585416781,1,0
1585420381,2,5
1585423981,4,1
1585427581,1,2
1585431181,3,0
1585434781,0,3
1585438382,0,3
1585445581,1,3
1585452781,1,5
1585456382,1,0
1585459981,4,2
1585463581,4,2
1585467181,2,4
1585470782,2,0
1585474381,1,0
1585481581,0,2
1585485181,5,0
1585488781,2,2
1585495981,1,3
1585499581,1,0
1585503181,1,1
1585510382,1,3
1585517582,1,0
1585521181,4,3
1585524782,1,1
1585531981,2,2
1585535582,1,2
1585539182,1,0
1585542781,1,0
1585546381,1,2
1585549981,1,4
1585553582,1,0
1585557182,1,3
1585560781,2,0
1585564381,2,0
1585567981,3,3
1585571582,0,2
1585575181,2,0
1585578781,3,0
1585585981,1,1
1585589582,2,0
1585596781,2,0
1585600382,2,0
1585603981,2,0
1585607581,1,2
1585611181,2,1
1585614782,3,0
1585618381,2,1
1585621981,0,2
1585625582,2,0
1585629181,1,1
1585632782,6,0
1585636382,1,2
1585639981,3,1
1585643581,0,1
1585647181,2,1
1585650782,6,0
1585654382,2,3
1585657981,1,0
1585661581,6,0
1585665181,2,2
1585668781,4,0
1585672382,2,1
1585675981,5,0
1585679582,2,0
1585683182,3,2
1585686781,1,0
1585690381,2,0
1585693981,0,1
1585697581,3,0
1585701182,0,1
1585704781,1,0
1585708382,1,0
1585711981,2,0
1585715581,1,0
1585719181,2,1
1585722781,1,0
1585726381,2,0
1585733582,3,0
1585737182,1,2
1585740781,1,1
1585747981,3,0
1585751581,2,0
1585755181,4,1
1585762381,0,1
1585765981,2,0
1585769581,1,1
1585773182,3,0
1585776781,3,1
1585780381,2,2
1585783981,0,3
1585787581,0,1
1585794781,2,1
1585798381,1,1
1585809181,0,1
1585812782,2,0
1585816382,0,2
1585819982,1,1
1585823581,5,3
1585830782,2,0
1585834381,2,1
1585837981,2,2
1585841581,2,0
1585848781,0,1
1585852381,0,1
1585855981,1,1
1585859582,0,1
1585863181,1,1
1585866781,0,4
1585870381,1,0
1585873981,2,3
1585877581,2,2
1585881181,1,1
1585884781,0,1
1585888381,1,0
1585891982,0,1
1585895582,2,3
1585899182,1,0
1585906382,2,2
1585909981,1,1
1585917181,2,0
1585920781,1,4
1585924381,2,0
1585927982,3,0
1585931582,0,2
1585935181,3,3
1585938781,1,1
1585942381,1,0
1585945981,0,1
1585949581,0,2
1585956782,1,1
1585963981,0,5
1585967582,1,0
1585971181,0,1
1585974781,3,4
1585978381,2,0
1585981982,1,2
1585985581,1,1
1585989181,1,0
1585996382,1,0
1586003581,1,1
1586007182,2,0
1586010782,0,1
1586014381,4,2
1586017981,4,2
1586021581,8,2
1586025181,2,0
1586028781,1,1
1586032381,2,3
1586035981,0,2
1586039581,3,0
1586043181,2,0
1586046781,1,0
1586050382,1,0
1586053981,1,1
1586061181,0,1
1586064781,1,0
1586068381,2,0
1586071981,0,3
1586075581,0,2
1586079181,3,0
1586082781,0,1
1586086383,2,3
1586093582,1,3
1586097181,1,3
1586100781,2,2
1586104382,1,0
1586107981,1,1
1586111581,1,3
1586115181,1,0
1586122382,1,1
1586125981,1,1
1586130027,2,1
1586133627,0,1
1586137226,0,1
1586140381,0,2
1586143981,2,0
1586147581,1,0
1586151182,0,1
1586154782,2,0
1586158382,0,2
1586161982,1,0
1586165582,0,2
1586169181,1,1
1586176381,0,3
1586179982,2,0
1586183581,1,4
1586187181,5,3
