DateTime,AddedIPs,RemovedIPs
1585474381,19,15
1585477982,13,15
1585481581,16,15
1585485181,18,17
1585488781,16,16
1585492382,14,15
1585495981,19,19
1585499581,13,16
1585503181,16,18
1585506782,18,13
1585510382,13,15
1585513981,2,2
1585517582,17,14
1585521181,12,14
1585524782,13,13
1585528382,13,11
1585531981,11,13
1585535582,15,14
1585539182,16,18
1585542781,16,16
1585546381,13,14
1585549981,12,11
1585553582,16,15
1585557182,11,13
1585560781,14,15
1585564381,16,12
1585567981,14,13
1585571582,10,14
1585575181,24,18
1585578781,13,17
1585582381,15,14
1585585981,13,12
1585589582,17,14
1585593181,16,18
1585596781,14,11
1585600382,11,17
1585603981,12,13
1585607581,14,11
1585611181,12,15
1585614782,14,14
1585618381,13,14
1585621981,6,7
1585625582,12,9
1585629181,15,14
1585632782,15,14
1585636382,11,16
1585639981,20,19
1585643581,13,13
1585647181,16,15
1585650782,24,20
1585654382,11,15
1585657981,18,16
1585661581,18,18
1585665181,15,14
1585668781,18,19
1585672382,14,16
1585675981,17,14
1585679582,15,18
1585683182,15,17
1585686781,17,15
1585690381,13,14
1585693981,13,14
1585697581,16,14
1585701182,14,16
1585704781,12,11
1585708382,15,13
1585711981,18,21
1585715581,16,17
1585719181,16,17
1585722781,11,9
1585726381,19,20
1585729982,14,16
1585733582,8,7
1585737182,12,10
1585740781,11,9
1585744382,4,4
1585747981,15,14
1585751581,15,19
1585755181,20,18
1585758781,20,21
1585762381,15,15
1585765981,10,9
1585769581,7,9
1585773182,23,19
1585776781,16,14
1585780381,11,11
1585783981,10,14
1585787581,14,18
1585791182,16,12
1585794781,13,13
1585798381,5,5
1585801981,13,14
1585805582,6,8
1585809181,13,11
1585812782,14,13
1585816382,20,20
1585819982,11,13
1585823581,16,15
1585827182,7,6
1585830782,13,15
1585834381,22,17
1585837981,13,17
1585841581,17,16
1585845182,13,15
1585848781,10,11
1585852381,18,18
1585855981,10,9
1585859582,14,12
1585863181,12,14
1585866781,9,8
1585870381,15,13
1585873981,13,12
1585877581,15,15
1585881181,14,13
1585884781,10,10
1585888381,11,14
1585895582,19,19
1585899182,19,18
1585902781,19,21
1585906382,15,12
1585909981,18,20
1585913582,12,11
1585917181,15,17
1585920781,17,17
1585924381,15,15
1585927982,17,17
1585931582,17,19
1585935181,17,14
1585938781,17,15
1585942381,19,20
1585945981,11,11
1585949581,18,19
1585953181,15,15
1585956782,17,16
1585960382,14,17
1585963981,12,11
1585967582,10,9
1585971181,6,8
1585974781,13,13
1585978381,15,13
1585981982,18,17
1585985581,19,20
1585989181,19,18
1585996382,22,22
1585999983,12,13
1586003581,11,10
1586007182,24,24
1586010782,14,14
1586014381,19,22
1586017981,21,18
1586021581,18,21
1586025181,16,12
1586028781,16,16
1586032381,22,22
1586035981,14,16
1586039581,18,16
1586043181,9,9
1586046781,21,22
1586050382,5,6
1586053981,15,13
1586057582,19,19
1586061181,14,14
1586064781,18,17
1586068381,19,16
1586071981,17,21
1586075581,15,18
1586079181,19,15
1586082781,19,18
1586086383,18,18
1586089981,14,19
1586093582,15,16
1586097181,22,18
1586100781,16,15
1586104382,17,16
1586107981,7,10
1586111581,11,13
1586115181,13,16
1586118781,16,10
1586122382,18,18
1586125981,16,20
1586130027,21,24
1586133627,19,16
1586137226,13,11
1586140381,8,10
1586143981,16,14
1586147581,9,12
1586151182,14,11
1586154782,16,16
1586158382,12,14
1586161982,13,14
1586165582,17,15
1586169181,13,9
1586172782,15,22
1586176381,12,10
1586179982,18,18
1586183581,14,13
1586187181,17,16
1586190781,17,15
1586194381,14,16
1586197981,12,14
1586201582,18,13
1586205181,13,16
1586208781,14,14
1586212381,19,19
1586215981,10,10
1586219582,13,11
1586223181,14,15
1586226782,15,13
1586230382,16,16
1586233982,19,19
1586237581,18,17
1586241181,18,22
1586244781,18,16
1586248381,17,18
1586251982,18,17
1586255581,15,12
1586259181,15,19
1586262781,15,16
1586266381,11,12
1586269981,18,15
1586273582,17,20
1586277181,19,18
1586280781,21,20
1586284381,12,14
1586287981,11,14
1586291582,15,15
1586295181,12,14
1586298781,16,13
1586302381,11,9
1586305981,13,15
1586309582,15,14
1586313181,15,14
1586316782,10,12
1586320381,18,18
1586323982,16,12
1586327581,16,13
1586331181,9,13
1586334781,10,9
1586338381,14,18
1586341981,18,18
1586345582,11,14
1586349181,11,11
1586352781,15,16
1586356382,12,10
1586359981,12,14
1586363581,15,14
1586367181,16,16
1586370781,16,18
1586374381,11,10
1586377981,13,12
1586381581,16,16
1586385182,17,15
1586388781,14,12
1586392381,11,12
1586395981,15,13
1586399581,12,10
1586403182,8,10
1586406781,12,12
1586410381,8,6
1586413981,14,14
1586417582,15,16
1586421181,12,11
1586424781,17,16
1586428382,14,16
1586431981,14,12
1586435581,16,19
1586439182,16,13
1586442781,14,14
1586446381,19,18
1586449981,12,14
1586453581,17,14
1586457182,14,18
1586460781,15,15
1586464381,14,14
1586467982,15,14
1586471581,21,20
1586475181,20,16
1586482381,13,15
1586485982,13,17
1586489581,13,14
1586493181,16,11
1586496782,16,16
1586500381,8,10
1586503981,17,16
1586507581,5,6
1586511181,15,13
1586514781,17,16
1586518381,11,13
1586521981,16,16
1586525582,15,17
1586529181,10,12
1586532782,13,9
1586536381,21,21
1586539982,7,7
1586543581,8,8
1586547182,8,12
1586550782,12,9
